Appendable_ThreadSafe @ LevenbergMarquardtTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:45: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:63: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:97: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:103: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:135: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:141: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:182: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:188: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:237: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:239: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:288: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:290: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LevenbergMarquardtTest.java:292: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 37 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 37 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 2 Unique Traces, 44 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:611: 1 Unique Traces, 104 Redundant Traces, 1 Preserved, 40 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardtTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardtTest.java:158: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:45: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:63: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:97: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:103: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:135: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:141: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:182: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:188: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:237: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:239: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:288: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:290: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LevenbergMarquardtTest.java:292: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ LUDecomposition.java:334: 1 Unique Traces, 37 Redundant Traces, 1 Preserved, 11 Remained 
