Appendable_ThreadSafe @ DataTableLight.java:202: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ DataTableLight.java:205: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 70 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:233: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:234: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:236: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:240: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:249: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:282: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:292: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeTest.java:321: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:125: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:126: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ AnalyticModelWithVolatilityCubes.java:57: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ SwaptionDataLattice.java:306: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DataTableLight.java:201: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ DataTableLight.java:204: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ DataTableLight.java:206: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 38 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeTest.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeTest.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeTest.java:330: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:337: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:348: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:445: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:490: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ SABRVolatilityCubeTest.java:241: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
