Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:152: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:194: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:205: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:218: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:219: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:237: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:238: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:251: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:252: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ LIBORIndexMultiCurveTest.java:261: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CalibratedCurves.java:708: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CalibratedCurves.java:715: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ CalibratedCurves.java:716: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 40 Unique Traces, 199 Redundant Traces, 39 Preserved, 199 Remained 
Collections_SortBeforeBinarySearch @ LIBORIndexMultiCurveTest.java:287: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
