Appendable_ThreadSafe @ AbstractCubeCalibration.java:266: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DataTableBasic.java:257: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ DataTableBasic.java:260: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ SABRCubeParallelCalibrationTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRCubeParallelCalibrationTest.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRCubeParallelCalibrationTest.java:150: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ SABRCubeParallelCalibrationTest.java:163: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 105 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:256: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:259: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:261: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ DataTableInterpolated.java:187: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DataTableInterpolated.java:188: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:288: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:297: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:298: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableBasic.java:256: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DataTableBasic.java:259: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DataTableBasic.java:261: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ DataTableInterpolated.java:187: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DataTableInterpolated.java:188: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:256: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:259: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:261: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ DataTableInterpolated.java:187: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ DataTableInterpolated.java:188: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:401: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ AbstractCubeCalibration.java:266: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DataTableBasic.java:257: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ DataTableBasic.java:260: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ SABRCubeParallelCalibrationTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRCubeParallelCalibrationTest.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRCubeParallelCalibrationTest.java:150: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ SABRCubeParallelCalibrationTest.java:163: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 37 Remained 
