Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:181: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:234: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:240: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:244: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:245: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:296: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:357: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:376: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelCalibrationTest.java:381: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ HullWhiteModelCalibrationTest.java:368: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HullWhiteModelCalibrationTest.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HullWhiteModelCalibrationTest.java:181: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
