Appendable_ThreadSafe @ AbstractCubeCalibration.java:266: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StaticCubeCalibrationTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StaticCubeCalibrationTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StaticCubeCalibrationTest.java:129: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ StaticCubeCalibrationTest.java:142: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 26 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:337: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:288: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:297: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractCubeCalibration.java:298: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:340: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:509: 2 Unique Traces, 98 Redundant Traces, 1 Preserved, 29 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:337: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:337: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:337: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:401: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:337: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:348: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AbstractCubeCalibration.java:266: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StaticCubeCalibrationTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StaticCubeCalibrationTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StaticCubeCalibrationTest.java:129: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ StaticCubeCalibrationTest.java:142: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 38 Remained 
