Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:122: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:123: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:136: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 28 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
