Collection_UnsafeIterator @ ProductCollection.java:102: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ ProductCollection.java:124: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 80 Unique Traces, 0 Redundant Traces, 80 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelFromCovarianceModel.java:960: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ProductCollection.java:118: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwapLeg.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ProductCollection.java:102: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ ProductCollection.java:124: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ ProductCollection.java:102: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ProductCollection.java:124: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Thread_SetDaemonBeforeStart @ AbstractProductComponent.java:48: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 10 Remained 
