Appendable_ThreadSafe @ AbstractSingleSwapRateProduct.java:128: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:150: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:151: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:168: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:177: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ AnnuityMappingTest.java:189: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ BasicPiterbargAnnuityMapping.java:100: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MultiPiterbargAnnuityMapping.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:125: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:126: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
CharSequence_NotInMap @ AnalyticModelWithVolatilityCubes.java:57: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:296: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AbstractSingleSwapRateProduct.java:128: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:150: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:151: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:168: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:177: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 49 Remained 
StringBuilder_ThreadSafe @ AnnuityMappingTest.java:189: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 45 Remained 
StringBuilder_ThreadSafe @ BasicPiterbargAnnuityMapping.java:100: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MultiPiterbargAnnuityMapping.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
