Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:58: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:62: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:83: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:87: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:106: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:110: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:129: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:133: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAD.java:115: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:58: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:62: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:83: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:87: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:106: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:110: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:129: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableTypePriorityTest.java:133: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
