Appendable_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:224: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:257: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:273: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:276: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:337: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:338: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:339: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:458: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:533: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADFactory.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableADFactory.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 287 Redundant Traces, 1 Preserved, 25 Remained 
Collection_UnsafeIterator @ TimeDiscretizationFromArray.java:345: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ BermudanOption.java:231: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 3119 Redundant Traces, 1 Preserved, 146 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 1199 Redundant Traces, 1 Preserved, 57 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAD.java:121: 1 Unique Traces, 1199 Redundant Traces, 1 Preserved, 64 Remained 
Collections_SortBeforeBinarySearch @ TimeDiscretizationFromArray.java:303: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_HasNext @ AsianOption.java:79: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ BlackScholesMonteCarloValuationTest.java:248: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ AsianOption.java:79: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ BlackScholesMonteCarloValuationTest.java:248: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:224: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:257: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:273: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:276: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 32 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:337: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:338: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:339: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:458: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 27 Remained 
StringBuilder_ThreadSafe @ BlackScholesMonteCarloValuationTest.java:533: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADFactory.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableADFactory.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
