Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:96: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:100: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:101: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:104: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:105: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:108: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:109: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:112: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:113: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 154 Redundant Traces, 3 Preserved, 36 Remained 
Collection_UnsafeIterator @ TimeDiscretizationFromArray.java:345: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 149 Redundant Traces, 1 Preserved, 42 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 430 Redundant Traces, 1 Preserved, 109 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ TimeDiscretizationFromArray.java:303: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ AsianOption.java:79: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 154 Redundant Traces, 3 Preserved, 71 Remained 
Iterator_RemoveOnce @ AsianOption.java:79: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 154 Redundant Traces, 3 Preserved, 99 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:96: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:100: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:101: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:104: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:105: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:108: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:109: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:112: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelSensitivitiesTest.java:113: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
