Appendable_ThreadSafe @ RandomVariableDifferentiableAAD.java:1347: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RandomVariableFromDoubleArray.java:1500: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ StochasticLevenbergMarquardtTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StochasticLevenbergMarquardtTest.java:52: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ StochasticLevenbergMarquardtTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StochasticLevenbergMarquardtTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StochasticLevenbergMarquardtTest.java:96: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ StochasticLevenbergMarquardtTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 1 Unique Traces, 2276 Redundant Traces, 1 Preserved, 114 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 761 Redundant Traces, 1 Preserved, 60 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 253 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 1 Unique Traces, 2276 Redundant Traces, 1 Preserved, 125 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 1 Unique Traces, 2276 Redundant Traces, 1 Preserved, 125 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAAD.java:1347: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ RandomVariableFromDoubleArray.java:1500: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StochasticLevenbergMarquardtTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StochasticLevenbergMarquardtTest.java:52: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StochasticLevenbergMarquardtTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StochasticLevenbergMarquardtTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StochasticLevenbergMarquardtTest.java:96: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StochasticLevenbergMarquardtTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ LUDecomposition.java:334: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
