Appendable_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ AbstractForwardCurve.java:147: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:113: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:168: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:184: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:225: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:240: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:161: 1 Unique Traces, 161 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:578: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:579: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:582: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ DiscountCurveInterpolation.java:452: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ ForwardCurveInterpolation.java:407: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ CurveInterpolation.java:576: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 16 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ CalibrationTest.java:153: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CalibrationTest.java:212: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 2 Unique Traces, 84 Redundant Traces, 2 Preserved, 21 Remained 
Iterator_HasNext @ CurveInterpolation.java:576: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_HasNext @ ParameterAggregation.java:85: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ ParameterAggregation.java:95: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_RemoveOnce @ CurveInterpolation.java:576: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:85: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:95: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ AbstractForwardCurve.java:147: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:113: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:168: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:184: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:225: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:240: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:161: 1 Unique Traces, 161 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:578: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:579: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:582: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ DiscountCurveInterpolation.java:452: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ ForwardCurveInterpolation.java:407: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
