Appendable_ThreadSafe @ Builder.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FunctionalImpl.java:633: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Appendable_ThreadSafe @ Iterables.java:677: 5 Unique Traces, 56 Redundant Traces, 4 Preserved, 9 Remained 
Appendable_ThreadSafe @ Iterables.java:715: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ Iterables.java:740: 6 Unique Traces, 11 Redundant Traces, 6 Preserved, 11 Remained 
Appendable_ThreadSafe @ Match.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Match.java:58: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Match.java:68: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Match.java:85: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ Match.java:129: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Match.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Match.java:163: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Match.java:207: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Match.java:231: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Match.java:236: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SortTest.java:32: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ SortTest.java:41: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
