Collection_UnsafeIterator @ ISEA3H.java:367: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ ISEAProjection.java:281: 12 Unique Traces, 999988 Redundant Traces, 4 Preserved, 49961 Remained 
Collection_UnsynchronizedAddAll @ ISEA3H.java:519: 1 Unique Traces, 479 Redundant Traces, 1 Preserved, 48 Remained 
Collections_SortBeforeBinarySearch @ ISEA3H.java:361: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:323: 1 Unique Traces, 79962 Redundant Traces, 1 Preserved, 4025 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:326: 1 Unique Traces, 29109 Redundant Traces, 1 Preserved, 1507 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:329: 1 Unique Traces, 24762 Redundant Traces, 1 Preserved, 1247 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:332: 1 Unique Traces, 28921 Redundant Traces, 1 Preserved, 1491 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:335: 1 Unique Traces, 80523 Redundant Traces, 1 Preserved, 4067 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:340: 1 Unique Traces, 12309 Redundant Traces, 1 Preserved, 611 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:343: 1 Unique Traces, 28802 Redundant Traces, 1 Preserved, 1413 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:346: 1 Unique Traces, 80271 Redundant Traces, 1 Preserved, 3967 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:349: 1 Unique Traces, 80264 Redundant Traces, 1 Preserved, 3972 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:352: 1 Unique Traces, 28526 Redundant Traces, 1 Preserved, 1494 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:355: 1 Unique Traces, 12402 Redundant Traces, 1 Preserved, 645 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:360: 1 Unique Traces, 57153 Redundant Traces, 1 Preserved, 2896 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:363: 1 Unique Traces, 49130 Redundant Traces, 1 Preserved, 2432 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:366: 1 Unique Traces, 45443 Redundant Traces, 1 Preserved, 2251 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:369: 1 Unique Traces, 48633 Redundant Traces, 1 Preserved, 2479 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:372: 1 Unique Traces, 57158 Redundant Traces, 1 Preserved, 2883 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:375: 1 Unique Traces, 56705 Redundant Traces, 1 Preserved, 2846 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:378: 1 Unique Traces, 48535 Redundant Traces, 1 Preserved, 2385 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:381: 1 Unique Traces, 45263 Redundant Traces, 1 Preserved, 2290 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:384: 1 Unique Traces, 48638 Redundant Traces, 1 Preserved, 2373 Remained 
Collections_SortBeforeBinarySearch @ ISEAProjection.java:387: 1 Unique Traces, 57470 Redundant Traces, 1 Preserved, 2842 Remained 
Iterator_HasNext @ ISEA3H.java:367: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 22 Remained 
Iterator_HasNext @ ISEAProjection.java:281: 12 Unique Traces, 999988 Redundant Traces, 4 Preserved, 50040 Remained 
Iterator_RemoveOnce @ ISEA3H.java:367: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 23 Remained 
Iterator_RemoveOnce @ ISEAProjection.java:281: 12 Unique Traces, 999988 Redundant Traces, 1 Preserved, 49943 Remained 
