Appendable_ThreadSafe @ GeneratorVisitor.java:217: 1 Unique Traces, 88692 Redundant Traces, 1 Preserved, 4425 Remained 
Appendable_ThreadSafe @ GeneratorVisitor.java:224: 1 Unique Traces, 2164415 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ RuleContext.java:137: 1 Unique Traces, 280976 Redundant Traces, 1 Preserved, 10000 Remained 
Collection_UnsafeIterator @ ATNConfigSet.java:215: 2 Unique Traces, 15 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ ATNConfigSet.java:294: 23 Unique Traces, 404 Redundant Traces, 6 Preserved, 36 Remained 
Collection_UnsafeIterator @ ATNDeserializer.java:171: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ATNDeserializer.java:175: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ATNDeserializer.java:223: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ATNDeserializer.java:286: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ATNDeserializer.java:306: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ATNDeserializer.java:506: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ATNDeserializer.java:528: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ATNState.java:171: 26 Unique Traces, 169 Redundant Traces, 26 Preserved, 169 Remained 
Collection_UnsafeIterator @ FlexibleHashMap.java:87: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ FlexibleHashMap.java:104: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ FlexibleHashMap.java:138: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsafeIterator @ GeneratorVisitor.java:124: 5 Unique Traces, 399885 Redundant Traces, 3 Preserved, 20384 Remained 
Collection_UnsafeIterator @ GeneratorVisitor.java:140: 9 Unique Traces, 35428 Redundant Traces, 3 Preserved, 1810 Remained 
Collection_UnsafeIterator @ GeneratorVisitor.java:166: 5 Unique Traces, 0 Redundant Traces, 5 Preserved, 0 Remained 
Collection_UnsafeIterator @ GeneratorVisitor.java:220: 55 Unique Traces, 289995 Redundant Traces, 7 Preserved, 14459 Remained 
Collection_UnsafeIterator @ GeneratorVisitor.java:221: 96 Unique Traces, 895909 Redundant Traces, 5 Preserved, 45054 Remained 
Collection_UnsafeIterator @ GeneratorVisitor.java:231: 3 Unique Traces, 380754 Redundant Traces, 3 Preserved, 19065 Remained 
Collection_UnsafeIterator @ LexerATNSimulator.java:324: 7 Unique Traces, 235 Redundant Traces, 5 Preserved, 52 Remained 
Collection_UnsafeIterator @ LexerATNSimulator.java:679: 7 Unique Traces, 128 Redundant Traces, 3 Preserved, 10 Remained 
Collection_UnsafeIterator @ ParserATNSimulator.java:794: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ ParserATNSimulator.java:855: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParserATNSimulator.java:2031: 3 Unique Traces, 20 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ ParserRuleContext.java:180: 7 Unique Traces, 2365075 Redundant Traces, 3 Preserved, 69998 Remained 
Collection_UnsafeIterator @ ParserRuleContext.java:249: 15 Unique Traces, 889840 Redundant Traces, 7 Preserved, 44453 Remained 
Collection_UnsafeIterator @ PredictionMode.java:278: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ PredictionMode.java:470: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PredictionMode.java:548: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ GeneratorVisitor.java:84: 1 Unique Traces, 3020 Redundant Traces, 1 Preserved, 152 Remained 
Collection_UnsynchronizedAddAll @ GeneratorVisitor.java:89: 1 Unique Traces, 37 Redundant Traces, 1 Preserved, 2 Remained 
