Appendable_ThreadSafe @ AttributeSource.java:78: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ HHMMSegmenter.java:70: 263 Unique Traces, 119137 Redundant Traces, 73 Preserved, 6316 Remained 
Appendable_ThreadSafe @ SentenceTokenizer.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StandardAnalyzerTest.java:29: 1 Unique Traces, 299 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ StandardAnalyzerTest.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StandardAnalyzerTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TermAttributeImpl.java:217: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ AttributeSource.java:207: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ AttributeSource.java:297: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ BiSegGraph.java:74: 3 Unique Traces, 1388998 Redundant Traces, 2 Preserved, 29998 Remained 
Collection_UnsafeIterator @ BiSegGraph.java:92: 3 Unique Traces, 1739998 Redundant Traces, 2 Preserved, 29998 Remained 
Collection_UnsafeIterator @ BiSegGraph.java:186: 3 Unique Traces, 1739998 Redundant Traces, 2 Preserved, 29998 Remained 
Collection_UnsafeIterator @ CJKSegmenter.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Dictionary.java:132: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ Dictionary.java:357: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
