Appendable_ThreadSafe @ AppendQueryImpl.java:67: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ AppendQueryImpl.java:92: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ AttachmentColumnInfoImpl.java:451: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ BaseSelectQueryImpl.java:43: 13 Unique Traces, 24 Redundant Traces, 13 Preserved, 24 Remained 
Appendable_ThreadSafe @ BaseSelectQueryImpl.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BaseSelectQueryImpl.java:109: 3 Unique Traces, 28 Redundant Traces, 2 Preserved, 27 Remained 
Appendable_ThreadSafe @ BaseSelectQueryImpl.java:153: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ BatchUpdateException.java:33: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ BigIndexTest.java:83: 1 Unique Traces, 77 Redundant Traces, 1 Preserved, 51 Remained 
Appendable_ThreadSafe @ BigIndexTest.java:87: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ BigIndexTest.java:94: 1 Unique Traces, 393 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ BigIndexTest.java:98: 1 Unique Traces, 419 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ BigIndexTest.java:122: 1 Unique Traces, 421 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ BigIndexTest.java:175: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 47 Remained 
Appendable_ThreadSafe @ BigIndexTest.java:179: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ BigIntTest.java:73: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ BigIntTest.java:76: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ BuiltinOperators.java:151: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ByteUtil.java:473: 42 Unique Traces, 108111 Redundant Traces, 5 Preserved, 5273 Remained 
Appendable_ThreadSafe @ ClassUtils.java:260: 1 Unique Traces, 46 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ CodecHandlerTest.java:118: 1 Unique Traces, 95 Redundant Traces, 1 Preserved, 38 Remained 
Appendable_ThreadSafe @ CodecHandlerTest.java:119: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CodecHandlerTest.java:161: 1 Unique Traces, 144 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ColValidatorEvalContext.java:86: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ColumnBuilder.java:420: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ColumnBuilder.java:463: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ColumnBuilder.java:506: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:326: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:869: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:930: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:1332: 1 Unique Traces, 173 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:1359: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:1653: 1 Unique Traces, 2414 Redundant Traces, 1 Preserved, 125 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:1752: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 40 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:1755: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 44 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:2313: 1 Unique Traces, 42 Redundant Traces, 1 Preserved, 39 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:2515: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:2581: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:2589: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ColumnImpl.java:2687: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ ColumnValidatorTest.java:67: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ ComplexColumnSupport.java:111: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CompoundOleUtil.java:199: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ CrossTabQueryImpl.java:83: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CursorBuilder.java:153: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CursorImpl.java:170: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ CursorImpl.java:1015: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CursorImpl.java:1085: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ CursorTest.java:72: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ CursorTest.java:112: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ CursorTest.java:138: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ CursorTest.java:141: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ CursorTest.java:386: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CursorTest.java:388: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ CursorTest.java:474: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ CursorTest.java:475: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ CursorTest.java:519: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ CursorTest.java:522: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ CursorTest.java:525: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ CursorTest.java:550: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ CursorTest.java:1292: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CursorTest.java:1293: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CustomLinkResolver.java:176: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CustomLinkResolverTest.java:122: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ CustomLinkResolverTest.java:136: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ CustomToStringStyle.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CustomToStringStyle.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CustomToStringStyle.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DataDefinitionQueryImpl.java:52: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ DataType.java:371: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DataType.java:479: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ Database.java:185: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ DatabaseImpl.java:402: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DatabaseImpl.java:1405: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ DatabaseImpl.java:1938: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ DatabaseImpl.java:1988: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ DatabaseImpl.java:2282: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ DatabaseImpl.java:2300: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DatabaseReadWriteTest.java:137: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ DatabaseReadWriteTest.java:203: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ DatabaseReadWriteTest.java:220: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DatabaseReadWriteTest.java:230: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:95: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:269: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:598: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:610: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 41 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:665: 1 Unique Traces, 3757 Redundant Traces, 1 Preserved, 219 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:705: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:762: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:764: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DatabaseTest.java:768: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DefaultFunctionsTest.java:572: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 46 Remained 
Appendable_ThreadSafe @ DefaultTextFunctions.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultTextFunctions.java:321: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultTextFunctions.java:325: 6 Unique Traces, 1 Redundant Traces, 5 Preserved, 1 Remained 
Appendable_ThreadSafe @ DefaultTextFunctions.java:457: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DeleteQueryImpl.java:40: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DirectoryNode.java:330: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ExportTest.java:82: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ExportTest.java:97: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ExportTest.java:121: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ExportUtil.java:291: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ExportUtil.java:292: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ ExpressionTokenizer.java:202: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ExpressionTokenizer.java:367: 124 Unique Traces, 369 Redundant Traces, 10 Preserved, 37 Remained 
Appendable_ThreadSafe @ Expressionator.java:601: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Expressionator.java:643: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:662: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:688: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:743: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:756: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:797: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:813: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:881: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:909: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1149: 6 Unique Traces, 6 Redundant Traces, 6 Preserved, 6 Remained 
Appendable_ThreadSafe @ Expressionator.java:1241: 12 Unique Traces, 22 Redundant Traces, 12 Preserved, 22 Remained 
Appendable_ThreadSafe @ Expressionator.java:1264: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Appendable_ThreadSafe @ Expressionator.java:1268: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ Expressionator.java:1293: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Expressionator.java:1300: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1405: 30 Unique Traces, 23 Redundant Traces, 30 Preserved, 23 Remained 
Appendable_ThreadSafe @ Expressionator.java:1508: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1566: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1597: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Expressionator.java:1632: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1668: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1731: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Expressionator.java:1792: 4 Unique Traces, 1 Redundant Traces, 4 Preserved, 1 Remained 
Appendable_ThreadSafe @ Expressionator.java:1945: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:76: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:155: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:159: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:163: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:167: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:172: 1 Unique Traces, 37 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:178: 1 Unique Traces, 42 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:184: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:190: 1 Unique Traces, 190 Redundant Traces, 1 Preserved, 172 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:196: 1 Unique Traces, 37 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:202: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:209: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:211: 1 Unique Traces, 37 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:219: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:221: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:230: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:232: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ ExpressionatorTest.java:240: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 12 Remained 
