Appendable_ThreadSafe @ AntPathFilterTest.java:21: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ AntPathFilterTest.java:25: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ AntPathMatcher.java:639: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AntPathMatcher.java:859: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AntPathMatcher.java:860: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultPrettyPrinter.java:243: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ User.java:26: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ User.java:27: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ User.java:28: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 69 Remained 
Arrays_SortBeforeBinarySearch @ ArrayIterator.java:17: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ TokenBuffer.java:2051: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Arrays_SortBeforeBinarySearch @ UntypedObjectDeserializer.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AnnotationMap.java:99: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ AnnotationMap.java:103: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ BasicSerializerFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:487: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedCreatorCollector.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedCreatorCollector.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AntPathConvertTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
