Appendable_ThreadSafe @ ArrayWriteTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncCommentParsingTest.java:118: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ AsyncCommentParsingTest.java:157: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ AsyncFieldNamesTest.java:75: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ AsyncFieldNamesTest.java:91: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ AsyncMissingValuesInArrayTest.java:219: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ AsyncMissingValuesInObjectTest.java:146: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AsyncNaNHandlingTest.java:118: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ AsyncNonStdParsingTest.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncNonStdParsingTest.java:59: 1 Unique Traces, 7349 Redundant Traces, 1 Preserved, 345 Remained 
Appendable_ThreadSafe @ AsyncNumberCoercionTest.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncNumberCoercionTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncNumberDeferredReadTest.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncParserNamesTest.java:42: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AsyncParserNamesTest.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncParserNamesTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncScalarArrayTest.java:81: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncSimpleObjectTest.java:171: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ AsyncStringArrayTest.java:23: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncStringArrayTest.java:164: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncStringArrayTest.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncUnicodeHandlingTest.java:60: 5 Unique Traces, 10 Redundant Traces, 5 Preserved, 5 Remained 
Appendable_ThreadSafe @ AsyncUnicodeHandlingTest.java:85: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ Base64BinaryParsingTest.java:349: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ Base64BinaryParsingTest.java:352: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Base64BinaryParsingTest.java:355: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ Base64CodecTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64CodecTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64CodecTest.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64CodecTest.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64CodecTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64GenerationTest.java:190: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ Base64Variant.java:158: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64Variant.java:426: 8 Unique Traces, 8 Redundant Traces, 6 Preserved, 5 Remained 
Appendable_ThreadSafe @ Base64Variant.java:463: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
