Appendable_ThreadSafe @ TestInstantiationSpeed.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestMultiThreadMapIterator.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ TestSerialization.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestHashCollisionsRemoveIterator.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMapIterator.java:23: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMapIterator.java:27: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMapIterator.java:30: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMapIterator.java:37: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMapIterator.java:46: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMultiThreadMapIterator.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMultiThreadMapIterator.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TestMultiThreadMapIterator.java:104: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TrieMap.java:1786: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TestHashCollisionsRemoveIterator.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TestMultiThreadMapIterator.java:142: 4 Unique Traces, 149996 Redundant Traces, 1 Preserved, 7554 Remained 
InputStream_ManipulateAfterClose @ TestSerialization.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ TestSerialization.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ TestHashCollisionsRemoveIterator.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ TestMapIterator.java:23: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Iterator_HasNext @ TestMapIterator.java:27: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
