Appendable_ThreadSafe @ EgressInterfaceFinder.java:135: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ EthernetAddress.java:108: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ EthernetAddress.java:135: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ EthernetAddress.java:436: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ EthernetAddress.java:572: 1 Unique Traces, 62 Redundant Traces, 1 Preserved, 62 Remained 
Appendable_ThreadSafe @ EthernetAddressTest.java:1441: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ EthernetAddressTest.java:1444: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ EthernetAddressTest.java:1453: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ EthernetAddressTest.java:1456: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ EthernetAddressTest.java:1476: 1 Unique Traces, 95 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ UUIDComparatorTest.java:123: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:350: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 448 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:364: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 443 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:383: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 419 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:391: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 478 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:434: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 473 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:449: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 466 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:467: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 467 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:474: 1 Unique Traces, 8999 Redundant Traces, 1 Preserved, 482 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:631: 1 Unique Traces, 44999 Redundant Traces, 1 Preserved, 2266 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:642: 1 Unique Traces, 44999 Redundant Traces, 1 Preserved, 2322 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:657: 1 Unique Traces, 125999 Redundant Traces, 1 Preserved, 6410 Remained 
Appendable_ThreadSafe @ UUIDGeneratorTest.java:704: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
