Appendable_ThreadSafe @ VectorTileEncoderPerformanceTest.java:35: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ WKTWriter.java:173: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ WKTWriter.java:735: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ AbstractMessageLite.java:372: 19 Unique Traces, 76 Redundant Traces, 7 Preserved, 22 Remained 
Collection_UnsafeIterator @ AbstractSTRtree.java:147: 30 Unique Traces, 81 Redundant Traces, 9 Preserved, 13 Remained 
Collection_UnsafeIterator @ BufferBuilder.java:218: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ BufferBuilder.java:278: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ BufferBuilder.java:307: 2 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ BufferSubgraph.java:73: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ BufferSubgraph.java:147: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 8 Remained 
Collection_UnsafeIterator @ BufferSubgraph.java:250: 2 Unique Traces, 17 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ EdgeEndStar.java:100: 35 Unique Traces, 497 Redundant Traces, 35 Preserved, 497 Remained 
Collection_UnsafeIterator @ EdgeIntersectionList.java:66: 4 Unique Traces, 40 Redundant Traces, 4 Preserved, 40 Remained 
Collection_UnsafeIterator @ EdgeList.java:57: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ EdgeList.java:79: 6 Unique Traces, 0 Redundant Traces, 6 Preserved, 0 Remained 
Collection_UnsafeIterator @ EdgeNodingValidator.java:52: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ FieldSet.java:242: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 38 Remained 
Collection_UnsafeIterator @ GeometryFactory.java:553: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ GeometryFactory.java:579: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ GeometryGraph.java:196: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ GeometryGraph.java:423: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ IndexedNestedHoleTester.java:81: 3 Unique Traces, 23 Redundant Traces, 3 Preserved, 22 Remained 
Collection_UnsafeIterator @ IndexedNestedPolygonTester.java:91: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ IndexedPointInAreaLocator.java:145: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ LineBuilder.java:68: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ LineBuilder.java:78: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ LineBuilder.java:90: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ LineBuilder.java:155: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MCIndexNoder.java:84: 9 Unique Traces, 16 Redundant Traces, 9 Preserved, 16 Remained 
Collection_UnsafeIterator @ MCIndexNoder.java:95: 15 Unique Traces, 10 Redundant Traces, 15 Preserved, 10 Remained 
Collection_UnsafeIterator @ MCIndexNoder.java:99: 32 Unique Traces, 2275 Redundant Traces, 5 Preserved, 170 Remained 
