Appendable_ThreadSafe @ ComplexFunction.java:92: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:257: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:331: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:393: 1 Unique Traces, 90 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:439: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 52 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:443: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:446: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:474: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ ComplexFunction.java:481: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:20: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:55: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ComplexTest.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
