Appendable_ThreadSafe @ Bug102Test.java:91: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ Bug102Test.java:94: 1 Unique Traces, 395 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ Bug102Test.java:160: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Bug34CharacterEncodingTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Bug49Test.java:33: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Bug49Test.java:35: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ Bug56Test.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Bug56Test.java:36: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ Bug56Test.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Bug64ExcelDBFTest.java:34: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Bug64ExcelDBFTest.java:36: 1 Unique Traces, 159 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ DBFDataType.java:201: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFField.java:444: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DBFField.java:467: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFField.java:492: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFField.java:521: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DBFLockWriterTest.java:39: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DBFLockWriterTest.java:58: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DBFReader.java:301: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFReader.java:396: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFReader.java:477: 1 Unique Traces, 224 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ DBFReader.java:647: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFRow.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFRow.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFRowTest.java:35: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DBFUtils.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFUtils.java:248: 10 Unique Traces, 45 Redundant Traces, 2 Preserved, 2 Remained 
Appendable_ThreadSafe @ DBFUtils.java:251: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFUtilsTest.java:233: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DBFWriter.java:193: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DBFWriter.java:239: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFWriter.java:310: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFWriter.java:316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
