Appendable_ThreadSafe @ BankAccountExample.java:139: 1 Unique Traces, 189 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ BeforeAfter.java:63: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ BeforeAfter.java:68: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ BeforeAfter.java:73: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BeforeAfter.java:79: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BeforeAfter.java:84: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ BeforeAfter.java:89: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ FactorSpaceUtils.java:54: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ FactorSpaceUtils.java:59: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ InternalUtils.java:140: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ InternalUtils.java:299: 13 Unique Traces, 6 Redundant Traces, 13 Preserved, 6 Remained 
Appendable_ThreadSafe @ JUnit4Runner.java:68: 1 Unique Traces, 932 Redundant Traces, 1 Preserved, 91 Remained 
Appendable_ThreadSafe @ ParameterSpaceUtils.java:89: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ ParameterSpaceUtils.java:93: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ Parser.java:53: 1 Unique Traces, 1286 Redundant Traces, 1 Preserved, 104 Remained 
Appendable_ThreadSafe @ ParserTest.java:84: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ ParserTest.java:92: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ RegexTestUtils.java:18: 1 Unique Traces, 107 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ RegexTestUtils.java:31: 1 Unique Traces, 139 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ RegexTestUtils.java:44: 1 Unique Traces, 207 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ RegexTestUtils.java:49: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ RegexTestUtils.java:55: 5 Unique Traces, 431 Redundant Traces, 3 Preserved, 31 Remained 
Appendable_ThreadSafe @ RegexTranslator.java:126: 1 Unique Traces, 116 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ SchemafulTupleSetUtils.java:11: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ StringDescription.java:41: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Utils.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ IpoGplus.java:216: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
CharSequence_NotInMap @ Tuple.java:23: 4 Unique Traces, 21422 Redundant Traces, 1 Preserved, 1057 Remained 
CharSequence_NotInMap @ Tuple.java:41: 5 Unique Traces, 7446146 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ AllOf.java:26: 8 Unique Traces, 64 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ BankAccountExample.java:101: 5 Unique Traces, 58971 Redundant Traces, 1 Preserved, 3039 Remained 
Collection_UnsafeIterator @ BankAccountExample.java:125: 3 Unique Traces, 187 Redundant Traces, 2 Preserved, 10 Remained 
Collection_UnsafeIterator @ CartesianEnumerator.java:20: 28 Unique Traces, 33708 Redundant Traces, 5 Preserved, 1679 Remained 
Collection_UnsafeIterator @ CartesianEnumerator.java:32: 10 Unique Traces, 7234007 Redundant Traces, 1 Preserved, 39999 Remained 
Collection_UnsafeIterator @ CartesianEnumerator.java:62: 10 Unique Traces, 60114 Redundant Traces, 10 Preserved, 60114 Remained 
Collection_UnsafeIterator @ CartesianEnumerator.java:71: 10 Unique Traces, 33726 Redundant Traces, 5 Preserved, 1763 Remained 
Collection_UnsafeIterator @ CartesianEnumerator.java:84: 28 Unique Traces, 67444 Redundant Traces, 4 Preserved, 3401 Remained 
