Appendable_ThreadSafe @ FinalSeg.java:122: 9 Unique Traces, 98195 Redundant Traces, 3 Preserved, 4824 Remained 
Appendable_ThreadSafe @ FinalSeg.java:129: 10 Unique Traces, 46043 Redundant Traces, 9 Preserved, 2335 Remained 
Appendable_ThreadSafe @ JiebaSegmenter.java:104: 25 Unique Traces, 284377 Redundant Traces, 4 Preserved, 14295 Remained 
Appendable_ThreadSafe @ JiebaSegmenter.java:196: 14 Unique Traces, 376481 Redundant Traces, 2 Preserved, 18785 Remained 
Appendable_ThreadSafe @ SegToken.java:20: 1 Unique Traces, 1511 Redundant Traces, 1 Preserved, 95 Remained 
Appendable_ThreadSafe @ WordDictionary.java:57: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Arrays_SortBeforeBinarySearch @ DictSegment.java:113: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ DictSegment.java:225: 470 Unique Traces, 225612 Redundant Traces, 33 Preserved, 11244 Remained 
Collection_UnsafeIterator @ JiebaSegmenter.java:81: 5 Unique Traces, 3803062 Redundant Traces, 2 Preserved, 49998 Remained 
Collection_UnsafeIterator @ JiebaSegmenter.java:109: 11 Unique Traces, 46 Redundant Traces, 6 Preserved, 8 Remained 
Collection_UnsafeIterator @ JiebaSegmenter.java:114: 11 Unique Traces, 84031 Redundant Traces, 11 Preserved, 4303 Remained 
Collection_UnsafeIterator @ JiebaSegmenter.java:147: 13 Unique Traces, 90 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ JiebaSegmenter.java:152: 14 Unique Traces, 200186 Redundant Traces, 2 Preserved, 10045 Remained 
Collection_UnsafeIterator @ WordDictionary.java:122: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FinalSeg.java:145: 9 Unique Traces, 98195 Redundant Traces, 2 Preserved, 4895 Remained 
Collections_SortBeforeBinarySearch @ FinalSeg.java:190: 9 Unique Traces, 98195 Redundant Traces, 8 Preserved, 4898 Remained 
Collections_SortBeforeBinarySearch @ FinalSeg.java:201: 4 Unique Traces, 32028 Redundant Traces, 4 Preserved, 1654 Remained 
Collections_SortBeforeBinarySearch @ FinalSeg.java:205: 8 Unique Traces, 14107 Redundant Traces, 8 Preserved, 14107 Remained 
Collections_SortBeforeBinarySearch @ FinalSeg.java:221: 7 Unique Traces, 32031 Redundant Traces, 6 Preserved, 1665 Remained 
Collections_SortBeforeBinarySearch @ JiebaSegmenter.java:48: 5 Unique Traces, 3560769 Redundant Traces, 2 Preserved, 49998 Remained 
Collections_SortBeforeBinarySearch @ JiebaSegmenter.java:67: 1 Unique Traces, 242292 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ JiebaSegmenter.java:110: 16 Unique Traces, 3 Redundant Traces, 15 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ JiebaSegmenter.java:121: 1 Unique Traces, 2000 Redundant Traces, 1 Preserved, 108 Remained 
Collections_SortBeforeBinarySearch @ JiebaSegmenter.java:133: 14 Unique Traces, 28000 Redundant Traces, 13 Preserved, 28000 Remained 
Collections_SortBeforeBinarySearch @ JiebaSegmenter.java:142: 4 Unique Traces, 4000 Redundant Traces, 4 Preserved, 215 Remained 
Collections_SortBeforeBinarySearch @ JiebaSegmenter.java:148: 13 Unique Traces, 79 Redundant Traces, 2 Preserved, 13 Remained 
