Appendable_ThreadSafe @ LemmaExample.java:63: 1 Unique Traces, 215351 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ LemmaExample.java:137: 1 Unique Traces, 71750 Redundant Traces, 1 Preserved, 3628 Remained 
Appendable_ThreadSafe @ LemmaRule.java:47: 1 Unique Traces, 215354 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ LemmaRule.java:87: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ SimpleLogger.java:231: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ TrainTest.java:98: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ TrainTest.java:101: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ ExampleList.java:175: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ LemmaTreeNode.java:110: 24 Unique Traces, 3052 Redundant Traces, 4 Preserved, 186 Remained 
Collection_UnsafeIterator @ LemmaTreeNode.java:112: 1 Unique Traces, 2089 Redundant Traces, 1 Preserved, 120 Remained 
Collection_UnsafeIterator @ LemmaTreeNode.java:118: 8 Unique Traces, 5586 Redundant Traces, 2 Preserved, 280 Remained 
Collection_UnsafeIterator @ LemmaTreeNode.java:181: 5 Unique Traces, 7198 Redundant Traces, 4 Preserved, 386 Remained 
Collection_UnsafeIterator @ LemmaTreeNode.java:321: 24 Unique Traces, 1185 Redundant Traces, 5 Preserved, 64 Remained 
Collection_UnsafeIterator @ LoggerFactory.java:191: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RuleList.java:76: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExampleList.java:169: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LemmaTreeNode.java:182: 5 Unique Traces, 7198 Redundant Traces, 4 Preserved, 334 Remained 
InputStream_ManipulateAfterClose @ LemmatizerFactory.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ LemmatizerFactory.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ExampleList.java:175: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ LemmaTreeNode.java:110: 24 Unique Traces, 3052 Redundant Traces, 4 Preserved, 223 Remained 
Iterator_HasNext @ LemmaTreeNode.java:113: 1 Unique Traces, 2089 Redundant Traces, 1 Preserved, 115 Remained 
Iterator_HasNext @ LemmaTreeNode.java:118: 8 Unique Traces, 5586 Redundant Traces, 2 Preserved, 265 Remained 
Iterator_HasNext @ LemmaTreeNode.java:181: 5 Unique Traces, 7198 Redundant Traces, 3 Preserved, 389 Remained 
Iterator_HasNext @ LemmaTreeNode.java:321: 24 Unique Traces, 1185 Redundant Traces, 11 Preserved, 85 Remained 
Iterator_HasNext @ LoggerFactory.java:191: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RuleList.java:76: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ ExampleList.java:175: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ LemmaTreeNode.java:110: 24 Unique Traces, 3052 Redundant Traces, 4 Preserved, 165 Remained 
Iterator_RemoveOnce @ LemmaTreeNode.java:113: 1 Unique Traces, 2089 Redundant Traces, 1 Preserved, 119 Remained 
Iterator_RemoveOnce @ LemmaTreeNode.java:118: 7 Unique Traces, 2740 Redundant Traces, 2 Preserved, 144 Remained 
Iterator_RemoveOnce @ LemmaTreeNode.java:181: 5 Unique Traces, 7198 Redundant Traces, 3 Preserved, 343 Remained 
Iterator_RemoveOnce @ LemmaTreeNode.java:321: 24 Unique Traces, 1185 Redundant Traces, 6 Preserved, 60 Remained 
Iterator_RemoveOnce @ RuleList.java:76: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Map_CollectionViewAdd @ ExampleList.java:168: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ LemmaTreeNode.java:110: 2 Unique Traces, 3074 Redundant Traces, 2 Preserved, 175 Remained 
Map_CollectionViewAdd @ LemmaTreeNode.java:112: 1 Unique Traces, 2089 Redundant Traces, 1 Preserved, 140 Remained 
Map_CollectionViewAdd @ LemmaTreeNode.java:118: 24 Unique Traces, 3052 Redundant Traces, 3 Preserved, 146 Remained 
Map_CollectionViewAdd @ LemmaTreeNode.java:181: 1 Unique Traces, 7202 Redundant Traces, 1 Preserved, 333 Remained 
Map_CollectionViewAdd @ LemmaTreeNode.java:321: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Map_CollectionViewAdd @ RuleList.java:76: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SubstituteLoggerFactory.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ LemmaTreeNode.java:110: 235 Unique Traces, 5917 Redundant Traces, 11 Preserved, 155 Remained 
Map_UnsafeIterator @ LemmaTreeNode.java:112: 2 Unique Traces, 4178 Redundant Traces, 2 Preserved, 138 Remained 
Map_UnsafeIterator @ LemmaTreeNode.java:118: 1455 Unique Traces, 7215 Redundant Traces, 112 Preserved, 375 Remained 
Map_UnsafeIterator @ LemmaTreeNode.java:181: 6 Unique Traces, 14400 Redundant Traces, 4 Preserved, 405 Remained 
Map_UnsafeIterator @ LemmaTreeNode.java:321: 134 Unique Traces, 1075 Redundant Traces, 134 Preserved, 1075 Remained 
Map_UnsafeIterator @ RuleList.java:76: 4 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
OutputStream_ManipulateAfterClose @ LemmatizerFactory.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LemmaExample.java:63: 1 Unique Traces, 215351 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ LemmaExample.java:105: 1 Unique Traces, 71783 Redundant Traces, 1 Preserved, 3520 Remained 
StringBuilder_ThreadSafe @ LemmaExample.java:118: 1 Unique Traces, 71783 Redundant Traces, 1 Preserved, 3636 Remained 
StringBuilder_ThreadSafe @ LemmaExample.java:137: 1 Unique Traces, 71750 Redundant Traces, 1 Preserved, 3590 Remained 
StringBuilder_ThreadSafe @ LemmaRule.java:47: 1 Unique Traces, 215354 Redundant Traces, 1 Preserved, 10000 Remained 
