Appendable_ThreadSafe @ AnsiEscapes.java:23: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ AnsiEscapes.java:41: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Card.java:86: 1 Unique Traces, 25989654 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ CardTest.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CardTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CardTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CardUtil4Testing.java:60: 1 Unique Traces, 2598959 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ CombinationTest.java:69: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CombinationTest.java:77: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CombinationTest.java:86: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ CombinationTest.java:95: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CombinationTest.java:103: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ CombinationTest.java:115: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ CombinationTest.java:127: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CombinationTest.java:136: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CombinationTest.java:147: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CombinationTest.java:160: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CombinationTest.java:177: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CombinationTest.java:193: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CombinationTest.java:209: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CucumberScenario.java:52: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CucumberScenarioOutline.java:118: 1 Unique Traces, 335 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ CucumberTagStatement.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CucumberTagStatement.java:28: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ En.java:586: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ En.java:940: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ExamplesRunner.java:42: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ExecutionUnitRunner.java:90: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 30 Remained 
