Appendable_ThreadSafe @ OAbstractPaginatedStorage.java:158: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ OAbstractPaginatedStorage.java:159: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ OAbstractPaginatedStorage.java:160: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ OAbstractPaginatedStorage.java:161: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ OAbstractPaginatedStorage.java:410: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ OAbstractPaginatedStorage.java:1221: 1 Unique Traces, 197 Redundant Traces, 1 Preserved, 61 Remained 
Appendable_ThreadSafe @ OAbstractProfiler.java:372: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ OAbstractRecordCache.java:154: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ OAbstractRecordCache.java:155: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ OAbstractRecordCache.java:156: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 40 Remained 
Appendable_ThreadSafe @ OAndBlock.java:66: 2 Unique Traces, 48 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ OBaseExpression.java:39: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ OBaseExpression.java:41: 2 Unique Traces, 425 Redundant Traces, 2 Preserved, 31 Remained 
Appendable_ThreadSafe @ OBaseExpression.java:43: 1 Unique Traces, 162 Redundant Traces, 1 Preserved, 53 Remained 
Appendable_ThreadSafe @ OBaseParser.java:117: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ OBaseParser.java:607: 38 Unique Traces, 309 Redundant Traces, 20 Preserved, 58 Remained 
Appendable_ThreadSafe @ OBinaryCondition.java:42: 1 Unique Traces, 136 Redundant Traces, 1 Preserved, 89 Remained 
Appendable_ThreadSafe @ OClassImpl.java:1862: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ OClassImpl.java:1906: 4 Unique Traces, 35 Redundant Traces, 3 Preserved, 5 Remained 
Appendable_ThreadSafe @ OClassImpl.java:1931: 1 Unique Traces, 222 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ OClassImpl.java:2284: 5 Unique Traces, 92 Redundant Traces, 3 Preserved, 10 Remained 
Appendable_ThreadSafe @ OCollection.java:29: 5 Unique Traces, 46 Redundant Traces, 4 Preserved, 10 Remained 
Appendable_ThreadSafe @ OCommandExecutorAbstract.java:138: 1 Unique Traces, 10000 Redundant Traces, 1 Preserved, 491 Remained 
Appendable_ThreadSafe @ OCommandExecutorAbstract.java:142: 38 Unique Traces, 241 Redundant Traces, 14 Preserved, 30 Remained 
Appendable_ThreadSafe @ OCommandExecutorSQLDelete.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OCommandExecutorSQLDelete.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OCommandExecutorSQLUpdate.java:189: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OConstants.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ODatabasePoolAbstract.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ODatabasePoolAbstract.java:207: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ODatabasePoolAbstract.java:225: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ODeleteStatement.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ODirectMemoryStorage.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ODurableComponent.java:76: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 520 Remained 
Appendable_ThreadSafe @ OExpression.java:78: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ OExpression.java:80: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ OFromItem.java:85: 1 Unique Traces, 113 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ OFunctionCall.java:49: 1 Unique Traces, 159 Redundant Traces, 1 Preserved, 54 Remained 
