Appendable_ThreadSafe @ ApplyScoreCommand.java:152: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:153: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:154: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 42 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:155: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:157: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:159: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 47 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:161: 1 Unique Traces, 65 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:182: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:192: 1 Unique Traces, 65 Redundant Traces, 1 Preserved, 55 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:202: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:205: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:210: 1 Unique Traces, 65 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ ApplyScoreCommand.java:326: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ApplyScoreTask.java:224: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ApplyScoreTask.java:227: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ApplyScoreTask.java:554: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CommandLine.java:2787: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommandLine.java:5817: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ CommandLine.java:5925: 1 Unique Traces, 156 Redundant Traces, 1 Preserved, 14 Remained 
