Appendable_ThreadSafe @ ASNode.java:136: 1 Unique Traces, 216 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ ASNode.java:137: 1 Unique Traces, 460 Redundant Traces, 1 Preserved, 69 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:37: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:59: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:61: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:66: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 113 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:69: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 143 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:70: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:76: 1 Unique Traces, 1056 Redundant Traces, 1 Preserved, 60 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:82: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:92: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:101: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:104: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:110: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 82 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:111: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 77 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:112: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 62 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:115: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 67 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:118: 1 Unique Traces, 1059 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ AbstractSyntaxTree.java:128: 1 Unique Traces, 1056 Redundant Traces, 1 Preserved, 82 Remained 
