Appendable_ThreadSafe @ AnswerSet.java:115: 1 Unique Traces, 616 Redundant Traces, 1 Preserved, 58 Remained 
Appendable_ThreadSafe @ AnswerSet.java:122: 1 Unique Traces, 616 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ ResourceRecord.java:114: 1 Unique Traces, 706 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ ResourceRecord.java:115: 1 Unique Traces, 706 Redundant Traces, 1 Preserved, 38 Remained 
Appendable_ThreadSafe @ RubberTree.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RubberTree.java:100: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RubberTree.java:102: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RubberTree.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SimpleSignatureShuffleSharder.java:90: 1 Unique Traces, 129999 Redundant Traces, 1 Preserved, 6462 Remained 
Collection_UnsafeIterator @ AnswerSet.java:62: 3 Unique Traces, 89 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ Lattice.java:176: 2 Unique Traces, 130598 Redundant Traces, 2 Preserved, 6599 Remained 
Collection_UnsafeIterator @ Lattice.java:229: 4 Unique Traces, 261017 Redundant Traces, 3 Preserved, 9997 Remained 
Collection_UnsafeIterator @ Lattice.java:243: 4 Unique Traces, 130673 Redundant Traces, 1 Preserved, 6674 Remained 
Collection_UnsafeIterator @ Lattice.java:258: 2 Unique Traces, 390796 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ Lattice.java:326: 4 Unique Traces, 361 Redundant Traces, 1 Preserved, 32 Remained 
Collection_UnsafeIterator @ RubberTree.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RubberTree.java:71: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ RubberTree.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RubberTree.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RubberTree.java:98: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharder.java:105: 2 Unique Traces, 129998 Redundant Traces, 1 Preserved, 6544 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharder.java:120: 2 Unique Traces, 109998 Redundant Traces, 1 Preserved, 5530 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharder.java:135: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 1005 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:46: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 539 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:97: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 4992 Remained 
