Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ClassFileVersion.java:545: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ EntryDefault.java:69: 1 Unique Traces, 165570 Redundant Traces, 1 Preserved, 8244 Remained 
Appendable_ThreadSafe @ FieldAccessor.java:361: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Implementation.java:1281: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ Implementation.java:1458: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:226: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1383: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LeafDefault.java:61: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MethodDescription.java:523: 3 Unique Traces, 25 Redundant Traces, 2 Preserved, 16 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:184: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:186: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:454: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ NodePosition.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NonLeafDefault.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PointDouble.java:43: 1 Unique Traces, 139178 Redundant Traces, 1 Preserved, 6990 Remained 
Appendable_ThreadSafe @ RTree.java:437: 1 Unique Traces, 165552 Redundant Traces, 1 Preserved, 8234 Remained 
Appendable_ThreadSafe @ RTree.java:916: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTree.java:924: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RTreeTest.java:164: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:831: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RandomString.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RectangleDouble.java:68: 1 Unique Traces, 26402 Redundant Traces, 1 Preserved, 1324 Remained 
Appendable_ThreadSafe @ RxJavaPlugins.java:293: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:123: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:132: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 14 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:164: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:548: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:565: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:582: 7 Unique Traces, 15 Redundant Traces, 7 Preserved, 15 Remained 
Appendable_ThreadSafe @ Type.java:616: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:642: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ Type.java:644: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ TypeDescription.java:8371: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 2 Remained 
Arrays_SortBeforeBinarySearch @ AnnotationDescription.java:637: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ Implementation.java:608: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1005: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1203: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ DynamicType.java:6090: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ DynamicType.java:6101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AllArguments.java:206: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 11 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:643: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:743: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ AnnotationDescription.java:578: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 7 Remained 
Collection_UnsafeIterator @ AnnotationList.java:104: 4 Unique Traces, 62 Redundant Traces, 4 Preserved, 26 Remained 
Collection_UnsafeIterator @ AnnotationList.java:130: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:294: 3 Unique Traces, 23 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:310: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:139: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteCodeElement.java:159: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ ClassInjector.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:242: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionErasureMatcher.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionItemMatcher.java:47: 3 Unique Traces, 35 Redundant Traces, 3 Preserved, 10 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Comparators.java:63: 7 Unique Traces, 431775 Redundant Traces, 2 Preserved, 21657 Remained 
Collection_UnsafeIterator @ ConstructorStrategy.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DynamicType.java:2962: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DynamicType.java:5688: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:6089: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:6100: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:132: 1 Unique Traces, 64 Redundant Traces, 1 Preserved, 64 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:145: 6 Unique Traces, 211 Redundant Traces, 3 Preserved, 24 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:200: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:213: 5 Unique Traces, 50 Redundant Traces, 4 Preserved, 15 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:345: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:601: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ FieldAttributeAppender.java:146: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:133: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:257: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ FilterableList.java:124: 7 Unique Traces, 109 Redundant Traces, 5 Preserved, 24 Remained 
Collection_UnsafeIterator @ Implementation.java:415: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ Implementation.java:1227: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ Implementation.java:1239: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ Implementation.java:1242: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ Implementation.java:1245: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ Iterables.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Iterables.java:92: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ LatentMatcher.java:336: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
