Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ ClassFileVersion.java:545: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ConstructorAccess.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ConstructorAccess.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FieldAccessor.java:361: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ Implementation.java:1281: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ Implementation.java:1458: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:226: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1383: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MethodDescription.java:523: 3 Unique Traces, 91 Redundant Traces, 2 Preserved, 10 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:184: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:186: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:454: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NodePosition.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NonLeafFlatBuffers.java:167: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ObservableSplit.java:109: 1 Unique Traces, 227 Redundant Traces, 1 Preserved, 39 Remained 
Appendable_ThreadSafe @ PointFloat.java:73: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ RTree.java:942: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 18 Remained 
Appendable_ThreadSafe @ RTree.java:950: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ RTreeTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:606: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:723: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ RTreeTest.java:727: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:742: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ RTreeTest.java:746: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:784: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ RTreeTest.java:786: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ RTreeTest.java:997: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ RTreeTest.java:1008: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ RandomString.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RectangleDouble.java:84: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ RectangleFloat.java:133: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 6 Remained 
