Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ClassFileVersion.java:545: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ EntryDefault.java:69: 1 Unique Traces, 42 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ FieldAccessor.java:361: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Implementation.java:1281: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ Implementation.java:1458: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:226: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1383: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MethodDescription.java:523: 3 Unique Traces, 24 Redundant Traces, 2 Preserved, 7 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:184: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:186: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:454: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ NodePosition.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PointDouble.java:49: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ PointFloat.java:73: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ RTree.java:926: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 18 Remained 
Appendable_ThreadSafe @ RTree.java:934: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ RTreeTest.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:156: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:164: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:499: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:607: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ RTreeTest.java:611: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:626: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ RTreeTest.java:630: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RTreeTest.java:667: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ RTreeTest.java:668: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ RandomString.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RectangleDouble.java:73: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RectangleFloat.java:131: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ RxJavaPlugins.java:293: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:123: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:132: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:164: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:548: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:565: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:582: 7 Unique Traces, 13 Redundant Traces, 7 Preserved, 13 Remained 
Appendable_ThreadSafe @ Type.java:616: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:642: 1 Unique Traces, 33 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ Type.java:644: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ TypeDescription.java:8371: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Arrays_SortBeforeBinarySearch @ AnnotationDescription.java:637: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ Implementation.java:608: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1005: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1203: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ DynamicType.java:6090: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
