Appendable_ThreadSafe @ AbstractConditionWordCheck.java:61: 14 Unique Traces, 254 Redundant Traces, 7 Preserved, 42 Remained 
Appendable_ThreadSafe @ AbstractSensitiveWord.java:54: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ InnerWordFormatUtils.java:41: 49 Unique Traces, 2150349 Redundant Traces, 11 Preserved, 107743 Remained 
Appendable_ThreadSafe @ MySensitiveTest.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MyWordReplace.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ WordCheckWord.java:63: 9 Unique Traces, 683 Redundant Traces, 5 Preserved, 55 Remained 
Appendable_ThreadSafe @ WordReplaceChar.java:35: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ WordResult.java:41: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ AbstractSensitiveWord.java:48: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ CollectionUtil.java:186: 4 Unique Traces, 30 Redundant Traces, 4 Preserved, 4 Remained 
Collection_UnsafeIterator @ InnerWordFormatUtils.java:88: 5 Unique Traces, 73 Redundant Traces, 5 Preserved, 73 Remained 
Collection_UnsafeIterator @ WordAllowDenyCombine.java:25: 5 Unique Traces, 34 Redundant Traces, 4 Preserved, 20 Remained 
Collection_UnsafeIterator @ WordAllowInit.java:35: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ WordCheckInit.java:34: 5 Unique Traces, 687 Redundant Traces, 2 Preserved, 38 Remained 
Collection_UnsafeIterator @ WordChecks.java:70: 1 Unique Traces, 691 Redundant Traces, 1 Preserved, 34 Remained 
Collection_UnsafeIterator @ WordDataTree.java:33: 4 Unique Traces, 35 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ WordDenyInit.java:36: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ WordFormatInit.java:36: 1 Unique Traces, 13584983 Redundant Traces, 1 Preserved, 10000 Remained 
Collection_UnsafeIterator @ WordFormats.java:55: 1 Unique Traces, 13584983 Redundant Traces, 1 Preserved, 9999 Remained 
