Appendable_ThreadSafe @ AnnotationHandler.java:207: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Appendable_ThreadSafe @ CallbackTest.java:204: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CallbackTest.java:205: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CamelCaseBuilder.java:155: 4 Unique Traces, 113 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CharacterArrayTransform.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HackJobToGrabFloatingTextTest.java:38: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ HyphenBuilder.java:123: 4 Unique Traces, 98 Redundant Traces, 3 Preserved, 21 Remained 
Appendable_ThreadSafe @ MethodCollector.java:31: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NoAnnotationsRequiredTest.java:170: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PackageParser.java:17: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ PackageParser.java:21: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 55 Remained 
Appendable_ThreadSafe @ PathParser.java:303: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ PathParser.java:349: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ PathParser.java:463: 4 Unique Traces, 29 Redundant Traces, 3 Preserved, 21 Remained 
Appendable_ThreadSafe @ PathParser.java:466: 5 Unique Traces, 75 Redundant Traces, 3 Preserved, 44 Remained 
Appendable_ThreadSafe @ PathParserTest.java:319: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ PerformanceTest.java:229: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PerformanceTest.java:230: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PerformanceTest.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ProviderInformationTest.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Reflection.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SignatureBuilderTest.java:75: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ SimpleConstructorInjectionTest.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StackOverflowTest.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StringArrayTransform.java:154: 3 Unique Traces, 4530 Redundant Traces, 1 Preserved, 256 Remained 
Appendable_ThreadSafe @ Timer.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:68: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:98: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:112: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:177: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:179: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:287: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:307: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:368: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ ValidationTestCase.java:387: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 10 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ PerformanceTest.java:218: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInstantiator.java:130: 4 Unique Traces, 46 Redundant Traces, 4 Preserved, 31 Remained 
Collection_UnsafeIterator @ CollectionTest.java:254: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionTest.java:268: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionTest.java:282: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionTest.java:320: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionTest.java:343: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionTest.java:357: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionTest.java:371: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionTest.java:386: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Collector.java:189: 7 Unique Traces, 38 Redundant Traces, 7 Preserved, 17 Remained 
Collection_UnsafeIterator @ CompositeInlineList.java:260: 5 Unique Traces, 34 Redundant Traces, 5 Preserved, 12 Remained 
Collection_UnsafeIterator @ CompositeInlineMap.java:244: 3 Unique Traces, 13 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ CompositeList.java:240: 7 Unique Traces, 1077 Redundant Traces, 3 Preserved, 58 Remained 
Collection_UnsafeIterator @ CompositeListUnion.java:266: 7 Unique Traces, 79 Redundant Traces, 7 Preserved, 78 Remained 
Collection_UnsafeIterator @ CompositeMap.java:251: 5 Unique Traces, 1488 Redundant Traces, 1 Preserved, 77 Remained 
