Appendable_ThreadSafe @ BestFactorAnalyzer.java:213: 1 Unique Traces, 20973465 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ ConcatNode.java:65: 1 Unique Traces, 545 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ GlushkovPrefixExtender.java:102: 1 Unique Traces, 262979 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ StringMatch.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ BitSetObjectMap.java:34: 1 Unique Traces, 303 Redundant Traces, 1 Preserved, 44 Remained 
Arrays_SortBeforeBinarySearch @ BitSetObjectMap.java:155: 1 Unique Traces, 88 Redundant Traces, 1 Preserved, 31 Remained 
Arrays_SortBeforeBinarySearch @ ByteObjectMap.java:34: 1 Unique Traces, 8825 Redundant Traces, 1 Preserved, 456 Remained 
Arrays_SortBeforeBinarySearch @ ByteObjectMap.java:156: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Arrays_SortBeforeBinarySearch @ CharObjectMap.java:34: 1 Unique Traces, 532151 Redundant Traces, 1 Preserved, 10000 Remained 
Arrays_SortBeforeBinarySearch @ CharObjectMap.java:156: 1 Unique Traces, 312 Redundant Traces, 1 Preserved, 21 Remained 
Arrays_SortBeforeBinarySearch @ DoubleArrayByteCompactTrie.java:46: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 13 Remained 
Arrays_SortBeforeBinarySearch @ DoubleArrayByteFallbackTrie.java:35: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 30 Remained 
Arrays_SortBeforeBinarySearch @ DoubleArrayCharCompactTrie.java:47: 1 Unique Traces, 187 Redundant Traces, 1 Preserved, 39 Remained 
Arrays_SortBeforeBinarySearch @ DoubleArrayCharCompactTrie.java:117: 1 Unique Traces, 77 Redundant Traces, 1 Preserved, 23 Remained 
Arrays_SortBeforeBinarySearch @ DoubleArrayCharFallbackTrie.java:35: 1 Unique Traces, 176 Redundant Traces, 1 Preserved, 17 Remained 
Arrays_SortBeforeBinarySearch @ DoubleArrayCharFallbackTrie.java:105: 1 Unique Traces, 170 Redundant Traces, 1 Preserved, 20 Remained 
Collection_UnsafeIterator @ AhoCorasick.java:47: 10 Unique Traces, 167 Redundant Traces, 4 Preserved, 19 Remained 
Collection_UnsafeIterator @ AhoCorasick.java:50: 4 Unique Traces, 27 Redundant Traces, 4 Preserved, 7 Remained 
Collection_UnsafeIterator @ AlternativesNode.java:24: 3 Unique Traces, 153 Redundant Traces, 2 Preserved, 19 Remained 
Collection_UnsafeIterator @ AlternativesNode.java:58: 3 Unique Traces, 47 Redundant Traces, 2 Preserved, 28 Remained 
Collection_UnsafeIterator @ BPGlushkov.java:165: 4 Unique Traces, 14 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ BestFactorAnalyzer.java:78: 47 Unique Traces, 2916 Redundant Traces, 3 Preserved, 151 Remained 
Collection_UnsafeIterator @ BestFactorAnalyzer.java:177: 8 Unique Traces, 186 Redundant Traces, 6 Preserved, 33 Remained 
Collection_UnsafeIterator @ BestFactorAnalyzer.java:211: 84 Unique Traces, 1014 Redundant Traces, 12 Preserved, 59 Remained 
Collection_UnsafeIterator @ BestFactorAnalyzer.java:212: 4 Unique Traces, 8390572 Redundant Traces, 1 Preserved, 29999 Remained 
Collection_UnsafeIterator @ BestFactorAnalyzer.java:222: 2 Unique Traces, 129 Redundant Traces, 2 Preserved, 60 Remained 
Collection_UnsafeIterator @ BestFactorAnalyzer.java:233: 7 Unique Traces, 151 Redundant Traces, 2 Preserved, 16 Remained 
Collection_UnsafeIterator @ BitMaskCharClassMapper.java:30: 7 Unique Traces, 181 Redundant Traces, 5 Preserved, 35 Remained 
Collection_UnsafeIterator @ BitMaskCharClassMapper.java:42: 7 Unique Traces, 181 Redundant Traces, 5 Preserved, 56 Remained 
Collection_UnsafeIterator @ BitMaskCharClassMapper.java:81: 7 Unique Traces, 181 Redundant Traces, 2 Preserved, 17 Remained 
Collection_UnsafeIterator @ BufferedStringFinder.java:35: 193 Unique Traces, 320 Redundant Traces, 15 Preserved, 30 Remained 
Collection_UnsafeIterator @ BufferedStringFinder.java:83: 83 Unique Traces, 286 Redundant Traces, 5 Preserved, 27 Remained 
Collection_UnsafeIterator @ ByteUtils.java:46: 4 Unique Traces, 89 Redundant Traces, 4 Preserved, 51 Remained 
Collection_UnsafeIterator @ ByteUtils.java:66: 4 Unique Traces, 58 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ ByteWordSetBuilder.java:96: 34 Unique Traces, 116 Redundant Traces, 12 Preserved, 23 Remained 
Collection_UnsafeIterator @ ByteWordSetBuilder.java:153: 34 Unique Traces, 116 Redundant Traces, 34 Preserved, 116 Remained 
Collection_UnsafeIterator @ ByteWordSetBuilder.java:156: 34 Unique Traces, 116 Redundant Traces, 10 Preserved, 13 Remained 
Collection_UnsafeIterator @ CaseInsensitive.java:106: 4 Unique Traces, 56 Redundant Traces, 3 Preserved, 11 Remained 
Collection_UnsafeIterator @ CharNode.java:31: 2 Unique Traces, 574 Redundant Traces, 1 Preserved, 49 Remained 
Collection_UnsafeIterator @ CharNode.java:33: 3 Unique Traces, 573 Redundant Traces, 3 Preserved, 34 Remained 
Collection_UnsafeIterator @ CharUtils.java:87: 4 Unique Traces, 330 Redundant Traces, 2 Preserved, 20 Remained 
Collection_UnsafeIterator @ CharUtils.java:109: 4 Unique Traces, 330 Redundant Traces, 3 Preserved, 29 Remained 
Collection_UnsafeIterator @ CharUtils.java:121: 10 Unique Traces, 425 Redundant Traces, 3 Preserved, 30 Remained 
Collection_UnsafeIterator @ CharUtils.java:141: 4 Unique Traces, 168 Redundant Traces, 3 Preserved, 14 Remained 
Collection_UnsafeIterator @ CharUtils.java:161: 4 Unique Traces, 29 Redundant Traces, 4 Preserved, 5 Remained 
Collection_UnsafeIterator @ CharUtils.java:166: 4 Unique Traces, 29 Redundant Traces, 4 Preserved, 19 Remained 
Collection_UnsafeIterator @ CharWordSetBuilder.java:96: 32 Unique Traces, 425 Redundant Traces, 9 Preserved, 58 Remained 
Collection_UnsafeIterator @ CharWordSetBuilder.java:153: 32 Unique Traces, 425 Redundant Traces, 8 Preserved, 50 Remained 
Collection_UnsafeIterator @ CharWordSetBuilder.java:156: 32 Unique Traces, 425 Redundant Traces, 10 Preserved, 35 Remained 
Collection_UnsafeIterator @ ConcatNode.java:24: 9 Unique Traces, 776 Redundant Traces, 2 Preserved, 52 Remained 
Collection_UnsafeIterator @ ConcatNode.java:50: 7 Unique Traces, 360 Redundant Traces, 3 Preserved, 24 Remained 
Collection_UnsafeIterator @ ConcatNode.java:84: 3 Unique Traces, 242 Redundant Traces, 3 Preserved, 32 Remained 
Collection_UnsafeIterator @ DoubleArrayByteFallbackTrieCompiler.java:51: 14 Unique Traces, 17 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ DoubleArrayCharFallbackTrieCompiler.java:51: 21 Unique Traces, 156 Redundant Traces, 10 Preserved, 25 Remained 
Collection_UnsafeIterator @ EqualityMatcher.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ EqualityMatcher.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:81: 5 Unique Traces, 67 Redundant Traces, 3 Preserved, 12 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:91: 5 Unique Traces, 67 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:113: 3 Unique Traces, 175 Redundant Traces, 2 Preserved, 33 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:133: 3 Unique Traces, 175 Redundant Traces, 2 Preserved, 32 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:172: 9 Unique Traces, 652 Redundant Traces, 2 Preserved, 54 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:185: 6 Unique Traces, 182 Redundant Traces, 3 Preserved, 36 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:219: 7 Unique Traces, 181 Redundant Traces, 5 Preserved, 33 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:352: 23 Unique Traces, 93 Redundant Traces, 23 Preserved, 90 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:367: 23 Unique Traces, 53760 Redundant Traces, 4 Preserved, 2616 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:375: 6 Unique Traces, 270 Redundant Traces, 3 Preserved, 30 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:391: 3 Unique Traces, 175 Redundant Traces, 2 Preserved, 38 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:422: 7 Unique Traces, 476 Redundant Traces, 2 Preserved, 31 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:436: 4 Unique Traces, 3601 Redundant Traces, 2 Preserved, 208 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:448: 4 Unique Traces, 3601 Redundant Traces, 3 Preserved, 268 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:462: 2 Unique Traces, 481 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:477: 5 Unique Traces, 478 Redundant Traces, 3 Preserved, 49 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:533: 4 Unique Traces, 190 Redundant Traces, 2 Preserved, 10 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:536: 5 Unique Traces, 189 Redundant Traces, 4 Preserved, 26 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:596: 5 Unique Traces, 1317 Redundant Traces, 1 Preserved, 97 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:604: 3 Unique Traces, 175 Redundant Traces, 3 Preserved, 26 Remained 
Collection_UnsafeIterator @ GlushkovAnalyzer.java:614: 7 Unique Traces, 476 Redundant Traces, 2 Preserved, 28 Remained 
Collection_UnsafeIterator @ GlushkovFactorExtender.java:65: 5 Unique Traces, 139 Redundant Traces, 4 Preserved, 38 Remained 
Collection_UnsafeIterator @ GlushkovFactorExtender.java:84: 7 Unique Traces, 65 Redundant Traces, 5 Preserved, 20 Remained 
Collection_UnsafeIterator @ GlushkovFactorExtender.java:140: 8 Unique Traces, 547 Redundant Traces, 5 Preserved, 39 Remained 
Collection_UnsafeIterator @ GlushkovNormalizer.java:177: 3 Unique Traces, 176 Redundant Traces, 2 Preserved, 30 Remained 
Collection_UnsafeIterator @ GlushkovPrefixExtender.java:90: 8 Unique Traces, 258 Redundant Traces, 2 Preserved, 25 Remained 
Collection_UnsafeIterator @ GlushkovPrefixExtender.java:107: 12 Unique Traces, 254 Redundant Traces, 6 Preserved, 32 Remained 
Collection_UnsafeIterator @ IsIterableContainingInAnyOrder.java:26: 6 Unique Traces, 114 Redundant Traces, 4 Preserved, 17 Remained 
Collection_UnsafeIterator @ IsIterableContainingInAnyOrder.java:74: 17 Unique Traces, 479 Redundant Traces, 4 Preserved, 30 Remained 
Collection_UnsafeIterator @ IsIterableContainingInOrder.java:24: 12 Unique Traces, 716 Redundant Traces, 2 Preserved, 47 Remained 
Collection_UnsafeIterator @ MatchBuilder.java:31: 17 Unique Traces, 575 Redundant Traces, 9 Preserved, 66 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:73: 4 Unique Traces, 120 Redundant Traces, 4 Preserved, 21 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:81: 4 Unique Traces, 120 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:91: 4 Unique Traces, 120 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:93: 9 Unique Traces, 135 Redundant Traces, 4 Preserved, 13 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:110: 4 Unique Traces, 120 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:112: 10 Unique Traces, 134 Redundant Traces, 7 Preserved, 41 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:126: 7 Unique Traces, 524683 Redundant Traces, 2 Preserved, 26389 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:226: 4 Unique Traces, 2724 Redundant Traces, 1 Preserved, 135 Remained 
Collection_UnsafeIterator @ MultiFactorRE.java:229: 21 Unique Traces, 3241 Redundant Traces, 21 Preserved, 3241 Remained 
Collection_UnsafeIterator @ MultiPatternSearchRule.java:33: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ MultiPatternSearchRule.java:48: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ QGramAlphabet.java:19: 4 Unique Traces, 29 Redundant Traces, 4 Preserved, 29 Remained 
Collection_UnsafeIterator @ QGramMapping.java:87: 1 Unique Traces, 3301 Redundant Traces, 1 Preserved, 146 Remained 
Collection_UnsafeIterator @ QGramShiftOr.java:483: 4 Unique Traces, 24 Redundant Traces, 4 Preserved, 24 Remained 
Collection_UnsafeIterator @ QGramShiftOr.java:548: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ RegexParser.java:292: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 23 Remained 
Collection_UnsafeIterator @ SetBackwardOracleMatching.java:62: 4 Unique Traces, 49 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ SetHorspool.java:55: 4 Unique Traces, 27 Redundant Traces, 4 Preserved, 27 Remained 
Collection_UnsafeIterator @ SetHorspool.java:71: 4 Unique Traces, 82 Redundant Traces, 3 Preserved, 12 Remained 
Collection_UnsafeIterator @ SetHorspool.java:235: 4 Unique Traces, 27 Redundant Traces, 4 Preserved, 12 Remained 
Collection_UnsafeIterator @ SetHorspool.java:257: 4 Unique Traces, 77 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ SetHorspool.java:288: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ SetHorspool.java:317: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ SinglePatternSearchRule.java:33: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsafeIterator @ SinglePatternSearchRule.java:48: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ StringSet.java:25: 4 Unique Traces, 29 Redundant Traces, 4 Preserved, 8 Remained 
Collection_UnsafeIterator @ StringUtils.java:67: 4 Unique Traces, 120 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ StringUtils.java:75: 10 Unique Traces, 425 Redundant Traces, 5 Preserved, 104 Remained 
Collection_UnsafeIterator @ WorkSet.java:78: 16 Unique Traces, 288 Redundant Traces, 6 Preserved, 21 Remained 
Collection_UnsafeIterator @ WuManber.java:77: 4 Unique Traces, 27 Redundant Traces, 4 Preserved, 16 Remained 
