Appendable_ThreadSafe @ AnnotationAppender.java:726: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 40 Remained 
Appendable_ThreadSafe @ ClassFileVersion.java:530: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Complex.java:1297: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ExceptionContext.java:178: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ FieldAccessor.java:361: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ Implementation.java:985: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ Implementation.java:1162: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:222: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1333: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LocalizedFormats.java:397: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 146 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ MethodDescription.java:523: 7 Unique Traces, 487 Redundant Traces, 5 Preserved, 54 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:184: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:186: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:454: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ RandomString.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:117: 29 Unique Traces, 112 Redundant Traces, 29 Preserved, 112 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:126: 3 Unique Traces, 171 Redundant Traces, 2 Preserved, 13 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:158: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 32 Remained 
Appendable_ThreadSafe @ Type.java:548: 4 Unique Traces, 63 Redundant Traces, 2 Preserved, 21 Remained 
Appendable_ThreadSafe @ Type.java:565: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:582: 23 Unique Traces, 158 Redundant Traces, 23 Preserved, 158 Remained 
Appendable_ThreadSafe @ Type.java:616: 2 Unique Traces, 64 Redundant Traces, 2 Preserved, 9 Remained 
Appendable_ThreadSafe @ Type.java:642: 1 Unique Traces, 2529 Redundant Traces, 1 Preserved, 147 Remained 
Appendable_ThreadSafe @ Type.java:644: 1 Unique Traces, 617 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ TypeDescription.java:8287: 1 Unique Traces, 341 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ TypeDescription.java:9298: 2 Unique Traces, 968 Redundant Traces, 1 Preserved, 66 Remained 
Appendable_ThreadSafe @ TypeDescription.java:9313: 1 Unique Traces, 349 Redundant Traces, 1 Preserved, 31 Remained 
Arrays_SortBeforeBinarySearch @ AnnotationDescription.java:637: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1001: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1111: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1191: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ DynamicType.java:5939: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
CharSequence_NotInMap @ DynamicType.java:5950: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractCurveFitter.java:108: 4 Unique Traces, 18 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ AllArguments.java:206: 6 Unique Traces, 108 Redundant Traces, 5 Preserved, 13 Remained 
Collection_UnsafeIterator @ AllOf.java:26: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:312: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:643: 1 Unique Traces, 178 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:743: 1 Unique Traces, 1006 Redundant Traces, 1 Preserved, 58 Remained 
Collection_UnsafeIterator @ AnnotationDescription.java:578: 4 Unique Traces, 73 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ AnnotationList.java:104: 4 Unique Traces, 604 Redundant Traces, 3 Preserved, 42 Remained 
Collection_UnsafeIterator @ AnnotationList.java:130: 2 Unique Traces, 113 Redundant Traces, 2 Preserved, 22 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:294: 6 Unique Traces, 222 Redundant Traces, 2 Preserved, 19 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:310: 6 Unique Traces, 108 Redundant Traces, 4 Preserved, 18 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:139: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:155: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteCodeElement.java:159: 7 Unique Traces, 127 Redundant Traces, 4 Preserved, 12 Remained 
Collection_UnsafeIterator @ ClassInjector.java:115: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:120: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:242: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionErasureMatcher.java:52: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ CollectionItemMatcher.java:47: 7 Unique Traces, 348 Redundant Traces, 6 Preserved, 73 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:57: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ ConstructorStrategy.java:197: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:2910: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 41 Remained 
Collection_UnsafeIterator @ DynamicType.java:5557: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ DynamicType.java:5938: 5 Unique Traces, 56 Redundant Traces, 5 Preserved, 45 Remained 
Collection_UnsafeIterator @ DynamicType.java:5949: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:132: 1 Unique Traces, 833 Redundant Traces, 1 Preserved, 61 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:145: 6 Unique Traces, 1903 Redundant Traces, 2 Preserved, 115 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:200: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:213: 5 Unique Traces, 590 Redundant Traces, 4 Preserved, 35 Remained 
