Appendable_ThreadSafe @ AbstRandomBasedFactoryTest.java:296: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AbstRandomBasedFactoryTest.java:297: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseN.java:299: 7 Unique Traces, 62 Redundant Traces, 5 Preserved, 17 Remained 
Appendable_ThreadSafe @ BaseN.java:301: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseN.java:304: 13 Unique Traces, 47 Redundant Traces, 3 Preserved, 4 Remained 
Appendable_ThreadSafe @ BaseNCodec1Test.java:169: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseNCodec1Test.java:176: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseNCodec1Test.java:183: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseNCodec1Test.java:190: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseNCodec3SamplesTest.java:46: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseNCodec3SamplesTest.java:94: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseNCodec3SamplesTest.java:128: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BaseNRemainderDecoder.java:77: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ClockSeqPoolTest.java:56: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ GUID.java:588: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ InvalidUuidException.java:75: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ InvalidUuidException.java:78: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ NameBasedMd5FactoryTest.java:102: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ NameBasedMd5FactoryTest.java:108: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ NameBasedSha1FactoryTest.java:101: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ NameBasedSha1FactoryTest.java:107: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ NcnameCodec.java:194: 1 Unique Traces, 235 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ NcnameCodec.java:208: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ NcnameCodec.java:215: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ NcnameCodec.java:221: 1 Unique Traces, 255 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ PrefixCombFactoryTest.java:81: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 1021 Remained 
