Appendable_ThreadSafe @ Xeger.java:193: 63 Unique Traces, 220037 Redundant Traces, 8 Preserved, 11132 Remained 
Appendable_ThreadSafe @ XegerTest.java:82: 1 Unique Traces, 109999 Redundant Traces, 1 Preserved, 5559 Remained 
Arrays_SortBeforeBinarySearch @ State.java:137: 1 Unique Traces, 2527910 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ Automaton.java:289: 8 Unique Traces, 881396 Redundant Traces, 7 Preserved, 43990 Remained 
Collection_UnsafeIterator @ Automaton.java:313: 7 Unique Traces, 267255 Redundant Traces, 5 Preserved, 13348 Remained 
Collection_UnsafeIterator @ Automaton.java:329: 6 Unique Traces, 13200 Redundant Traces, 4 Preserved, 651 Remained 
Collection_UnsafeIterator @ Automaton.java:339: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 367 Remained 
Collection_UnsafeIterator @ Automaton.java:341: 3 Unique Traces, 77215 Redundant Traces, 3 Preserved, 3861 Remained 
Collection_UnsafeIterator @ Automaton.java:371: 6 Unique Traces, 13200 Redundant Traces, 5 Preserved, 692 Remained 
Collection_UnsafeIterator @ Automaton.java:376: 3 Unique Traces, 152232 Redundant Traces, 3 Preserved, 7733 Remained 
Collection_UnsafeIterator @ Automaton.java:407: 8 Unique Traces, 13198 Redundant Traces, 5 Preserved, 645 Remained 
Collection_UnsafeIterator @ Automaton.java:408: 5 Unique Traces, 161034 Redundant Traces, 5 Preserved, 8121 Remained 
Collection_UnsafeIterator @ Automaton.java:416: 2 Unique Traces, 13204 Redundant Traces, 2 Preserved, 716 Remained 
Collection_UnsafeIterator @ Automaton.java:433: 7 Unique Traces, 13199 Redundant Traces, 1 Preserved, 651 Remained 
Collection_UnsafeIterator @ Automaton.java:435: 7 Unique Traces, 13199 Redundant Traces, 5 Preserved, 701 Remained 
Collection_UnsafeIterator @ Automaton.java:436: 5 Unique Traces, 158833 Redundant Traces, 5 Preserved, 7951 Remained 
Collection_UnsafeIterator @ Automaton.java:442: 4 Unique Traces, 152231 Redundant Traces, 2 Preserved, 7703 Remained 
Collection_UnsafeIterator @ Automaton.java:461: 7 Unique Traces, 13199 Redundant Traces, 5 Preserved, 668 Remained 
Collection_UnsafeIterator @ Automaton.java:464: 5 Unique Traces, 158833 Redundant Traces, 3 Preserved, 8034 Remained 
Collection_UnsafeIterator @ Automaton.java:519: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 332 Remained 
Collection_UnsafeIterator @ Automaton.java:648: 3 Unique Traces, 34204 Redundant Traces, 2 Preserved, 1764 Remained 
Collection_UnsafeIterator @ Automaton.java:650: 3 Unique Traces, 34204 Redundant Traces, 2 Preserved, 1686 Remained 
Collection_UnsafeIterator @ Automaton.java:655: 2 Unique Traces, 98217 Redundant Traces, 2 Preserved, 4844 Remained 
Collection_UnsafeIterator @ BasicOperations.java:88: 1 Unique Traces, 4201 Redundant Traces, 1 Preserved, 222 Remained 
Collection_UnsafeIterator @ BasicOperations.java:99: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 211 Remained 
Collection_UnsafeIterator @ BasicOperations.java:103: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 205 Remained 
Collection_UnsafeIterator @ BasicOperations.java:113: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 286 Remained 
Collection_UnsafeIterator @ BasicOperations.java:125: 3 Unique Traces, 8201 Redundant Traces, 2 Preserved, 467 Remained 
Collection_UnsafeIterator @ BasicOperations.java:223: 1 Unique Traces, 21800 Redundant Traces, 1 Preserved, 1174 Remained 
Collection_UnsafeIterator @ BasicOperations.java:227: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 106 Remained 
Collection_UnsafeIterator @ BasicOperations.java:417: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 140 Remained 
Collection_UnsafeIterator @ BasicOperations.java:421: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 128 Remained 
Collection_UnsafeIterator @ BasicOperations.java:466: 2 Unique Traces, 77216 Redundant Traces, 2 Preserved, 3787 Remained 
Collection_UnsafeIterator @ BasicOperations.java:473: 1 Unique Traces, 274664 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ BasicOperations.java:474: 3 Unique Traces, 274662 Redundant Traces, 3 Preserved, 13519 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:232: 1 Unique Traces, 4201 Redundant Traces, 1 Preserved, 205 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:241: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 353 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:295: 8 Unique Traces, 48414 Redundant Traces, 6 Preserved, 2409 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:319: 7 Unique Traces, 92619 Redundant Traces, 6 Preserved, 4556 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:331: 928 Unique Traces, 264933 Redundant Traces, 65 Preserved, 13196 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:335: 137 Unique Traces, 68277 Redundant Traces, 12 Preserved, 3478 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:361: 135 Unique Traces, 171130 Redundant Traces, 10 Preserved, 8518 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:374: 2 Unique Traces, 81618 Redundant Traces, 2 Preserved, 4106 Remained 
Collection_UnsafeIterator @ MinimizationOperations.java:386: 3 Unique Traces, 81617 Redundant Traces, 2 Preserved, 4066 Remained 
Collection_UnsafeIterator @ State.java:110: 4 Unique Traces, 298872 Redundant Traces, 4 Preserved, 14993 Remained 
Collection_UnsynchronizedAddAll @ State.java:131: 1 Unique Traces, 60609 Redundant Traces, 1 Preserved, 3029 Remained 
Collections_SortBeforeBinarySearch @ Automaton.java:280: 11 Unique Traces, 100226 Redundant Traces, 1 Preserved, 4990 Remained 
Collections_SortBeforeBinarySearch @ Automaton.java:307: 12 Unique Traces, 49602 Redundant Traces, 7 Preserved, 2584 Remained 
Collections_SortBeforeBinarySearch @ Automaton.java:441: 10 Unique Traces, 13196 Redundant Traces, 10 Preserved, 13196 Remained 
Collections_SortBeforeBinarySearch @ BasicOperations.java:216: 1 Unique Traces, 2000 Redundant Traces, 1 Preserved, 113 Remained 
Collections_SortBeforeBinarySearch @ BasicOperations.java:460: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 326 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:146: 12 Unique Traces, 97015 Redundant Traces, 8 Preserved, 4906 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:251: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 335 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:271: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:283: 8 Unique Traces, 13198 Redundant Traces, 8 Preserved, 13198 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:288: 10 Unique Traces, 94816 Redundant Traces, 3 Preserved, 4836 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:307: 7 Unique Traces, 6596 Redundant Traces, 5 Preserved, 334 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:324: 10 Unique Traces, 39409 Redundant Traces, 8 Preserved, 1976 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:336: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:337: 4 Unique Traces, 68410 Redundant Traces, 3 Preserved, 3367 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:366: 5 Unique Traces, 6598 Redundant Traces, 2 Preserved, 352 Remained 
Collections_SortBeforeBinarySearch @ MinimizationOperations.java:367: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 341 Remained 
Collections_SortBeforeBinarySearch @ RegExp.java:412: 1 Unique Traces, 4401 Redundant Traces, 1 Preserved, 231 Remained 
Collections_SortBeforeBinarySearch @ XegerTest.java:70: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ XegerTest.java:89: 1 Unique Traces, 1999 Redundant Traces, 1 Preserved, 114 Remained 
Iterator_HasNext @ Automaton.java:289: 5 Unique Traces, 881399 Redundant Traces, 4 Preserved, 43878 Remained 
Iterator_HasNext @ Automaton.java:313: 5 Unique Traces, 267257 Redundant Traces, 5 Preserved, 13322 Remained 
Iterator_HasNext @ Automaton.java:329: 6 Unique Traces, 13200 Redundant Traces, 4 Preserved, 742 Remained 
Iterator_HasNext @ Automaton.java:339: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 337 Remained 
Iterator_HasNext @ Automaton.java:341: 3 Unique Traces, 77215 Redundant Traces, 3 Preserved, 3949 Remained 
Iterator_HasNext @ Automaton.java:371: 6 Unique Traces, 13200 Redundant Traces, 4 Preserved, 693 Remained 
Iterator_HasNext @ Automaton.java:376: 3 Unique Traces, 152232 Redundant Traces, 2 Preserved, 7552 Remained 
Iterator_HasNext @ Automaton.java:407: 8 Unique Traces, 13198 Redundant Traces, 5 Preserved, 692 Remained 
Iterator_HasNext @ Automaton.java:408: 5 Unique Traces, 161034 Redundant Traces, 5 Preserved, 8016 Remained 
Iterator_HasNext @ Automaton.java:416: 2 Unique Traces, 13204 Redundant Traces, 2 Preserved, 703 Remained 
Iterator_HasNext @ Automaton.java:433: 7 Unique Traces, 13199 Redundant Traces, 4 Preserved, 712 Remained 
Iterator_HasNext @ Automaton.java:435: 7 Unique Traces, 13199 Redundant Traces, 4 Preserved, 725 Remained 
Iterator_HasNext @ Automaton.java:436: 5 Unique Traces, 158833 Redundant Traces, 5 Preserved, 8158 Remained 
Iterator_HasNext @ Automaton.java:442: 4 Unique Traces, 152231 Redundant Traces, 3 Preserved, 7659 Remained 
Iterator_HasNext @ Automaton.java:461: 7 Unique Traces, 13199 Redundant Traces, 3 Preserved, 650 Remained 
Iterator_HasNext @ Automaton.java:464: 5 Unique Traces, 158833 Redundant Traces, 4 Preserved, 8046 Remained 
Iterator_HasNext @ Automaton.java:519: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 344 Remained 
Iterator_HasNext @ Automaton.java:648: 3 Unique Traces, 34204 Redundant Traces, 1 Preserved, 1778 Remained 
Iterator_HasNext @ Automaton.java:650: 3 Unique Traces, 34204 Redundant Traces, 2 Preserved, 1756 Remained 
Iterator_HasNext @ Automaton.java:655: 2 Unique Traces, 98217 Redundant Traces, 2 Preserved, 4885 Remained 
Iterator_HasNext @ BasicOperations.java:88: 1 Unique Traces, 4201 Redundant Traces, 1 Preserved, 226 Remained 
Iterator_HasNext @ BasicOperations.java:99: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 199 Remained 
Iterator_HasNext @ BasicOperations.java:103: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 209 Remained 
Iterator_HasNext @ BasicOperations.java:113: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 190 Remained 
Iterator_HasNext @ BasicOperations.java:125: 3 Unique Traces, 8201 Redundant Traces, 2 Preserved, 387 Remained 
Iterator_HasNext @ BasicOperations.java:223: 1 Unique Traces, 21800 Redundant Traces, 1 Preserved, 1075 Remained 
Iterator_HasNext @ BasicOperations.java:227: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 124 Remained 
Iterator_HasNext @ BasicOperations.java:417: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 136 Remained 
Iterator_HasNext @ BasicOperations.java:421: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 126 Remained 
Iterator_HasNext @ BasicOperations.java:466: 2 Unique Traces, 77216 Redundant Traces, 2 Preserved, 3693 Remained 
Iterator_HasNext @ BasicOperations.java:473: 1 Unique Traces, 274664 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_HasNext @ BasicOperations.java:474: 3 Unique Traces, 274662 Redundant Traces, 2 Preserved, 13739 Remained 
Iterator_HasNext @ MinimizationOperations.java:232: 1 Unique Traces, 4201 Redundant Traces, 1 Preserved, 210 Remained 
Iterator_HasNext @ MinimizationOperations.java:241: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 358 Remained 
Iterator_HasNext @ MinimizationOperations.java:295: 7 Unique Traces, 48415 Redundant Traces, 6 Preserved, 2395 Remained 
Iterator_HasNext @ MinimizationOperations.java:319: 7 Unique Traces, 92619 Redundant Traces, 1 Preserved, 4744 Remained 
Iterator_HasNext @ MinimizationOperations.java:331: 7 Unique Traces, 265854 Redundant Traces, 3 Preserved, 13322 Remained 
Iterator_HasNext @ MinimizationOperations.java:335: 4 Unique Traces, 68410 Redundant Traces, 3 Preserved, 3493 Remained 
Iterator_HasNext @ MinimizationOperations.java:361: 4 Unique Traces, 171261 Redundant Traces, 2 Preserved, 8420 Remained 
Iterator_HasNext @ MinimizationOperations.java:374: 2 Unique Traces, 81618 Redundant Traces, 2 Preserved, 4113 Remained 
Iterator_HasNext @ MinimizationOperations.java:386: 3 Unique Traces, 81617 Redundant Traces, 3 Preserved, 4126 Remained 
Iterator_HasNext @ State.java:110: 4 Unique Traces, 298872 Redundant Traces, 4 Preserved, 14803 Remained 
Iterator_RemoveOnce @ Automaton.java:289: 4 Unique Traces, 792168 Redundant Traces, 3 Preserved, 39478 Remained 
Iterator_RemoveOnce @ Automaton.java:313: 4 Unique Traces, 222046 Redundant Traces, 3 Preserved, 11071 Remained 
Iterator_RemoveOnce @ Automaton.java:329: 6 Unique Traces, 13200 Redundant Traces, 3 Preserved, 707 Remained 
Iterator_RemoveOnce @ Automaton.java:339: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 343 Remained 
Iterator_RemoveOnce @ Automaton.java:341: 2 Unique Traces, 68412 Redundant Traces, 2 Preserved, 3311 Remained 
Iterator_RemoveOnce @ Automaton.java:371: 6 Unique Traces, 13200 Redundant Traces, 4 Preserved, 695 Remained 
Iterator_RemoveOnce @ Automaton.java:376: 2 Unique Traces, 136826 Redundant Traces, 2 Preserved, 6866 Remained 
Iterator_RemoveOnce @ Automaton.java:407: 8 Unique Traces, 13198 Redundant Traces, 5 Preserved, 693 Remained 
Iterator_RemoveOnce @ Automaton.java:408: 4 Unique Traces, 152231 Redundant Traces, 3 Preserved, 7697 Remained 
Iterator_RemoveOnce @ Automaton.java:416: 2 Unique Traces, 13204 Redundant Traces, 2 Preserved, 611 Remained 
Iterator_RemoveOnce @ Automaton.java:433: 7 Unique Traces, 13199 Redundant Traces, 4 Preserved, 688 Remained 
Iterator_RemoveOnce @ Automaton.java:435: 7 Unique Traces, 13199 Redundant Traces, 4 Preserved, 661 Remained 
Iterator_RemoveOnce @ Automaton.java:436: 4 Unique Traces, 150030 Redundant Traces, 2 Preserved, 7508 Remained 
Iterator_RemoveOnce @ Automaton.java:442: 3 Unique Traces, 139026 Redundant Traces, 1 Preserved, 6836 Remained 
Iterator_RemoveOnce @ Automaton.java:461: 7 Unique Traces, 13199 Redundant Traces, 4 Preserved, 660 Remained 
Iterator_RemoveOnce @ Automaton.java:464: 4 Unique Traces, 150030 Redundant Traces, 4 Preserved, 7545 Remained 
Iterator_RemoveOnce @ Automaton.java:519: 5 Unique Traces, 6598 Redundant Traces, 4 Preserved, 339 Remained 
Iterator_RemoveOnce @ Automaton.java:648: 3 Unique Traces, 34204 Redundant Traces, 2 Preserved, 1723 Remained 
Iterator_RemoveOnce @ Automaton.java:650: 3 Unique Traces, 34204 Redundant Traces, 2 Preserved, 1714 Remained 
Iterator_RemoveOnce @ Automaton.java:655: 1 Unique Traces, 64011 Redundant Traces, 1 Preserved, 3274 Remained 
Iterator_RemoveOnce @ BasicOperations.java:88: 1 Unique Traces, 4201 Redundant Traces, 1 Preserved, 248 Remained 
Iterator_RemoveOnce @ BasicOperations.java:99: 2 Unique Traces, 4200 Redundant Traces, 1 Preserved, 232 Remained 
Iterator_RemoveOnce @ BasicOperations.java:103: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 224 Remained 
Iterator_RemoveOnce @ BasicOperations.java:113: 2 Unique Traces, 4200 Redundant Traces, 2 Preserved, 212 Remained 
Iterator_RemoveOnce @ BasicOperations.java:125: 3 Unique Traces, 8201 Redundant Traces, 2 Preserved, 411 Remained 
Iterator_RemoveOnce @ BasicOperations.java:223: 1 Unique Traces, 21800 Redundant Traces, 1 Preserved, 1110 Remained 
Iterator_RemoveOnce @ BasicOperations.java:227: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 138 Remained 
Iterator_RemoveOnce @ BasicOperations.java:417: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 105 Remained 
Iterator_RemoveOnce @ BasicOperations.java:421: 1 Unique Traces, 2200 Redundant Traces, 1 Preserved, 119 Remained 
Iterator_RemoveOnce @ BasicOperations.java:466: 1 Unique Traces, 77217 Redundant Traces, 1 Preserved, 3907 Remained 
Iterator_RemoveOnce @ BasicOperations.java:473: 1 Unique Traces, 274664 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ BasicOperations.java:474: 2 Unique Traces, 241648 Redundant Traces, 2 Preserved, 11990 Remained 
Iterator_RemoveOnce @ MinimizationOperations.java:232: 1 Unique Traces, 4201 Redundant Traces, 1 Preserved, 208 Remained 
Iterator_RemoveOnce @ MinimizationOperations.java:241: 5 Unique Traces, 6598 Redundant Traces, 3 Preserved, 305 Remained 
Iterator_RemoveOnce @ MinimizationOperations.java:295: 7 Unique Traces, 48415 Redundant Traces, 5 Preserved, 2630 Remained 
Iterator_RemoveOnce @ MinimizationOperations.java:319: 7 Unique Traces, 92619 Redundant Traces, 1 Preserved, 4624 Remained 
Iterator_RemoveOnce @ MinimizationOperations.java:331: 6 Unique Traces, 84616 Redundant Traces, 6 Preserved, 4265 Remained 
Iterator_RemoveOnce @ MinimizationOperations.java:335: 4 Unique Traces, 68410 Redundant Traces, 2 Preserved, 3477 Remained 
Iterator_RemoveOnce @ MinimizationOperations.java:361: 4 Unique Traces, 171261 Redundant Traces, 2 Preserved, 8679 Remained 
