Loc,Total,Default
Appendable_ThreadSafeMonitor @ JaroWinklerSimilarityTest.java:71,1(22),1(15)
Appendable_ThreadSafeMonitor @ JaroWinklerSimilarityTest.java:92,1(22),1(22)
Appendable_ThreadSafeMonitor @ TrieMap.java:202,1(25471354),1(10000)
Appendable_ThreadSafeMonitor @ TrieMap.java:231,34(1057240),6(52877)
Appendable_ThreadSafeMonitor @ TrieSet.java:405,1(12),1(2)
Closeable_MultipleCloseMonitor @ TrieMapTest.java:367,1(1),1(1)
Closeable_MultipleCloseMonitor @ TrieSetTest.java:356,1(1),1(1)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarity.java:362,3(13),3(9)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:61,1(0),1(0)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:63,3(5),3(5)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:64,2(13),1(1)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:68,3(5),3(5)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:70,2(13),2(13)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:82,1(0),1(0)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:84,3(5),3(4)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:85,2(13),2(12)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:89,3(5),3(5)
Collection_UnsafeIteratorMonitor @ JaroWinklerSimilarityTest.java:90,2(13),1(2)
Collection_UnsafeIteratorMonitor @ TrieMap.java:67,14(58),6(11)
Collection_UnsafeIteratorMonitor @ TrieMap.java:147,1557(2637528),112(131753)
Collection_UnsafeIteratorMonitor @ TrieMap.java:168,4232(17535151),4232(17535151)
Collection_UnsafeIteratorMonitor @ TrieMap.java:308,4(12),4(12)
Collection_UnsafeIteratorMonitor @ TrieMap.java:312,2(0),2(0)
Collection_UnsafeIteratorMonitor @ TrieSet.java:144,2(1),2(1)
Collection_UnsafeIteratorMonitor @ TrieSet.java:244,8(7),8(7)
Collections_SortBeforeBinarySearchMonitor @ JaroWinklerSimilarityTest.java:110,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ TrieMap.java:75,3(16),3(16)
Collections_SortBeforeBinarySearchMonitor @ TrieMap.java:250,78(1057199),3(29997)
Collections_SortBeforeBinarySearchMonitor @ TrieMap.java:274,161(110062),13(5433)
Collections_SortBeforeBinarySearchMonitor @ TrieSet.java:322,3(0),3(0)
Console_CloseReaderMonitor @ TrieMapTest.java:367,1(1),1(1)
Console_CloseReaderMonitor @ TrieSetTest.java:356,1(1),1(1)
Iterator_HasNextMonitor @ JaroWinklerSimilarity.java:240,2(58),2(48)
Iterator_HasNextMonitor @ JaroWinklerSimilarity.java:362,3(13),2(6)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:61,1(0),1(0)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:63,3(5),3(5)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:64,2(13),1(3)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:68,3(5),3(5)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:70,2(13),2(13)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:82,1(0),1(0)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:84,3(5),3(5)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:85,2(13),2(13)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:89,3(5),3(5)
Iterator_HasNextMonitor @ JaroWinklerSimilarityTest.java:90,2(13),2(9)
Iterator_HasNextMonitor @ Trie.java:64,1(2),1(2)
Iterator_HasNextMonitor @ TrieMap.java:148,179(20178289),9(89991)
Iterator_HasNextMonitor @ TrieMap.java:277,173(3558795),7(69993)
Iterator_HasNextMonitor @ TrieMap.java:308,4(12),1(1)
Iterator_HasNextMonitor @ TrieMap.java:312,2(0),2(0)
Iterator_HasNextMonitor @ TrieMapTest.java:55,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:128,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:131,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:162,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:179,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:182,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:198,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:201,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:326,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:329,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:344,1(0),1(0)
Iterator_HasNextMonitor @ TrieMapTest.java:347,1(0),1(0)
Iterator_HasNextMonitor @ TrieSet.java:144,2(1),2(0)
Iterator_HasNextMonitor @ TrieSet.java:244,3(12),3(7)
Iterator_HasNextMonitor @ TrieSet.java:368,3(36),3(15)
Iterator_HasNextMonitor @ TrieSet.java:508,31(1057230),3(29997)
Iterator_HasNextMonitor @ TrieSetTest.java:143,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:216,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:219,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:232,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:249,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:252,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:268,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:271,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:315,1(0),1(0)
Iterator_HasNextMonitor @ TrieSetTest.java:318,1(0),1(0)
