Loc,Total,Default
Appendable_ThreadSafeMonitor @ PreviousClearBitTest.java:184,1(9999),1(545)
Appendable_ThreadSafeMonitor @ PreviousClearBitTest.java:205,1(9999),1(511)
Appendable_ThreadSafeMonitor @ PreviousSetBitTest.java:195,1(9999),1(484)
Appendable_ThreadSafeMonitor @ PreviousSetBitTest.java:229,1(19999),1(996)
Closeable_MultipleCloseMonitor @ SerializationTest.java:74,1(99),1(33)
Closeable_MultipleCloseMonitor @ SerializationTest.java:80,1(99),1(20)
Collection_UnsafeIteratorMonitor @ PreviousSetBitTest.java:222,19438(562),19438(562)
Collections_SortBeforeBinarySearchMonitor @ PreviousSetBitTest.java:217,1(1),1(1)
InputStream_ManipulateAfterCloseMonitor @ SerializationTest.java:80,1(99),1(75)
InputStream_MarkAfterCloseMonitor @ SerializationTest.java:80,1(99),1(30)
Iterator_HasNextMonitor @ PreviousSetBitTest.java:222,1001(18999),1001(18999)
Iterator_RemoveOnceMonitor @ PreviousSetBitTest.java:222,1000(19000),1000(19000)
OutputStream_ManipulateAfterCloseMonitor @ SerializationTest.java:74,1(99),1(20)
StringBuilder_ThreadSafeMonitor @ PreviousClearBitTest.java:184,1(9999),1(570)
StringBuilder_ThreadSafeMonitor @ PreviousClearBitTest.java:205,1(9999),1(536)
StringBuilder_ThreadSafeMonitor @ PreviousSetBitTest.java:195,1(9999),1(567)
StringBuilder_ThreadSafeMonitor @ PreviousSetBitTest.java:229,1(19999),1(987)
__TOTAL__,21453(139049),21453(43936)
