Loc,Total,Default
Appendable_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:475,1(15512),1(808)
Appendable_ThreadSafeMonitor @ FsmParse.java:40,1(14),1(14)
Appendable_ThreadSafeMonitor @ FsmParse.java:404,1(17),1(5)
Appendable_ThreadSafeMonitor @ FsmParse.java:407,1(6),1(5)
Appendable_ThreadSafeMonitor @ FsmParse.java:419,1(2),1(2)
Appendable_ThreadSafeMonitor @ FsmParse.java:540,1(6512),1(350)
Appendable_ThreadSafeMonitor @ FsmParse.java:543,1(3676),1(248)
Appendable_ThreadSafeMonitor @ FsmParse.java:546,1(181),1(28)
Appendable_ThreadSafeMonitor @ FsmParse.java:558,1(5),1(5)
Appendable_ThreadSafeMonitor @ FsmParse.java:576,1(80),1(37)
Appendable_ThreadSafeMonitor @ FsmParse.java:579,1(26),1(25)
Appendable_ThreadSafeMonitor @ FsmParse.java:582,1(158),1(7)
Appendable_ThreadSafeMonitor @ FsmParse.java:585,1(63),1(63)
Appendable_ThreadSafeMonitor @ FsmParse.java:591,1(0),1(0)
Appendable_ThreadSafeMonitor @ FsmParse.java:607,1(10),1(10)
Appendable_ThreadSafeMonitor @ FsmParse.java:610,1(19),1(19)
Appendable_ThreadSafeMonitor @ FsmParse.java:621,1(35),1(12)
Appendable_ThreadSafeMonitor @ FsmParse.java:632,1(2),1(2)
Appendable_ThreadSafeMonitor @ FsmParse.java:635,1(1661),1(85)
Appendable_ThreadSafeMonitor @ FsmParse.java:665,1(35236),1(1761)
Appendable_ThreadSafeMonitor @ FsmParse.java:667,1(5738),1(281)
Appendable_ThreadSafeMonitor @ FsmParse.java:682,1(4293),1(272)
Appendable_ThreadSafeMonitor @ FsmParse.java:685,1(6143),1(327)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:19,1(87),1(7)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:24,1(1),1(1)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:35,1(214172),1(10000)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:40,1(577),1(27)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:62,1(24842),1(1209)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:65,1(240013),1(9999)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:73,1(1125),1(68)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:84,1(633),1(79)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:87,1(146054),1(7304)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:90,1(389),1(34)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:96,1(722),1(53)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:99,1(232608),1(9999)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:105,1(61),1(56)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:108,1(363598),1(9999)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:123,1(2008),1(138)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:133,1(20),1(20)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:137,1(1165),1(85)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:141,1(27),1(27)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:145,1(25),1(20)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:151,1(0),1(0)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:154,1(66),1(14)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:157,1(3),1(3)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:160,1(21),1(4)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:165,1(16395),1(871)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:168,1(382537),1(9999)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:171,1(47964),1(2433)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:174,1(276424),1(10000)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:179,1(39),1(34)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:183,1(1199),1(113)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:187,1(655),1(40)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:190,1(23006),1(1181)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:208,1(13181),1(682)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:210,1(15535),1(822)
Appendable_ThreadSafeMonitor @ NGramSpellChecker.java:204,1(4),1(4)
Appendable_ThreadSafeMonitor @ Sentence.java:228,1(1056),1(56)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:79,1(336),1(61)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:82,1(389),1(78)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:83,1(389),1(44)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:88,1(11309),1(588)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:92,1(11309),1(562)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:95,1(1536),1(116)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:238,1(476),1(59)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:258,1(457),1(46)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:306,1(521),1(61)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:308,1(521),1(41)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:312,1(521),1(66)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:314,1(521),1(26)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:346,1(2),1(2)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:347,1(1),1(1)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:349,1(0),1(0)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:395,1(626),1(51)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:421,1(17),1(16)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:422,1(4),1(4)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:427,1(35),1(18)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:428,1(9),1(9)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:453,1(5),1(4)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:507,1(68),1(68)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:514,1(72),1(27)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:539,1(7),1(5)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:559,1(188),1(25)
Appendable_ThreadSafeMonitor @ SimpleSpellChecker.java:602,1(33),1(2)
Appendable_ThreadSafeMonitor @ Transition.java:116,1(1504574),1(10000)
Appendable_ThreadSafeMonitor @ Transition.java:255,1(418031),1(9999)
Appendable_ThreadSafeMonitor @ Transition.java:262,1(689),1(25)
Appendable_ThreadSafeMonitor @ Transition.java:276,1(54952),1(2718)
Appendable_ThreadSafeMonitor @ Transition.java:283,1(10),1(2)
Appendable_ThreadSafeMonitor @ Transition.java:289,1(66),1(15)
Appendable_ThreadSafeMonitor @ Transition.java:299,1(4),1(4)
Appendable_ThreadSafeMonitor @ Transition.java:303,1(92),1(17)
Appendable_ThreadSafeMonitor @ Transition.java:309,1(1082),1(54)
Appendable_ThreadSafeMonitor @ Transition.java:324,1(4),1(4)
Appendable_ThreadSafeMonitor @ Transition.java:334,1(1419),1(82)
Appendable_ThreadSafeMonitor @ Transition.java:343,1(141),1(47)
Appendable_ThreadSafeMonitor @ Transition.java:350,1(18459),1(923)
Appendable_ThreadSafeMonitor @ Transition.java:356,1(2303),1(116)
Appendable_ThreadSafeMonitor @ Transition.java:368,1(59),1(43)
Appendable_ThreadSafeMonitor @ Transition.java:372,1(10813),1(549)
Appendable_ThreadSafeMonitor @ Transition.java:393,1(50800),1(2495)
Appendable_ThreadSafeMonitor @ Transition.java:429,1(68412),1(3393)
Appendable_ThreadSafeMonitor @ Transition.java:431,1(1987370),1(10000)
Appendable_ThreadSafeMonitor @ TrieBasedSpellChecker.java:174,1(562889),1(10000)
