Loc,Total,Default
Appendable_ThreadSafeMonitor @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:133,1(74),1(14)
Appendable_ThreadSafeMonitor @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:143,1(63),1(19)
Appendable_ThreadSafeMonitor @ HtmlBlockSelectorMarkupHandlerTest.java:132,1(77),1(30)
Appendable_ThreadSafeMonitor @ HtmlBlockSelectorMarkupHandlerTest.java:142,1(66),1(66)
Appendable_ThreadSafeMonitor @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:133,1(8),1(8)
Appendable_ThreadSafeMonitor @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:143,1(11),1(3)
Appendable_ThreadSafeMonitor @ HtmlCDATAContentElement.java:68,1(1),1(1)
Appendable_ThreadSafeMonitor @ HtmlCDATAContentElement.java:69,1(1),1(1)
Appendable_ThreadSafeMonitor @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:141,1(5),1(5)
Appendable_ThreadSafeMonitor @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:151,1(3),1(3)
Appendable_ThreadSafeMonitor @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:133,1(98),1(21)
Appendable_ThreadSafeMonitor @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:143,1(118),1(23)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:173,1(0),1(0)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:549,1(1),1(1)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:576,1(0),1(0)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:585,1(1),1(1)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:649,1(0),1(0)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:661,1(0),1(0)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:727,1(0),1(0)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:733,1(3),1(3)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:781,1(1),1(1)
Appendable_ThreadSafeMonitor @ MarkupEventProcessorHandler.java:793,1(3),1(3)
Appendable_ThreadSafeMonitor @ MarkupParser.java:366,1(6),1(6)
Appendable_ThreadSafeMonitor @ MarkupParserTest.java:1882,1(0),1(0)
Appendable_ThreadSafeMonitor @ MarkupParserTest.java:1988,13(2473971),1(9999)
Appendable_ThreadSafeMonitor @ MarkupParserTest.java:2020,13(2473971),2(19999)
Appendable_ThreadSafeMonitor @ MarkupParserTest.java:2064,13(2473971),1(9999)
Appendable_ThreadSafeMonitor @ MarkupParserTest.java:2150,1(49),1(14)
Appendable_ThreadSafeMonitor @ MarkupParserTest.java:2223,25(2228199),1(10000)
Appendable_ThreadSafeMonitor @ MarkupSelectorAndItem.java:90,1(8),1(8)
Appendable_ThreadSafeMonitor @ MarkupSelectorItem.java:127,23(105),5(22)
Appendable_ThreadSafeMonitor @ MarkupSelectorItem.java:129,9(33),4(9)
Appendable_ThreadSafeMonitor @ MarkupSelectorItem.java:189,1(47),1(25)
Appendable_ThreadSafeMonitor @ MarkupSelectorItem.java:191,1(64),1(25)
Appendable_ThreadSafeMonitor @ MarkupSelectorItem.java:195,1(382),1(24)
Appendable_ThreadSafeMonitor @ MarkupSelectorItems.java:130,1(302),1(25)
Appendable_ThreadSafeMonitor @ MarkupSelectorItems.java:413,1(15),1(5)
Appendable_ThreadSafeMonitor @ MarkupSelectorItems.java:446,1(272),1(18)
Appendable_ThreadSafeMonitor @ MarkupSelectorItemsTest.java:162,1(47),1(47)
Appendable_ThreadSafeMonitor @ MarkupSelectorOrItem.java:89,1(38),1(29)
Appendable_ThreadSafeMonitor @ MarkupTraceEvent.java:121,15(65093617),1(10000)
Appendable_ThreadSafeMonitor @ ParseException.java:97,1(47),1(47)
Appendable_ThreadSafeMonitor @ ParseException.java:112,1(47),1(32)
Appendable_ThreadSafeMonitor @ ParseException.java:123,2(94),2(39)
Appendable_ThreadSafeMonitor @ ParseSelection.java:185,3(491),3(38)
Appendable_ThreadSafeMonitor @ ParseSelection.java:263,2(518),1(34)
Appendable_ThreadSafeMonitor @ ParsingDocTypeMarkupUtil.java:299,1(3),1(3)
