Loc,Total,Default
Appendable_ThreadSafeMonitor @ CharTreeSegmenter.java:119,1(13),1(13)
Appendable_ThreadSafeMonitor @ CharTreeSegmenter.java:249,1(1),1(1)
Appendable_ThreadSafeMonitor @ CharTreeSegmenter.java:251,2(12),2(12)
Appendable_ThreadSafeMonitor @ CharTreeSegmenter.java:273,5(117),4(24)
Appendable_ThreadSafeMonitor @ ContextInitializer.java:172,1(2),1(2)
Appendable_ThreadSafeMonitor @ StringBuilderWriter.java:128,1(0),1(0)
Appendable_ThreadSafeMonitor @ TTLLLayout.java:43,1(7803),1(369)
Appendable_ThreadSafeMonitor @ TestKeywords.java:42,1(15),1(15)
Appendable_ThreadSafeMonitor @ TestPOS.java:82,1(4401),1(233)
Appendable_ThreadSafeMonitor @ TestPOS.java:93,1(689),1(34)
Appendable_ThreadSafeMonitor @ TestSentence.java:33,1(2649),1(171)
Appendable_ThreadSafeMonitor @ TestSummarization.java:38,1(7),1(7)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:51,2(0),2(0)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:85,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ CyclicBuffer.java:62,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ MultiKey.java:164,1(8063659),1(9999)
CharSequence_NotInMapMonitor @ CharsetFileCorpus.java:42,1(19),1(17)
Closeable_MultipleCloseMonitor @ CharDFAFileCorpus.java:54,1(19),1(18)
Closeable_MultipleCloseMonitor @ CharDFAFileCorpus.java:72,1(19),1(18)
Closeable_MultipleCloseMonitor @ CharsetFileCorpus.java:32,1(19),1(13)
Closeable_MultipleCloseMonitor @ CompanyNameLengthFileCorpus.java:31,1(19),1(9)
Closeable_MultipleCloseMonitor @ CompanyNameLengthFileCorpus.java:71,1(19),1(9)
Closeable_MultipleCloseMonitor @ CooccurrenceFileCorpus.java:32,1(19),1(1)
Closeable_MultipleCloseMonitor @ CooccurrenceFileCorpus.java:50,1(19),1(6)
Closeable_MultipleCloseMonitor @ IOUtils.java:141,1(1),1(1)
Closeable_MultipleCloseMonitor @ NatureCooccurrenceFileCorpus.java:31,1(19),1(6)
Closeable_MultipleCloseMonitor @ NatureCooccurrenceFileCorpus.java:68,1(19),1(19)
Closeable_MultipleCloseMonitor @ NatureFreqFileCorpus.java:36,1(19),1(4)
Closeable_MultipleCloseMonitor @ NatureFreqFileCorpus.java:73,1(19),1(11)
Closeable_MultipleCloseMonitor @ T2SFileCorpus.java:38,1(19),1(17)
Closeable_MultipleCloseMonitor @ T2SFileCorpus.java:61,1(19),1(3)
Closeable_MultipleCloseMonitor @ TestKeywords.java:45,1(1),1(1)
Closeable_MultipleCloseMonitor @ TestSentence.java:35,1(1),1(1)
Closeable_MultipleCloseMonitor @ TestSummarization.java:40,1(1),1(1)
Collection_UnsafeIteratorMonitor @ AbstractNPathGenerator.java:54,7(1115),5(114)
Collection_UnsafeIteratorMonitor @ AbstractRecognitor.java:75,1(363),1(19)
Collection_UnsafeIteratorMonitor @ AbstractRecognitor.java:83,1(363),1(36)
Collection_UnsafeIteratorMonitor @ AbstractRecognitor.java:102,10(1582),1(103)
Collection_UnsafeIteratorMonitor @ AbstractRecognitor.java:109,2(1590),2(95)
Collection_UnsafeIteratorMonitor @ AbstractRecognitor.java:117,2(1590),2(95)
Collection_UnsafeIteratorMonitor @ AbstractRecognitor.java:146,35(20941),6(1048)
Collection_UnsafeIteratorMonitor @ AsianNameRecognitor.java:49,34(6958),34(6957)
Collection_UnsafeIteratorMonitor @ BasicStatusManager.java:86,1(3),1(3)
Collection_UnsafeIteratorMonitor @ BasicTermNatures.java:46,13(26203),8(1327)
Collection_UnsafeIteratorMonitor @ BellmanFordShortestPath.java:99,91(48853),7(2414)
Collection_UnsafeIteratorMonitor @ BellmanFordShortestPath.java:121,5410(554836),5410(554836)
Collection_UnsafeIteratorMonitor @ BellmanFordShortestPath.java:122,13(711661),4(35524)
Collection_UnsafeIteratorMonitor @ BellmanFordShortestPath.java:146,2(48942),1(2474)
Collection_UnsafeIteratorMonitor @ BellmanFordShortestPath.java:147,1(39017),1(2004)
Collection_UnsafeIteratorMonitor @ BellmanFordShortestPath.java:160,91(48853),4(2479)
Collection_UnsafeIteratorMonitor @ CharTreeSegmenter.java:221,43(1079),43(1079)
Collection_UnsafeIteratorMonitor @ CharTreeSegmenter.java:222,43(20789),2(1044)
Collection_UnsafeIteratorMonitor @ CharsetFileCorpus.java:51,1(79),1(18)
Collection_UnsafeIteratorMonitor @ CompanyRecognitor.java:34,34(6958),34(6957)
Collection_UnsafeIteratorMonitor @ CooccurrenceNPathGenerator.java:56,5(20827),3(1009)
Collection_UnsafeIteratorMonitor @ CooccurrenceNPathGenerator.java:63,5(20827),3(1101)
Collection_UnsafeIteratorMonitor @ CooccurrenceNPathGenerator.java:71,5(20827),3(1153)
Collection_UnsafeIteratorMonitor @ CrossComponentIterator.java:119,1(100796),1(4994)
Collection_UnsafeIteratorMonitor @ CrossComponentIterator.java:124,1(100796),1(5055)
Collection_UnsafeIteratorMonitor @ CrossComponentIterator.java:299,7(1288473),3(29998)
Collection_UnsafeIteratorMonitor @ DateTimeRecognitor.java:67,31(6961),11(354)
Collection_UnsafeIteratorMonitor @ DateTimeRecognitor.java:131,1(2447),1(147)
Collection_UnsafeIteratorMonitor @ DefaultTermGraph.java:164,37(6955),3(364)
Collection_UnsafeIteratorMonitor @ DefaultTermGraph.java:173,35(41917),7(2106)
Collection_UnsafeIteratorMonitor @ DefaultTermPath.java:112,5(15259),2(789)
Collection_UnsafeIteratorMonitor @ DefaultTermPath.java:211,39(41913),10(2121)
Collection_UnsafeIteratorMonitor @ ForeignNameRecognitor.java:48,34(6958),3(351)
Collection_UnsafeIteratorMonitor @ ForeignNameRecognitor.java:98,1(15767),1(814)
Collection_UnsafeIteratorMonitor @ ForeignNameRecognitor.java:138,1(2821),1(156)
Collection_UnsafeIteratorMonitor @ ForeignNameRecognitor.java:146,1(2821),1(191)
