Loc,Total,Default
Collection_UnsafeIteratorMonitor @ ISEA3H.java:367,1(23),1(23)
Collection_UnsafeIteratorMonitor @ ISEAProjection.java:281,12(999988),3(29997)
Collection_UnsynchronizedAddAllMonitor @ ISEA3H.java:519,1(479),1(24)
Collections_SortBeforeBinarySearchMonitor @ ISEA3H.java:361,1(23),1(12)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:323,1(79962),1(3957)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:326,1(29109),1(1479)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:329,1(24762),1(1230)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:332,1(28921),1(1372)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:335,1(80523),1(4187)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:340,1(12309),1(686)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:343,1(28802),1(1437)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:346,1(80271),1(3944)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:349,1(80264),1(3998)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:352,1(28526),1(1460)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:355,1(12402),1(661)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:360,1(57153),1(2847)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:363,1(49130),1(2501)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:366,1(45443),1(2355)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:369,1(48633),1(2382)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:372,1(57158),1(2909)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:375,1(56705),1(2909)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:378,1(48535),1(2415)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:381,1(45263),1(2236)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:384,1(48638),1(2482)
Collections_SortBeforeBinarySearchMonitor @ ISEAProjection.java:387,1(57470),1(2904)
Iterator_HasNextMonitor @ ISEA3H.java:367,1(23),1(20)
Iterator_HasNextMonitor @ ISEAProjection.java:281,12(999988),8(49941)
Iterator_RemoveOnceMonitor @ ISEA3H.java:367,1(23),1(15)
Iterator_RemoveOnceMonitor @ ISEAProjection.java:281,12(999988),8(49811)
__TOTAL__,62(4000514),45(180194)
