Loc,Total,Default
Appendable_ThreadSafeMonitor @ GeneratorVisitor.java:217,1(88692),1(4570)
Appendable_ThreadSafeMonitor @ GeneratorVisitor.java:224,1(2164415),1(10000)
Appendable_ThreadSafeMonitor @ RuleContext.java:137,1(280976),1(9999)
Closeable_MultipleCloseMonitor @ ANTLRInputStream.java:111,1(4),1(3)
Collection_UnsafeIteratorMonitor @ ATNConfigSet.java:215,2(15),2(6)
Collection_UnsafeIteratorMonitor @ ATNConfigSet.java:294,23(404),11(39)
Collection_UnsafeIteratorMonitor @ ATNDeserializer.java:171,1(1),1(1)
Collection_UnsafeIteratorMonitor @ ATNDeserializer.java:175,2(0),2(0)
Collection_UnsafeIteratorMonitor @ ATNDeserializer.java:223,2(0),2(0)
Collection_UnsafeIteratorMonitor @ ATNDeserializer.java:286,2(0),2(0)
Collection_UnsafeIteratorMonitor @ ATNDeserializer.java:306,2(0),1(0)
Collection_UnsafeIteratorMonitor @ ATNDeserializer.java:506,2(0),2(0)
Collection_UnsafeIteratorMonitor @ ATNDeserializer.java:528,2(0),2(0)
Collection_UnsafeIteratorMonitor @ ATNState.java:171,26(169),26(169)
Collection_UnsafeIteratorMonitor @ FlexibleHashMap.java:87,1(4),1(4)
Collection_UnsafeIteratorMonitor @ FlexibleHashMap.java:104,3(9),3(9)
Collection_UnsafeIteratorMonitor @ FlexibleHashMap.java:138,2(5),2(5)
Collection_UnsafeIteratorMonitor @ GeneratorVisitor.java:124,5(399885),3(20058)
Collection_UnsafeIteratorMonitor @ GeneratorVisitor.java:140,9(35428),5(1845)
Collection_UnsafeIteratorMonitor @ GeneratorVisitor.java:166,5(0),4(0)
Collection_UnsafeIteratorMonitor @ GeneratorVisitor.java:220,55(289995),4(14566)
Collection_UnsafeIteratorMonitor @ GeneratorVisitor.java:221,96(895909),2(19998)
Collection_UnsafeIteratorMonitor @ GeneratorVisitor.java:231,3(380754),3(18871)
Collection_UnsafeIteratorMonitor @ LexerATNSimulator.java:324,7(235),5(34)
Collection_UnsafeIteratorMonitor @ LexerATNSimulator.java:679,7(128),5(25)
Collection_UnsafeIteratorMonitor @ ParserATNSimulator.java:794,1(21),1(4)
Collection_UnsafeIteratorMonitor @ ParserATNSimulator.java:855,2(0),2(0)
Collection_UnsafeIteratorMonitor @ ParserATNSimulator.java:2031,3(20),3(4)
Collection_UnsafeIteratorMonitor @ ParserRuleContext.java:180,7(2365075),3(29997)
Collection_UnsafeIteratorMonitor @ ParserRuleContext.java:249,15(889840),6(44566)
Collection_UnsafeIteratorMonitor @ PredictionMode.java:278,2(0),2(0)
Collection_UnsafeIteratorMonitor @ PredictionMode.java:470,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PredictionMode.java:548,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ GeneratorVisitor.java:84,1(3020),1(210)
Collection_UnsynchronizedAddAllMonitor @ GeneratorVisitor.java:89,1(37),1(10)
Collection_UnsynchronizedAddAllMonitor @ GeneratorVisitor.java:141,1(374197),1(9999)
Collection_UnsynchronizedAddAllMonitor @ GeneratorVisitor.java:176,1(4),1(4)
Collection_UnsynchronizedAddAllMonitor @ GeneratorVisitor.java:209,3(290047),1(10000)
Collection_UnsynchronizedAddAllMonitor @ GeneratorVisitor.java:211,2(290048),1(10000)
Collections_SortBeforeBinarySearchMonitor @ ATN.java:108,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ ATNConfigSet.java:149,8(152),6(23)
Collections_SortBeforeBinarySearchMonitor @ ATNDeserializer.java:66,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ATNDeserializer.java:161,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ ATNDeserializer.java:165,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ ATNDeserializer.java:239,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ATNDeserializer.java:251,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ ATNDeserializer.java:348,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ ATNState.java:186,5(158),1(20)
Collections_SortBeforeBinarySearchMonitor @ BufferedTokenStream.java:165,5(0),5(0)
Collections_SortBeforeBinarySearchMonitor @ FlexibleHashMap.java:113,2(5),2(5)
Collections_SortBeforeBinarySearchMonitor @ FlexibleHashMap.java:139,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:99,1(232852),1(9999)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:127,7(258084),2(13083)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:131,1(399889),1(9999)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:141,13(35424),2(1772)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:176,1(4),1(3)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:209,1(290049),1(10000)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:211,1(290049),1(9999)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:217,114(5407),114(5407)
Collections_SortBeforeBinarySearchMonitor @ GeneratorVisitor.java:224,24(270353),1(9999)
Collections_SortBeforeBinarySearchMonitor @ IntervalSet.java:151,4(41),4(17)
Collections_SortBeforeBinarySearchMonitor @ ParserRuleContext.java:124,2(401),2(60)
Collections_SortBeforeBinarySearchMonitor @ ParserRuleContext.java:130,18(862),4(44)
Collections_SortBeforeBinarySearchMonitor @ ParserRuleContext.java:255,13(889842),6(44639)
Collections_SortBeforeBinarySearchMonitor @ Recognizer.java:32,1(9),1(9)
Console_CloseReaderMonitor @ ANTLRInputStream.java:111,1(4),1(4)
Iterator_HasNextMonitor @ ATNConfigSet.java:215,2(15),2(5)
Iterator_HasNextMonitor @ ATNDeserializer.java:171,1(1),1(1)
Iterator_HasNextMonitor @ ATNDeserializer.java:175,2(0),1(0)
Iterator_HasNextMonitor @ ATNDeserializer.java:223,2(0),2(0)
Iterator_HasNextMonitor @ ATNDeserializer.java:286,2(0),2(0)
Iterator_HasNextMonitor @ ATNDeserializer.java:306,2(0),2(0)
Iterator_HasNextMonitor @ ATNDeserializer.java:506,2(0),2(0)
Iterator_HasNextMonitor @ ATNDeserializer.java:528,2(0),2(0)
Iterator_HasNextMonitor @ ATNState.java:171,13(182),13(182)
Iterator_HasNextMonitor @ FlexibleHashMap.java:87,1(4),1(4)
