Loc,Total,Default
Appendable_ThreadSafeMonitor @ ComplexFunction.java:92,1(103),1(32)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:257,1(1),1(1)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:331,1(7),1(5)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:393,1(90),1(63)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:439,1(60),1(26)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:443,1(1),1(1)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:446,1(23),1(5)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:474,1(38),1(15)
Appendable_ThreadSafeMonitor @ ComplexFunction.java:481,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:20,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:25,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:30,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:35,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:40,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:45,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:50,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:55,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:60,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:65,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:70,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:75,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:80,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:85,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:90,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:95,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:100,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:105,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:110,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:115,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:120,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:132,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:139,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:144,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:149,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:154,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:165,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:172,1(0),1(0)
Appendable_ThreadSafeMonitor @ ComplexTest.java:178,1(0),1(0)
Appendable_ThreadSafeMonitor @ FunctionX.java:77,1(68000156),1(9999)
Appendable_ThreadSafeMonitor @ FunctionX.java:195,1(16000021),1(9999)
Appendable_ThreadSafeMonitor @ FunctionX.java:277,1(33),1(33)
Appendable_ThreadSafeMonitor @ FunctionX.java:318,1(44000071),1(10000)
Appendable_ThreadSafeMonitor @ FunctionX.java:322,1(16000021),1(9999)
Appendable_ThreadSafeMonitor @ FunctionX.java:325,1(4000015),1(9999)
Appendable_ThreadSafeMonitor @ FunctionX.java:351,1(8000013),1(9999)
Appendable_ThreadSafeMonitor @ FunctionX.java:355,1(4000004),1(10000)
Appendable_ThreadSafeMonitor @ FunctionX.java:358,1(4000006),1(9999)
Appendable_ThreadSafeMonitor @ FunctionXs.java:89,1(19),1(18)
Appendable_ThreadSafeMonitor @ FunctionXs.java:291,1(39),1(11)
Appendable_ThreadSafeMonitor @ FunctionXs.java:338,1(21),1(21)
Appendable_ThreadSafeMonitor @ FunctionXs.java:345,1(11),1(10)
Appendable_ThreadSafeMonitor @ FunctionXs.java:372,1(1),1(1)
Appendable_ThreadSafeMonitor @ FunctionXs.java:379,1(3),1(3)
Appendable_ThreadSafeMonitor @ RealTest.java:43,1(0),1(0)
Appendable_ThreadSafeMonitor @ SpeedTest.java:14,1(0),1(0)
Appendable_ThreadSafeMonitor @ SpeedTest.java:29,1(0),1(0)
Appendable_ThreadSafeMonitor @ SpeedTest.java:39,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ComplexFunction.java:61,2(33),1(13)
Collection_UnsafeIteratorMonitor @ FunctionXs.java:60,1(5),1(5)
Collections_SortBeforeBinarySearchMonitor @ ComplexFunction.java:62,2(33),2(33)
Collections_SortBeforeBinarySearchMonitor @ FunctionXs.java:61,1(5),1(4)
Collections_SortBeforeBinarySearchMonitor @ Parser.java:198,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Parser.java:200,2(2),2(2)
Collections_SortBeforeBinarySearchMonitor @ Parser.java:216,2(30),1(4)
Collections_SortBeforeBinarySearchMonitor @ Parser.java:220,2(1),2(1)
