Loc,Total,Default
Appendable_ThreadSafeMonitor @ OAbstractPaginatedStorage.java:158,1(12),1(11)
Appendable_ThreadSafeMonitor @ OAbstractPaginatedStorage.java:159,1(24),1(24)
Appendable_ThreadSafeMonitor @ OAbstractPaginatedStorage.java:160,1(5),1(5)
Appendable_ThreadSafeMonitor @ OAbstractPaginatedStorage.java:161,1(8),1(4)
Appendable_ThreadSafeMonitor @ OAbstractPaginatedStorage.java:410,1(6),1(6)
Appendable_ThreadSafeMonitor @ OAbstractPaginatedStorage.java:1221,1(197),1(71)
Appendable_ThreadSafeMonitor @ OAbstractPaginatedStorage.java:2249,1(10),1(10)
Appendable_ThreadSafeMonitor @ OAbstractProfiler.java:372,1(3),1(3)
Appendable_ThreadSafeMonitor @ OAbstractRecordCache.java:138,1(57),1(4)
Appendable_ThreadSafeMonitor @ OAbstractRecordCache.java:154,1(12),1(12)
Appendable_ThreadSafeMonitor @ OAbstractRecordCache.java:155,1(11),1(11)
Appendable_ThreadSafeMonitor @ OAbstractRecordCache.java:156,1(40),1(10)
Appendable_ThreadSafeMonitor @ OAndBlock.java:66,2(48),2(19)
Appendable_ThreadSafeMonitor @ OAtomicOperationsManager.java:237,1(13),1(13)
Appendable_ThreadSafeMonitor @ OBaseExpression.java:39,1(3),1(3)
Appendable_ThreadSafeMonitor @ OBaseExpression.java:41,2(425),2(30)
Appendable_ThreadSafeMonitor @ OBaseExpression.java:43,1(162),1(77)
Appendable_ThreadSafeMonitor @ OBaseParser.java:117,1(3),1(3)
Appendable_ThreadSafeMonitor @ OBaseParser.java:607,38(309),16(44)
Appendable_ThreadSafeMonitor @ OBinaryCondition.java:42,1(136),1(11)
Appendable_ThreadSafeMonitor @ OClassImpl.java:1862,1(57),1(9)
Appendable_ThreadSafeMonitor @ OClassImpl.java:1906,4(35),4(19)
Appendable_ThreadSafeMonitor @ OClassImpl.java:1931,1(222),1(20)
Appendable_ThreadSafeMonitor @ OClassImpl.java:2284,5(92),5(28)
Appendable_ThreadSafeMonitor @ OCollection.java:29,5(46),4(8)
Appendable_ThreadSafeMonitor @ OCommandExecutorAbstract.java:138,1(10000),1(549)
Appendable_ThreadSafeMonitor @ OCommandExecutorAbstract.java:142,38(241),9(21)
Appendable_ThreadSafeMonitor @ OCommandExecutorSQLDelete.java:152,1(0),1(0)
Appendable_ThreadSafeMonitor @ OCommandExecutorSQLDelete.java:153,1(0),1(0)
Appendable_ThreadSafeMonitor @ OCommandExecutorSQLUpdate.java:189,1(0),1(0)
Appendable_ThreadSafeMonitor @ OConstants.java:30,1(0),1(0)
Appendable_ThreadSafeMonitor @ ODatabasePoolAbstract.java:143,1(0),1(0)
Appendable_ThreadSafeMonitor @ ODatabasePoolAbstract.java:207,1(0),1(0)
Appendable_ThreadSafeMonitor @ ODatabasePoolAbstract.java:225,1(0),1(0)
Appendable_ThreadSafeMonitor @ ODeleteStatement.java:26,1(0),1(0)
Appendable_ThreadSafeMonitor @ ODirectMemoryStorage.java:94,1(0),1(0)
Appendable_ThreadSafeMonitor @ ODurableComponent.java:76,1(9999),1(546)
Appendable_ThreadSafeMonitor @ OExpression.java:78,1(24),1(24)
Appendable_ThreadSafeMonitor @ OExpression.java:80,1(1),1(1)
Appendable_ThreadSafeMonitor @ OFromItem.java:85,1(113),1(6)
Appendable_ThreadSafeMonitor @ OFunctionCall.java:49,1(159),1(6)
Appendable_ThreadSafeMonitor @ OIdentifier.java:42,1(242),1(32)
Appendable_ThreadSafeMonitor @ OIndexAbstract.java:1104,1(62),1(13)
Appendable_ThreadSafeMonitor @ OIndexRIDContainer.java:60,1(119),1(18)
Appendable_ThreadSafeMonitor @ OInsertBody.java:62,1(4),1(4)
Appendable_ThreadSafeMonitor @ OInsertBody.java:96,1(0),1(0)
Appendable_ThreadSafeMonitor @ OInsertSetExpression.java:20,1(1),1(1)
Appendable_ThreadSafeMonitor @ OInsertStatement.java:31,1(5),1(5)
Appendable_ThreadSafeMonitor @ OInteger.java:27,1(33),1(15)
Appendable_ThreadSafeMonitor @ OIsNotNullCondition.java:35,1(60),1(4)
Appendable_ThreadSafeMonitor @ OLimit.java:43,1(29),1(29)
Appendable_ThreadSafeMonitor @ OLocalRecordCache.java:46,1(57),1(4)
Appendable_ThreadSafeMonitor @ OLocalRecordCache.java:49,1(13),1(4)
Appendable_ThreadSafeMonitor @ OLocalRecordCache.java:50,1(10),1(10)
Appendable_ThreadSafeMonitor @ OLogManager.java:102,1(9999),1(537)
Appendable_ThreadSafeMonitor @ OMethodCall.java:29,1(97),1(7)
Appendable_ThreadSafeMonitor @ OModifier.java:47,1(94),1(37)
Appendable_ThreadSafeMonitor @ ONotInCondition.java:44,1(65),1(3)
Appendable_ThreadSafeMonitor @ OOrBlock.java:65,1(0),1(0)
Appendable_ThreadSafeMonitor @ OProjection.java:48,1(3),1(3)
Appendable_ThreadSafeMonitor @ OProjection.java:60,1(75),1(18)
Appendable_ThreadSafeMonitor @ OProjectionItem.java:65,1(53),1(14)
Appendable_ThreadSafeMonitor @ OPropertyImpl.java:125,1(3182),1(171)
Appendable_ThreadSafeMonitor @ ORecordId.java:78,1(124),1(35)
Appendable_ThreadSafeMonitor @ ORole.java:376,1(156),1(9)
Appendable_ThreadSafeMonitor @ OSBTree.java:455,1(66),1(9)
Appendable_ThreadSafeMonitor @ OSQLFilterItemAbstract.java:164,2(223),2(19)
Appendable_ThreadSafeMonitor @ OSQLPredicate.java:78,1(4351),1(205)
Appendable_ThreadSafeMonitor @ OSQLPredicate.java:82,27(1825),6(94)
Appendable_ThreadSafeMonitor @ OSQLPredicate.java:324,1(63),1(17)
Appendable_ThreadSafeMonitor @ OSQLTarget.java:90,1(5643),1(314)
Appendable_ThreadSafeMonitor @ OSQLTarget.java:94,26(90),26(90)
Appendable_ThreadSafeMonitor @ OSchemaShared.java:717,1(78),1(11)
Appendable_ThreadSafeMonitor @ OSchemaShared.java:956,1(94),1(17)
Appendable_ThreadSafeMonitor @ OSchemaShared.java:961,1(106),1(27)
Appendable_ThreadSafeMonitor @ OSchemaShared.java:988,5(36),3(4)
Appendable_ThreadSafeMonitor @ OSecurityManager.java:115,1(27),1(5)
Appendable_ThreadSafeMonitor @ OSecurityManager.java:117,1(46),1(31)
Appendable_ThreadSafeMonitor @ OSelectStatement.java:188,4(109),4(104)
Appendable_ThreadSafeMonitor @ OStorageConfiguration.java:566,1(7),1(2)
Appendable_ThreadSafeMonitor @ OStorageConfiguration.java:677,14(728),14(728)
Appendable_ThreadSafeMonitor @ OStringSerializerHelper.java:461,16(441),9(66)
Appendable_ThreadSafeMonitor @ OStringSerializerHelper.java:514,1(22),1(22)
Appendable_ThreadSafeMonitor @ OStringSerializerHelper.java:517,4(22),2(17)
Appendable_ThreadSafeMonitor @ OStringSerializerHelper.java:618,9(49),9(13)
Appendable_ThreadSafeMonitor @ OStringSerializerHelper.java:795,1(0),1(0)
Appendable_ThreadSafeMonitor @ OUpdateItem.java:39,1(0),1(0)
Appendable_ThreadSafeMonitor @ OUpdateOperations.java:49,1(0),1(0)
Appendable_ThreadSafeMonitor @ OUpdateStatement.java:42,1(0),1(0)
Appendable_ThreadSafeMonitor @ OrientDbCreationHelper.java:105,1(77),1(8)
Appendable_ThreadSafeMonitor @ OrientJdbcBaseTest.java:54,1(40),1(17)
Appendable_ThreadSafeMonitor @ OrientJdbcBlobTest.java:47,1(0),1(0)
Appendable_ThreadSafeMonitor @ OrientJdbcBlobTest.java:71,1(0),1(0)
Appendable_ThreadSafeMonitor @ OrientJdbcBlobTest.java:98,1(1),1(1)
ArrayDeque_UnsafeIteratorMonitor @ ORecordSerializationContext.java:89,1(9999),1(512)
ArrayDeque_UnsafeIteratorMonitor @ OWALChangesTree.java:253,49(49951),2(2541)
ArrayDeque_UnsafeIteratorMonitor @ OWALChangesTree.java:374,468(99532),468(99532)
Arrays_SortBeforeBinarySearchMonitor @ OCommonConst.java:39,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ OSBTreeCollectionManagerAbstract.java:73,1(7),1(5)
Arrays_SortBeforeBinarySearchMonitor @ OSQLFunctionRuntime.java:156,1(111),1(16)
Arrays_SortBeforeBinarySearchMonitor @ OSQLFunctionRuntime.java:177,1(84),1(16)
Arrays_SortBeforeBinarySearchMonitor @ OSQLFunctionRuntime.java:212,1(87),1(8)
Arrays_SortBeforeBinarySearchMonitor @ OScriptManager.java:62,1(0),1(0)
CharSequence_NotInMapMonitor @ OClassImpl.java:914,1(87),1(19)
CharSequence_NotInMapMonitor @ OClassImpl.java:2407,1(61),1(53)
CharSequence_NotInMapMonitor @ OImmutableClass.java:103,1(316),1(16)
CharSequence_NotInMapMonitor @ OSchemaShared.java:746,1(9),1(7)
CharSequence_NotInMapMonitor @ OTrackedMap.java:57,1(11),1(11)
Closeable_MultipleCloseMonitor @ JavaCharStream.java:146,1(1870),1(110)
Closeable_MultipleCloseMonitor @ ORecordBytes.java:131,1(102499),1(5214)
Closeable_MultipleCloseMonitor @ OrientJdbcBlobTest.java:116,1(3),1(3)
Closeable_MultipleCloseMonitor @ OrientJdbcBlobTest.java:132,1(1),1(1)
Closeable_MultipleCloseMonitor @ OrientJdbcConnection.java:75,1(43),1(43)
Collection_UnsafeIteratorMonitor @ IsCollectionContaining.java:24,1(0),1(0)
Collection_UnsafeIteratorMonitor @ OAbstractPaginatedStorage.java:1448,1(98),1(43)
Collection_UnsafeIteratorMonitor @ OAbstractPaginatedStorage.java:1455,1(143),1(15)
Collection_UnsafeIteratorMonitor @ OAbstractPaginatedStorage.java:2209,2(5),2(5)
Collection_UnsafeIteratorMonitor @ OAbstractProfiler.java:72,1(15),1(15)
Collection_UnsafeIteratorMonitor @ OAndBlock.java:39,3(96),3(28)
Collection_UnsafeIteratorMonitor @ OAndBlock.java:62,2(56),1(4)
Collection_UnsafeIteratorMonitor @ OAndBlock.java:84,3(111),3(13)
Collection_UnsafeIteratorMonitor @ OAtomicOperation.java:330,1(9999),1(457)
Collection_UnsafeIteratorMonitor @ OAtomicOperation.java:334,3(11927),2(596)
Collection_UnsafeIteratorMonitor @ OAtomicOperation.java:343,4(23931),2(1172)
Collection_UnsafeIteratorMonitor @ OAtomicOperation.java:353,2(19998),2(997)
Collection_UnsafeIteratorMonitor @ OAtomicOperation.java:357,4(28132),3(1467)
Collection_UnsafeIteratorMonitor @ OAtomicOperation.java:366,4(39997),3(2019)
Collection_UnsafeIteratorMonitor @ OAtomicOperationsManager.java:179,2(19998),2(1051)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:381,4(1075),2(70)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:445,1(13),1(13)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:458,1(53),1(32)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:461,1(16),1(16)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:702,1(13),1(5)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:709,2(19),2(19)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:729,2(13),1(2)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:809,4(57),4(57)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:883,1(57),1(4)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:901,5(63),2(8)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:935,11(976),2(45)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:948,2(318),1(20)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:1207,4(1388),3(79)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:1462,1(1),1(1)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:1487,4(61),4(61)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:1713,1(1),1(1)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:1732,4(20),4(4)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:1799,2(13),2(13)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:1912,5(69),4(12)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:2382,2(71),2(9)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:2395,1(13),1(11)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:2397,1(15),1(4)
Collection_UnsafeIteratorMonitor @ OClassImpl.java:2490,2(10),1(2)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:321,3(10437),1(535)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:330,2(10375),2(502)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:337,2(10386),2(495)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:340,1(9999),1(551)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:367,1(58),1(18)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:377,1(16),1(6)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:384,1(35),1(4)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:387,1(16),1(1)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:460,1(35),1(7)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:516,3(10455),2(500)
Collection_UnsafeIteratorMonitor @ OClassIndexManager.java:617,3(10576),1(540)
Collection_UnsafeIteratorMonitor @ OClusterPage.java:474,2(187),1(20)
Collection_UnsafeIteratorMonitor @ OCollection.java:31,5(60),2(3)
Collection_UnsafeIteratorMonitor @ OCollection.java:44,5(43),3(16)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLInsert.java:220,1(5),1(1)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLInsert.java:354,1(4),1(4)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLResultsetAbstract.java:244,1(52),1(21)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLResultsetAbstract.java:390,1(15),1(14)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLResultsetAbstract.java:457,1(92),1(15)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:382,1(16),1(16)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:423,1(17),1(11)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:674,1(73),1(16)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:855,1(107),1(37)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:890,2(47),1(23)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:966,1(40),1(9)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:969,2(54),1(4)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1001,1(93),1(17)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1799,3(127),1(5)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1802,2(94),2(40)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1809,1(45),1(15)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1835,1(31),1(27)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1908,2(16),2(16)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1921,1(93),1(7)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:1931,1(12),1(12)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLSelect.java:2408,1(59),1(12)
Collection_UnsafeIteratorMonitor @ OCommandExecutorSQLUpdate.java:496,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:345,1(14),1(11)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:442,1(16),1(16)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:522,1(10),1(10)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:536,1(17),1(17)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:955,16(2670),3(147)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:1021,6(36106),1(1792)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:3020,4(11947),1(564)
Collection_UnsafeIteratorMonitor @ ODatabaseDocumentTx.java:3039,4(5280),2(247)
Collection_UnsafeIteratorMonitor @ ODatabasePoolAbstract.java:293,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ODatabasePoolAbstract.java:331,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ODatabasePoolAbstract.java:343,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ODirectMemoryOnlyDiskCache.java:283,2(6),2(6)
Collection_UnsafeIteratorMonitor @ ODirectMemoryOnlyDiskCache.java:449,5(123),1(10)
Collection_UnsafeIteratorMonitor @ ODocument.java:337,3(20),3(20)
