Loc,Total,Default
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:152,1(57),1(46)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:153,1(57),1(57)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:154,1(57),1(5)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:155,1(57),1(29)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:157,1(35),1(1)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:159,1(57),1(11)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:161,1(65),1(8)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:182,1(119),1(7)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:192,1(65),1(24)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:202,1(16),1(10)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:205,1(15),1(15)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:210,1(65),1(56)
Appendable_ThreadSafeMonitor @ ApplyScoreCommand.java:326,1(55),1(13)
Appendable_ThreadSafeMonitor @ ApplyScoreTask.java:170,1(79),1(17)
Appendable_ThreadSafeMonitor @ ApplyScoreTask.java:220,1(79),1(22)
Appendable_ThreadSafeMonitor @ ApplyScoreTask.java:224,1(0),1(0)
Appendable_ThreadSafeMonitor @ ApplyScoreTask.java:227,1(0),1(0)
Appendable_ThreadSafeMonitor @ ApplyScoreTask.java:486,1(76),1(4)
Appendable_ThreadSafeMonitor @ ApplyScoreTask.java:487,1(76),1(11)
Appendable_ThreadSafeMonitor @ ApplyScoreTask.java:554,1(1),1(1)
Appendable_ThreadSafeMonitor @ Ast.java:67,64(1068),10(52)
Appendable_ThreadSafeMonitor @ Ast.java:695,11(97),11(97)
Appendable_ThreadSafeMonitor @ CSVParser.java:255,200(13282777),4(39997)
Appendable_ThreadSafeMonitor @ CSVWriter.java:234,6(216166),1(10000)
Appendable_ThreadSafeMonitor @ CSVWriter.java:236,3(11830),1(618)
Appendable_ThreadSafeMonitor @ CommandLine.java:2787,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommandLine.java:5817,1(81),1(4)
Appendable_ThreadSafeMonitor @ CommandLine.java:5925,1(156),1(19)
Appendable_ThreadSafeMonitor @ CommandLine.java:7187,1(3),1(3)
Appendable_ThreadSafeMonitor @ CommandLine.java:9294,1(58),1(41)
Appendable_ThreadSafeMonitor @ CommandLine.java:9437,2(145),1(27)
Appendable_ThreadSafeMonitor @ CommandLine.java:9456,1(146),1(21)
Appendable_ThreadSafeMonitor @ CommandLine.java:9642,1(1771),1(127)
Appendable_ThreadSafeMonitor @ CommandLine.java:10013,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommandLine.java:10273,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommandLine.java:10843,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommandLine.java:11526,1(1771),1(83)
Appendable_ThreadSafeMonitor @ CommandLine.java:12245,1(76),1(12)
Appendable_ThreadSafeMonitor @ CommandLine.java:12355,1(24183),1(1214)
Appendable_ThreadSafeMonitor @ CommandLine.java:12909,1(72),1(26)
Appendable_ThreadSafeMonitor @ CommandLine.java:13969,1(96),1(3)
Appendable_ThreadSafeMonitor @ CommandLine.java:14040,1(317),1(29)
Appendable_ThreadSafeMonitor @ CommandLine.java:14990,1(58),1(46)
Appendable_ThreadSafeMonitor @ CommandLine.java:16049,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommandLine.java:16211,1(5),1(5)
Appendable_ThreadSafeMonitor @ CommandLine.java:16465,2(73),2(10)
Appendable_ThreadSafeMonitor @ CommandLine.java:16545,1(3),1(3)
Appendable_ThreadSafeMonitor @ CommandLine.java:16568,1(1),1(1)
Appendable_ThreadSafeMonitor @ CommandLine.java:16808,1(20),1(20)
Appendable_ThreadSafeMonitor @ CommandLine.java:16907,1(3),1(3)
Appendable_ThreadSafeMonitor @ CommandLine.java:17433,4(5),4(5)
Appendable_ThreadSafeMonitor @ CommandLine.java:17439,3(6),3(6)
Appendable_ThreadSafeMonitor @ CommandLine.java:17665,1(1169),1(81)
Appendable_ThreadSafeMonitor @ CommandLine.java:17666,1(1169),1(63)
Appendable_ThreadSafeMonitor @ CommandLine.java:18002,1(190),1(20)
Appendable_ThreadSafeMonitor @ CommandLine.java:18003,1(1360),1(70)
Appendable_ThreadSafeMonitor @ CommandLine.java:18011,2(188),2(54)
Appendable_ThreadSafeMonitor @ CommandLine.java:18021,2(188),2(19)
Appendable_ThreadSafeMonitor @ CommandLine.java:18172,1(2326),1(115)
Appendable_ThreadSafeMonitor @ CommandLine.java:18273,1(3231),1(223)
Appendable_ThreadSafeMonitor @ CommandLine.java:18292,13(53),4(6)
Appendable_ThreadSafeMonitor @ CommandLine.java:18301,2(14),2(6)
Appendable_ThreadSafeMonitor @ CreateHtmlReportTask.java:120,1(9),1(8)
Appendable_ThreadSafeMonitor @ CreateHtmlReportTask.java:146,1(9),1(9)
Appendable_ThreadSafeMonitor @ CreateHtmlReportTask.java:202,1(19),1(5)
Appendable_ThreadSafeMonitor @ CsvTableWriter.java:77,1(4094766),1(10000)
Appendable_ThreadSafeMonitor @ CsvTableWriter.java:82,1(85816),1(4179)
Appendable_ThreadSafeMonitor @ CsvWithHeaderTableWriter.java:101,1(11310),1(585)
Appendable_ThreadSafeMonitor @ DbSnpReader.java:122,1(2),1(2)
Appendable_ThreadSafeMonitor @ DbSnpReader.java:126,1(463),1(26)
Appendable_ThreadSafeMonitor @ DbSnpReader.java:152,1(7),1(7)
Appendable_ThreadSafeMonitor @ Defaults.java:168,1(14),1(14)
Appendable_ThreadSafeMonitor @ FileUtil.java:49,1(31),1(10)
Appendable_ThreadSafeMonitor @ FileUtil.java:72,1(73),1(44)
Appendable_ThreadSafeMonitor @ FileUtil.java:145,1(1),1(1)
Appendable_ThreadSafeMonitor @ FileUtil.java:147,1(200),1(18)
Appendable_ThreadSafeMonitor @ FileUtil.java:150,1(199),1(13)
Appendable_ThreadSafeMonitor @ HtmlReport.java:83,1(33),1(16)
Appendable_ThreadSafeMonitor @ HtmlReport.java:93,1(7),1(7)
Appendable_ThreadSafeMonitor @ HtmlReport.java:120,1(9),1(9)
Appendable_ThreadSafeMonitor @ HtmlReport.java:148,1(9),1(9)
Appendable_ThreadSafeMonitor @ ImageFunction.java:18,1(7),1(7)
Appendable_ThreadSafeMonitor @ ImageUrlFunction.java:27,1(7),1(4)
Appendable_ThreadSafeMonitor @ IncludeScriptFunction.java:29,1(15),1(4)
Appendable_ThreadSafeMonitor @ IncludeScriptFunction.java:49,2(110),2(24)
Appendable_ThreadSafeMonitor @ IncludeScriptFunction.java:50,1(55),1(5)
Appendable_ThreadSafeMonitor @ IncludeStyleFunction.java:29,1(7),1(6)
Appendable_ThreadSafeMonitor @ IncludeStyleFunction.java:48,2(30),2(2)
Appendable_ThreadSafeMonitor @ IncludeStyleFunction.java:49,1(15),1(15)
Appendable_ThreadSafeMonitor @ JsonReader.java:1029,1(3),1(3)
Appendable_ThreadSafeMonitor @ JsonWriter.java:533,2(4),2(4)
Appendable_ThreadSafeMonitor @ JsonWriter.java:645,2(6),2(3)
Appendable_ThreadSafeMonitor @ JsonWriter.java:650,1(42),1(6)
Appendable_ThreadSafeMonitor @ LiftOverScoreTask.java:54,1(1),1(1)
Appendable_ThreadSafeMonitor @ LiftOverScoreTask.java:79,1(0),1(0)
Appendable_ThreadSafeMonitor @ LiftOverScoreTask.java:116,1(11361),1(588)
Appendable_ThreadSafeMonitor @ LiftOverScoreTask.java:120,1(11361),1(602)
Appendable_ThreadSafeMonitor @ LiftOverScoreTask.java:174,1(50),1(49)
Appendable_ThreadSafeMonitor @ LiftOverScoreTask.java:206,1(19),1(6)
Appendable_ThreadSafeMonitor @ LongLineBufferedReader.java:331,2(156),1(14)
Appendable_ThreadSafeMonitor @ MergeEffectsCommandTest.java:68,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeEffectsCommandTest.java:69,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeEffectsCommandTest.java:70,1(6),1(1)
Appendable_ThreadSafeMonitor @ MergeEffectsCommandTest.java:71,1(13),1(9)
Appendable_ThreadSafeMonitor @ MergeEffectsTaskTest.java:69,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeEffectsTaskTest.java:70,1(6),1(5)
Appendable_ThreadSafeMonitor @ MergeEffectsTaskTest.java:71,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeEffectsTaskTest.java:72,1(13),1(13)
Appendable_ThreadSafeMonitor @ MergeReportTask.java:64,1(42),1(17)
Appendable_ThreadSafeMonitor @ MergeScoreTaskTest.java:77,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeScoreTaskTest.java:78,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeScoreTaskTest.java:79,1(13),1(13)
Appendable_ThreadSafeMonitor @ MergeScoreTaskTest.java:123,1(2),1(2)
Appendable_ThreadSafeMonitor @ MergeScoreTaskTest.java:128,1(2999),1(205)
Appendable_ThreadSafeMonitor @ MergeScoreTaskTest.java:132,1(2999),1(160)
Appendable_ThreadSafeMonitor @ MergeScoreTaskTest.java:134,1(2999999),1(10000)
Appendable_ThreadSafeMonitor @ MergeVariantsCommandTest.java:62,1(6),1(4)
Appendable_ThreadSafeMonitor @ MergeVariantsCommandTest.java:63,1(6),1(2)
Appendable_ThreadSafeMonitor @ MergeVariantsCommandTest.java:64,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeVariantsCommandTest.java:65,1(13),1(13)
Appendable_ThreadSafeMonitor @ MergeVariantsTaskTest.java:64,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeVariantsTaskTest.java:65,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeVariantsTaskTest.java:66,1(6),1(6)
Appendable_ThreadSafeMonitor @ MergeVariantsTaskTest.java:67,1(13),1(2)
Appendable_ThreadSafeMonitor @ PGSCatalog.java:28,1(8),1(8)
Appendable_ThreadSafeMonitor @ PGSCatalog.java:31,1(8),1(8)
Appendable_ThreadSafeMonitor @ PGSCatalog.java:42,1(8),1(8)
Appendable_ThreadSafeMonitor @ PGSCatalog.java:47,1(8),1(8)
Appendable_ThreadSafeMonitor @ PGSCatalogFormat.java:118,1(7),1(7)
Appendable_ThreadSafeMonitor @ PGSCatalogIDFile.java:24,1(49),1(34)
Appendable_ThreadSafeMonitor @ PGSCatalogIDFile.java:34,1(14),1(7)
Appendable_ThreadSafeMonitor @ ParsingUtils.java:471,1(157),1(22)
Appendable_ThreadSafeMonitor @ ParsingUtils.java:474,1(10),1(10)
Appendable_ThreadSafeMonitor @ ProxyReader.java:115,1(0),1(0)
Appendable_ThreadSafeMonitor @ ResolveScoreCommand.java:63,1(4),1(4)
Appendable_ThreadSafeMonitor @ ResolveScoreCommand.java:79,1(4),1(3)
Appendable_ThreadSafeMonitor @ ResolveScoreCommand.java:85,1(1),1(1)
Appendable_ThreadSafeMonitor @ ResolveScoreCommand.java:87,1(1),1(1)
Appendable_ThreadSafeMonitor @ ResolveScoreCommand.java:97,1(1),1(1)
Appendable_ThreadSafeMonitor @ ResolveScoreCommand.java:98,1(1),1(1)
Appendable_ThreadSafeMonitor @ ResolveScoreCommand.java:100,1(1),1(1)
