Loc,Total,Default
Appendable_ThreadSafeMonitor @ AuxiliaryType.java:166,1(7),1(2)
Appendable_ThreadSafeMonitor @ ClassFileVersion.java:545,1(0),1(0)
Appendable_ThreadSafeMonitor @ ConstructorAccess.java:49,1(0),1(0)
Appendable_ThreadSafeMonitor @ ConstructorAccess.java:71,1(0),1(0)
Appendable_ThreadSafeMonitor @ EntryDefault.java:71,1(48),1(17)
Appendable_ThreadSafeMonitor @ FieldAccessor.java:361,1(5),1(5)
Appendable_ThreadSafeMonitor @ Implementation.java:1281,1(17),1(17)
Appendable_ThreadSafeMonitor @ Implementation.java:1458,1(7),1(1)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:226,1(6),1(5)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1316,1(0),1(0)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1383,1(0),1(0)
Appendable_ThreadSafeMonitor @ MethodCallProxy.java:145,1(8),1(4)
Appendable_ThreadSafeMonitor @ MethodDescription.java:523,3(91),2(5)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:184,1(7),1(7)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:186,1(10),1(10)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:454,1(10),1(10)
Appendable_ThreadSafeMonitor @ NodePosition.java:31,1(0),1(0)
Appendable_ThreadSafeMonitor @ NonLeafFlatBuffers.java:167,1(1),1(1)
Appendable_ThreadSafeMonitor @ ObservableSplit.java:109,1(227),1(16)
Appendable_ThreadSafeMonitor @ PointDouble.java:49,1(15),1(13)
Appendable_ThreadSafeMonitor @ PointFloat.java:73,1(29),1(22)
Appendable_ThreadSafeMonitor @ RTree.java:942,4(18),2(4)
Appendable_ThreadSafeMonitor @ RTree.java:950,1(17),1(10)
Appendable_ThreadSafeMonitor @ RTreeTest.java:133,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:166,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:174,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:175,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:606,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:723,1(4),1(4)
Appendable_ThreadSafeMonitor @ RTreeTest.java:727,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:742,1(4),1(4)
Appendable_ThreadSafeMonitor @ RTreeTest.java:746,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:784,1(6),1(6)
Appendable_ThreadSafeMonitor @ RTreeTest.java:786,1(6),1(6)
Appendable_ThreadSafeMonitor @ RTreeTest.java:997,1(8),1(8)
Appendable_ThreadSafeMonitor @ RTreeTest.java:1008,1(2),1(1)
Appendable_ThreadSafeMonitor @ RandomString.java:49,1(0),1(0)
Appendable_ThreadSafeMonitor @ RectangleDouble.java:84,1(8),1(8)
Appendable_ThreadSafeMonitor @ RectangleFloat.java:133,1(20),1(6)
Appendable_ThreadSafeMonitor @ RxJavaPlugins.java:293,1(1),1(1)
Appendable_ThreadSafeMonitor @ SerializerFlatBuffersTest.java:85,1(3),1(3)
Appendable_ThreadSafeMonitor @ SerializerFlatBuffersTest.java:87,1(3),1(3)
Appendable_ThreadSafeMonitor @ SerializerFlatBuffersTest.java:98,1(3),1(3)
Appendable_ThreadSafeMonitor @ SerializerFlatBuffersTest.java:103,1(3),1(3)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:123,5(19),4(3)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:132,2(44),2(32)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:164,3(8),3(8)
Appendable_ThreadSafeMonitor @ Type.java:548,3(10),3(10)
Appendable_ThreadSafeMonitor @ Type.java:565,3(1),3(1)
Appendable_ThreadSafeMonitor @ Type.java:582,8(44),8(44)
Appendable_ThreadSafeMonitor @ Type.java:616,1(1),1(1)
Appendable_ThreadSafeMonitor @ Type.java:642,1(111),1(10)
Appendable_ThreadSafeMonitor @ Type.java:644,1(180),1(56)
Appendable_ThreadSafeMonitor @ TypeDescription.java:8371,1(47),1(6)
Appendable_ThreadSafeMonitor @ Util.java:76,1(1),1(1)
Arrays_SortBeforeBinarySearchMonitor @ AnnotationDescription.java:637,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ CachedFields.java:105,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ CachedFields.java:109,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ ConcurrentCircularArrayQueue.java:74,1(5),1(3)
Arrays_SortBeforeBinarySearchMonitor @ Implementation.java:608,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ IntMap.java:99,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1005,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1115,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1203,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ ObjectMap.java:93,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ ObjectMap.java:94,1(0),1(0)
ByteArrayOutputStream_FlushBeforeRetrieveMonitor @ KryoSerializationTest.java:40,1(0),1(0)
ByteArrayOutputStream_FlushBeforeRetrieveMonitor @ Serializers.java:168,1(1),1(1)
CharSequence_NotInMapMonitor @ DynamicType.java:6090,2(1),2(1)
CharSequence_NotInMapMonitor @ DynamicType.java:6101,2(1),2(1)
Closeable_MultipleCloseMonitor @ GreekEarthquakes.java:40,1(5),1(5)
Closeable_MultipleCloseMonitor @ KryoSerializationTest.java:44,1(0),1(0)
Closeable_MultipleCloseMonitor @ Output.java:221,1(0),1(0)
