Loc,Total,Default
Appendable_ThreadSafeMonitor @ AnnotationAppender.java:726,1(111),1(23)
Appendable_ThreadSafeMonitor @ AuxiliaryType.java:166,1(56),1(7)
Appendable_ThreadSafeMonitor @ ClassFileVersion.java:530,1(0),1(0)
Appendable_ThreadSafeMonitor @ Complex.java:1297,1(7),1(7)
Appendable_ThreadSafeMonitor @ ExceptionContext.java:178,1(32),1(22)
Appendable_ThreadSafeMonitor @ FieldAccessor.java:361,1(7),1(7)
Appendable_ThreadSafeMonitor @ Implementation.java:985,1(56),1(9)
Appendable_ThreadSafeMonitor @ Implementation.java:1162,1(56),1(15)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:222,1(6),1(6)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1279,1(0),1(0)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1333,1(0),1(0)
Appendable_ThreadSafeMonitor @ LocalizedFormats.java:397,1(24),1(24)
Appendable_ThreadSafeMonitor @ MethodCallProxy.java:145,1(146),1(41)
Appendable_ThreadSafeMonitor @ MethodDescription.java:523,7(487),4(35)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:184,1(56),1(7)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:186,1(60),1(18)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:454,1(60),1(4)
Appendable_ThreadSafeMonitor @ RandomString.java:48,1(0),1(0)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:117,29(112),29(112)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:126,3(171),2(13)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:158,2(59),2(45)
Appendable_ThreadSafeMonitor @ Type.java:548,4(63),1(6)
Appendable_ThreadSafeMonitor @ Type.java:565,3(1),3(1)
Appendable_ThreadSafeMonitor @ Type.java:582,23(158),23(158)
Appendable_ThreadSafeMonitor @ Type.java:616,2(64),2(40)
Appendable_ThreadSafeMonitor @ Type.java:642,1(2529),1(140)
Appendable_ThreadSafeMonitor @ Type.java:644,1(617),1(30)
Appendable_ThreadSafeMonitor @ TypeDescription.java:8287,1(341),1(71)
Appendable_ThreadSafeMonitor @ TypeDescription.java:9298,2(968),1(49)
Appendable_ThreadSafeMonitor @ TypeDescription.java:9313,1(349),1(34)
Arrays_SortBeforeBinarySearchMonitor @ AnnotationDescription.java:637,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1001,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1111,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ JavaDispatcher.java:1191,1(0),1(0)
CharSequence_NotInMapMonitor @ DynamicType.java:5939,4(0),4(0)
CharSequence_NotInMapMonitor @ DynamicType.java:5950,4(0),4(0)
Collection_UnsafeIteratorMonitor @ AbstractCurveFitter.java:108,4(18),4(18)
Collection_UnsafeIteratorMonitor @ AllArguments.java:206,6(108),4(33)
Collection_UnsafeIteratorMonitor @ AllOf.java:26,1(32),1(8)
Collection_UnsafeIteratorMonitor @ AnnotationAppender.java:312,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AnnotationAppender.java:643,1(178),1(30)
Collection_UnsafeIteratorMonitor @ AnnotationAppender.java:743,1(1006),1(53)
Collection_UnsafeIteratorMonitor @ AnnotationDescription.java:578,4(73),4(73)
Collection_UnsafeIteratorMonitor @ AnnotationList.java:104,4(604),4(53)
Collection_UnsafeIteratorMonitor @ AnnotationList.java:130,2(113),2(12)
Collection_UnsafeIteratorMonitor @ ArrayFactory.java:294,6(222),4(34)
Collection_UnsafeIteratorMonitor @ ArrayFactory.java:310,6(108),6(45)
Collection_UnsafeIteratorMonitor @ ByteCodeAppender.java:139,1(56),1(30)
Collection_UnsafeIteratorMonitor @ ByteCodeAppender.java:155,4(0),4(0)
Collection_UnsafeIteratorMonitor @ ByteCodeElement.java:159,7(127),6(14)
Collection_UnsafeIteratorMonitor @ ClassInjector.java:115,4(0),4(0)
Collection_UnsafeIteratorMonitor @ ClassInjector.java:120,4(0),4(0)
Collection_UnsafeIteratorMonitor @ ClassInjector.java:242,4(0),4(0)
Collection_UnsafeIteratorMonitor @ CollectionErasureMatcher.java:52,1(3),1(3)
Collection_UnsafeIteratorMonitor @ CollectionItemMatcher.java:47,7(348),4(37)
Collection_UnsafeIteratorMonitor @ CollectionOneToOneMatcher.java:57,1(3),1(3)
Collection_UnsafeIteratorMonitor @ CollectionOneToOneMatcher.java:58,1(3),1(1)
Collection_UnsafeIteratorMonitor @ ConstructorStrategy.java:197,3(1),3(1)
Collection_UnsafeIteratorMonitor @ DynamicType.java:2910,6(51),5(21)
Collection_UnsafeIteratorMonitor @ DynamicType.java:5557,2(59),2(35)
Collection_UnsafeIteratorMonitor @ DynamicType.java:5938,5(56),4(27)
Collection_UnsafeIteratorMonitor @ DynamicType.java:5949,5(56),3(27)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:132,1(833),1(47)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:145,6(1903),3(117)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:200,1(248),1(30)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:213,5(590),3(43)
Collection_UnsafeIteratorMonitor @ ElementMatchers.java:345,1(60),1(32)
Collection_UnsafeIteratorMonitor @ ElementMatchers.java:601,1(3),1(2)
Collection_UnsafeIteratorMonitor @ FieldAttributeAppender.java:146,1(154),1(21)
Collection_UnsafeIteratorMonitor @ FieldRegistry.java:133,6(55),6(39)
Collection_UnsafeIteratorMonitor @ FieldRegistry.java:257,6(149),6(149)
Collection_UnsafeIteratorMonitor @ FilterableList.java:124,16(936),5(77)
Collection_UnsafeIteratorMonitor @ Implementation.java:931,5(56),3(23)
Collection_UnsafeIteratorMonitor @ Implementation.java:943,5(56),3(13)
Collection_UnsafeIteratorMonitor @ Implementation.java:946,1(60),1(16)
Collection_UnsafeIteratorMonitor @ Implementation.java:949,1(60),1(9)
Collection_UnsafeIteratorMonitor @ LatentMatcher.java:337,1(3),1(2)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:114,1(3),1(3)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:128,1(3),1(3)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:202,2(116),2(26)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:205,7(111),7(111)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:211,1(236),1(42)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:217,2(116),2(5)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:470,1(3),1(3)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:483,1(60),1(5)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:132,6(51),3(3)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:173,6(51),3(5)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:319,6(51),1(3)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:407,6(108),1(6)
Collection_UnsafeIteratorMonitor @ MethodConstant.java:140,6(51),6(22)
Collection_UnsafeIteratorMonitor @ MethodDelegation.java:947,2(2),2(2)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:536,3(119),3(16)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:968,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:982,1(56),1(56)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:1092,2(63),2(9)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:524,7(487),3(29)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:538,1(314),1(32)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:549,7(308),2(23)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:1987,6(222),1(16)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:641,1(3),1(3)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:714,3(29),2(3)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1019,1(403),1(32)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1034,1(5),1(4)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1189,8(16),4(3)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1234,3(7),3(7)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1251,8(4),8(4)
Collection_UnsafeIteratorMonitor @ MethodList.java:89,3(1),2(1)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:458,2(59),2(22)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:479,5(56),4(11)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:483,4(183),4(15)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:505,3(58),2(16)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:508,4(124),4(14)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:738,5(56),5(40)
