Loc,Total,Default
Appendable_ThreadSafeMonitor @ CharMatcher.java:139,1(0),1(0)
Appendable_ThreadSafeMonitor @ CharMatcher.java:413,1(5020900),1(9999)
Appendable_ThreadSafeMonitor @ CharMatcher.java:549,1(1),1(1)
Appendable_ThreadSafeMonitor @ CharMatcher.java:732,1(0),1(0)
Appendable_ThreadSafeMonitor @ Doubles.java:594,1(0),1(0)
Appendable_ThreadSafeMonitor @ Doubles.java:596,1(0),1(0)
Appendable_ThreadSafeMonitor @ Doubles.java:597,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:84,1(4200878),1(10000)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:97,1(4200881),1(10000)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:100,2(4200879),1(10000)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:112,1(8401755),1(9999)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:113,1(8401755),1(9999)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:116,1(2100438),1(10000)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:128,2(7941363),1(9999)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:142,1(2),1(2)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:145,1(2),1(2)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:148,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:155,2(14242684),1(10000)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:174,1(2100440),1(10000)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:241,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:257,1(0),1(0)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:264,1(14242688),1(10000)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:268,1(14242684),1(9999)
Appendable_ThreadSafeMonitor @ ExampleBuilder.java:301,2(5020901),1(10000)
Appendable_ThreadSafeMonitor @ IntegrationSuite.java:135,1(1),1(1)
Appendable_ThreadSafeMonitor @ Joiner.java:108,11(5020940),1(9999)
Appendable_ThreadSafeMonitor @ Metrics.java:81,1(31),1(15)
Appendable_ThreadSafeMonitor @ NativeUtils.java:70,1(0),1(0)
Appendable_ThreadSafeMonitor @ NativeUtils.java:75,1(0),1(0)
Appendable_ThreadSafeMonitor @ NativeUtils.java:109,1(0),1(0)
Appendable_ThreadSafeMonitor @ NativeUtils.java:154,1(0),1(0)
Appendable_ThreadSafeMonitor @ NativeUtils.java:173,1(0),1(0)
Appendable_ThreadSafeMonitor @ ProgressiveValidation.java:39,1(63),1(13)
Appendable_ThreadSafeMonitor @ TestOnMovieLensDataset.java:88,1(2100438),1(9999)
Appendable_ThreadSafeMonitor @ VowpalWabbit.java:308,1(7),1(7)
Appendable_ThreadSafeMonitor @ VowpalWabbit.java:326,1(3),1(3)
Appendable_ThreadSafeMonitor @ VowpalWabbit.java:432,1(3),1(3)
Appendable_ThreadSafeMonitor @ VowpalWabbit.java:1001,1(1),1(1)
Appendable_ThreadSafeMonitor @ VowpalWabbit.java:1357,1(0),1(0)
Appendable_ThreadSafeMonitor @ VowpalWabbit.java:1366,1(13),1(7)
Closeable_MultipleCloseMonitor @ IntegrationSuite.java:95,1(1),1(1)
Closeable_MultipleCloseMonitor @ IntegrationSuite.java:123,1(1),1(1)
Closeable_MultipleCloseMonitor @ IntegrationSuite.java:150,1(1),1(1)
Closeable_MultipleCloseMonitor @ IntegrationSuite.java:165,1(1),1(1)
Closeable_MultipleCloseMonitor @ IntegrationSuite.java:176,1(11),1(10)
Closeable_MultipleCloseMonitor @ NativeUtils.java:143,1(0),1(0)
Closeable_MultipleCloseMonitor @ NativeUtils.java:144,1(0),1(0)
Closeable_MultipleCloseMonitor @ PropertyConfigurator.java:572,1(0),1(0)
Closeable_MultipleCloseMonitor @ TestOnTwitterSentimentDataset.java:51,1(1),1(1)
Closeable_MultipleCloseMonitor @ VWLearnersTest.java:26,1(0),1(0)
Closeable_MultipleCloseMonitor @ VWLearnersTest.java:27,1(0),1(0)
Closeable_MultipleCloseMonitor @ VWLearnersTest.java:38,1(0),1(0)
Closeable_MultipleCloseMonitor @ VWLearnersTest.java:47,1(0),1(0)
Closeable_MultipleCloseMonitor @ VWUtility.java:35,1(0),1(0)
Closeable_MultipleCloseMonitor @ VWUtility.java:56,1(1),1(1)
Collection_UnsafeIteratorMonitor @ ExampleBuilder.java:284,9(14242676),2(19998)
Collection_UnsafeIteratorMonitor @ IntegrationSuite.java:86,2(0),2(0)
Collection_UnsafeIteratorMonitor @ IntegrationSuite.java:107,2(0),2(0)
Collection_UnsafeIteratorMonitor @ IntegrationSuite.java:116,2(0),2(0)
Collection_UnsafeIteratorMonitor @ IntegrationSuite.java:142,2(0),2(0)
Collection_UnsafeIteratorMonitor @ IntegrationSuite.java:158,2(0),2(0)
Collection_UnsafeIteratorMonitor @ Iterables.java:851,4(8),4(8)
Collection_UnsafeIteratorMonitor @ Joiner.java:183,11(5020940),2(19998)
Collection_UnsafeIteratorMonitor @ Metrics.java:68,1(3915860),1(9999)
Collection_UnsafeIteratorMonitor @ Metrics.java:86,1(13),1(4)
Collection_UnsafeIteratorMonitor @ TestOnTwitterSentimentDataset.java:47,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ AppenderAttachableImpl.java:52,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ExampleBuilder.java:279,3(5020900),1(9999)
Collections_SortBeforeBinarySearchMonitor @ IOUtils.java:504,4(8),4(8)
Collections_SortBeforeBinarySearchMonitor @ IntegrationSuite.java:174,4(8),4(7)
Collections_SortBeforeBinarySearchMonitor @ ProvisionNode.java:27,2(6),2(3)
Collections_SortBeforeBinarySearchMonitor @ Splitter.java:422,2(5020899),1(10000)
Collections_SortBeforeBinarySearchMonitor @ VowpalWabbit.java:1327,10(6),10(6)
Collections_SortBeforeBinarySearchMonitor @ VowpalWabbit.java:1338,1(14),1(11)
InputStream_ManipulateAfterCloseMonitor @ IntegrationSuite.java:176,1(11),1(8)
InputStream_ManipulateAfterCloseMonitor @ NativeUtils.java:144,1(0),1(0)
InputStream_ManipulateAfterCloseMonitor @ PropertyConfigurator.java:572,1(0),1(0)
InputStream_ManipulateAfterCloseMonitor @ VWUtility.java:56,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ IntegrationSuite.java:176,1(11),1(11)
InputStream_MarkAfterCloseMonitor @ NativeUtils.java:144,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ PropertyConfigurator.java:572,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ VWUtility.java:56,1(0),1(0)
Iterator_HasNextMonitor @ ExampleBuilder.java:284,4(14242681),2(19998)
Iterator_HasNextMonitor @ IntegrationSuite.java:86,2(0),2(0)
Iterator_HasNextMonitor @ IntegrationSuite.java:107,2(0),2(0)
Iterator_HasNextMonitor @ IntegrationSuite.java:116,2(0),2(0)
Iterator_HasNextMonitor @ IntegrationSuite.java:142,2(0),2(0)
Iterator_HasNextMonitor @ IntegrationSuite.java:158,2(0),2(0)
Iterator_HasNextMonitor @ IntegrationSuite.java:172,4(8),4(8)
Iterator_HasNextMonitor @ Joiner.java:107,11(5020940),1(9999)
Iterator_HasNextMonitor @ Metrics.java:68,1(3915860),1(9999)
Iterator_HasNextMonitor @ Metrics.java:86,1(13),1(3)
Iterator_HasNextMonitor @ Splitter.java:421,2(5020899),1(9999)
Iterator_HasNextMonitor @ TestOnTwitterSentimentDataset.java:47,1(1),1(1)
Iterator_RemoveOnceMonitor @ ExampleBuilder.java:284,3(9221780),1(9999)
Iterator_RemoveOnceMonitor @ IntegrationSuite.java:86,2(0),2(0)
Iterator_RemoveOnceMonitor @ IntegrationSuite.java:107,2(0),2(0)
Iterator_RemoveOnceMonitor @ IntegrationSuite.java:116,2(0),2(0)
Iterator_RemoveOnceMonitor @ IntegrationSuite.java:142,2(0),2(0)
Iterator_RemoveOnceMonitor @ IntegrationSuite.java:158,2(0),2(0)
Iterator_RemoveOnceMonitor @ IntegrationSuite.java:172,4(8),4(8)
Iterator_RemoveOnceMonitor @ Joiner.java:108,11(5020940),2(19998)
Iterator_RemoveOnceMonitor @ Metrics.java:68,1(3915860),1(10000)
Iterator_RemoveOnceMonitor @ Metrics.java:86,1(13),1(6)
Iterator_RemoveOnceMonitor @ Splitter.java:422,2(5020899),1(9999)
Iterator_RemoveOnceMonitor @ TestOnTwitterSentimentDataset.java:47,1(1),1(1)
ListIterator_RemoveOnceMonitor @ IntegrationSuite.java:172,4(8),2(7)
ListIterator_RemoveOnceMonitor @ Joiner.java:108,9(7),8(7)
List_UnsynchronizedSubListMonitor @ Iterables.java:851,1(11),1(6)
List_UnsynchronizedSubListMonitor @ VowpalWabbit.java:1350,1(15),1(5)
OutputStream_ManipulateAfterCloseMonitor @ NativeUtils.java:143,1(0),1(0)
OutputStream_ManipulateAfterCloseMonitor @ VWUtility.java:56,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ CharMatcher.java:139,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ CharMatcher.java:413,1(5020900),1(9999)
StringBuilder_ThreadSafeMonitor @ CharMatcher.java:549,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ CharMatcher.java:732,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Doubles.java:594,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Doubles.java:596,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Doubles.java:597,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:84,1(4200878),1(9999)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:97,1(4200881),1(10000)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:100,2(4200879),1(9999)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:112,1(8401755),1(10000)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:113,1(8401755),1(9999)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:116,1(2100438),1(9999)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:128,2(7941363),1(9999)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:142,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:145,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:148,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:155,2(14242684),1(9999)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:174,1(2100440),1(9999)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:241,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:257,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:264,1(14242688),1(10000)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:268,1(14242684),1(10000)
StringBuilder_ThreadSafeMonitor @ ExampleBuilder.java:301,2(5020901),1(10000)
StringBuilder_ThreadSafeMonitor @ IntegrationSuite.java:135,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ Joiner.java:193,1(5020950),1(10000)
StringBuilder_ThreadSafeMonitor @ Metrics.java:81,1(31),1(25)
StringBuilder_ThreadSafeMonitor @ NativeUtils.java:70,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NativeUtils.java:75,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NativeUtils.java:109,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NativeUtils.java:154,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NativeUtils.java:173,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ProgressiveValidation.java:39,1(63),1(9)
StringBuilder_ThreadSafeMonitor @ TestOnMovieLensDataset.java:88,1(2100438),1(9999)
StringBuilder_ThreadSafeMonitor @ VowpalWabbit.java:308,1(7),1(1)
StringBuilder_ThreadSafeMonitor @ VowpalWabbit.java:326,1(3),1(2)
StringBuilder_ThreadSafeMonitor @ VowpalWabbit.java:432,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ VowpalWabbit.java:1001,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ VowpalWabbit.java:1357,1(0),1(0)
