Loc,Total,Default
Appendable_ThreadSafeMonitor @ DisplayTool.java:15,1(74),1(21)
Appendable_ThreadSafeMonitor @ DisplayTool.java:19,1(74),1(26)
Appendable_ThreadSafeMonitor @ FileTool.java:32,1(4319),1(204)
Appendable_ThreadSafeMonitor @ GrubbsTool.java:39,1(1),1(1)
Appendable_ThreadSafeMonitor @ HoltWintersTool.java:84,1(427),1(35)
Appendable_ThreadSafeMonitor @ HoltWintersTool.java:115,1(3),1(3)
Appendable_ThreadSafeMonitor @ JsonReader.java:1013,1(21467),1(1190)
Appendable_ThreadSafeMonitor @ JsonReader.java:1028,1(131),1(24)
Appendable_ThreadSafeMonitor @ LOFDetectTool.java:63,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AlphabetTreeNode.java:54,12(3193),2(169)
Collection_UnsafeIteratorMonitor @ AlphabetTreeNode.java:63,307(34),307(34)
Collection_UnsafeIteratorMonitor @ DisplayTool.java:14,5(6),5(6)
Collection_UnsafeIteratorMonitor @ DisplayTool.java:18,5(6),4(2)
Collection_UnsafeIteratorMonitor @ Excluder.java:206,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Gson.java:358,4(56),3(5)
Collection_UnsafeIteratorMonitor @ HeuristicTool.java:89,1(0),1(0)
Collection_UnsafeIteratorMonitor @ IsolationForest.java:51,1(400459),1(10000)
Collection_UnsynchronizedAddAllMonitor @ Gson.java:204,1(11),1(2)
Collections_SortBeforeBinarySearchMonitor @ AlphabetTree.java:23,3(9),3(9)
Collections_SortBeforeBinarySearchMonitor @ AlphabetTree.java:26,12(5),12(5)
Collections_SortBeforeBinarySearchMonitor @ ArrayTypeAdapter.java:73,1(11),1(11)
Collections_SortBeforeBinarySearchMonitor @ BruteForceTool.java:44,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ ESDTool.java:44,33(683),33(683)
Collections_SortBeforeBinarySearchMonitor @ GrubbsTool.java:38,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Gson.java:197,1(11),1(9)
Collections_SortBeforeBinarySearchMonitor @ HeuristicTool.java:39,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ HeuristicTool.java:82,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ HoltWintersTool.java:114,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ IsolationForest.java:39,1(101),1(74)
Collections_SortBeforeBinarySearchMonitor @ IsolationTreeTool.java:49,6(96),4(10)
Collections_SortBeforeBinarySearchMonitor @ ItemsTest.java:21,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ ItemsTest.java:33,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LOF.java:59,2(56799),2(2955)
Collections_SynchronizedMapMonitor @ Gson.java:114,1(11),1(11)
Iterator_HasNextMonitor @ AlphabetTreeNode.java:54,6(3199),2(157)
Iterator_HasNextMonitor @ AlphabetTreeNode.java:63,107(234),107(234)
Iterator_HasNextMonitor @ DisplayTool.java:14,5(6),3(2)
Iterator_HasNextMonitor @ DisplayTool.java:18,5(6),3(2)
Iterator_HasNextMonitor @ Excluder.java:206,1(0),1(0)
Iterator_HasNextMonitor @ Gson.java:358,4(56),4(23)
Iterator_HasNextMonitor @ HeuristicTool.java:89,1(0),1(0)
Iterator_HasNextMonitor @ IsolationForest.java:51,1(400459),1(9999)
Iterator_RemoveOnceMonitor @ AlphabetTreeNode.java:54,3(3190),1(133)
Iterator_RemoveOnceMonitor @ AlphabetTreeNode.java:63,107(234),106(234)
Iterator_RemoveOnceMonitor @ DisplayTool.java:14,5(6),5(6)
Iterator_RemoveOnceMonitor @ DisplayTool.java:18,5(6),5(6)
Iterator_RemoveOnceMonitor @ Gson.java:358,4(56),4(44)
Iterator_RemoveOnceMonitor @ HeuristicTool.java:89,1(0),1(0)
Iterator_RemoveOnceMonitor @ IsolationForest.java:51,1(400459),1(9999)
StringBuilder_ThreadSafeMonitor @ DisplayTool.java:15,1(74),1(16)
StringBuilder_ThreadSafeMonitor @ DisplayTool.java:19,1(74),1(15)
StringBuilder_ThreadSafeMonitor @ FileTool.java:32,1(4319),1(214)
StringBuilder_ThreadSafeMonitor @ GrubbsTool.java:39,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ HoltWintersTool.java:84,1(427),1(23)
StringBuilder_ThreadSafeMonitor @ HoltWintersTool.java:115,1(3),1(2)
StringBuilder_ThreadSafeMonitor @ JsonReader.java:1013,1(21467),1(1080)
StringBuilder_ThreadSafeMonitor @ JsonReader.java:1028,1(131),1(17)
StringBuilder_ThreadSafeMonitor @ LOFDetectTool.java:63,1(0),1(0)
__TOTAL__,678(1322398),653(37700)
