Loc,Total,Default
Appendable_ThreadSafeMonitor @ AllBadStrings.java:35,1(4203),1(275)
Appendable_ThreadSafeMonitor @ AscendingBigIntListTest.java:76,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingBigIntListTest.java:78,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingBigIntListTest.java:83,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingBigIntListTest.java:85,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingIntegerAsStringListTest.java:54,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingIntegerAsStringListTest.java:61,1(96),1(85)
Appendable_ThreadSafeMonitor @ AscendingIntegerAsStringListTest.java:64,1(96),1(54)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:55,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:63,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:71,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:83,1(9),1(1)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:90,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:95,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:124,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:126,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:131,1(1),1(0)
Appendable_ThreadSafeMonitor @ AscendingIntegerListTest.java:133,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:55,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:63,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:71,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:83,1(9),1(9)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:90,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:95,1(0),1(0)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:124,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:126,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:131,1(1),1(1)
Appendable_ThreadSafeMonitor @ AscendingLongListTest.java:133,1(1),1(1)
Appendable_ThreadSafeMonitor @ BadLongStringsGenerator.java:93,2(20),2(6)
Appendable_ThreadSafeMonitor @ BadLongStringsGeneratorTest.java:121,1(2),1(2)
Appendable_ThreadSafeMonitor @ BadLongStringsGeneratorTest.java:122,1(2),1(2)
Appendable_ThreadSafeMonitor @ BadStrings.java:98,1(0),1(0)
Appendable_ThreadSafeMonitor @ BadStrings.java:100,1(0),1(0)
Appendable_ThreadSafeMonitor @ BadStrings.java:119,1(9),1(4)
Appendable_ThreadSafeMonitor @ BadStrings.java:122,1(245),1(30)
Appendable_ThreadSafeMonitor @ BigBoundaryNumbersGeneratorTest.java:54,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigBoundaryNumbersGeneratorTest.java:67,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntFromRangesAsStringTest.java:65,1(299),1(18)
Appendable_ThreadSafeMonitor @ BigIntFromRangesAsStringTest.java:79,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessor.java:143,1(4),1(3)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:80,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:86,1(8),1(7)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:97,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:103,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:111,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:117,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:130,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:137,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:160,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:180,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:185,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:211,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:216,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:225,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:249,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:254,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:260,1(0),1(0)
Appendable_ThreadSafeMonitor @ BigIntegerRequestProcessorTest.java:283,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:44,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:73,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:95,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:119,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:123,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:134,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:135,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:157,1(0),1(0)
Appendable_ThreadSafeMonitor @ BugTests.java:168,1(0),1(0)
Appendable_ThreadSafeMonitor @ Combinator.java:63,1(179),1(10)
Appendable_ThreadSafeMonitor @ CombinatorTest.java:47,1(9),1(9)
Appendable_ThreadSafeMonitor @ CombinatorTest.java:68,1(5),1(5)
Appendable_ThreadSafeMonitor @ CombinatorTest.java:92,1(11),1(7)
Appendable_ThreadSafeMonitor @ ComposedFuzzingHeuristicTest.java:38,1(1),1(1)
Appendable_ThreadSafeMonitor @ ComposedFuzzingHeuristicTest.java:46,1(9),1(9)
Appendable_ThreadSafeMonitor @ ComposedFuzzingHeuristicTest.java:49,1(3749),1(237)
Appendable_ThreadSafeMonitor @ ComposedFuzzingHeuristicTest.java:55,1(1),1(1)
Appendable_ThreadSafeMonitor @ ComposedFuzzingHeuristicTest.java:59,1(9),1(9)
