Loc,Total,Default
Appendable_ThreadSafeMonitor @ CommonAssertions.java:21,1(3129628),1(9999)
Appendable_ThreadSafeMonitor @ CommonAssertions.java:26,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommonAssertions.java:36,1(4651),1(253)
Appendable_ThreadSafeMonitor @ CommonAssertions.java:50,1(0),1(0)
Appendable_ThreadSafeMonitor @ Graphs.java:178,1(0),1(0)
Appendable_ThreadSafeMonitor @ Graphs.java:342,1(0),1(0)
Appendable_ThreadSafeMonitor @ ObjReader.java:228,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriter.java:112,1(3),1(2)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:22,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:23,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:72,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:73,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:133,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:134,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:166,1(0),1(0)
Appendable_ThreadSafeMonitor @ PlyWriterTest.java:167,1(0),1(0)
Closeable_MultipleCloseMonitor @ BinaryWriter.java:90,1(1),1(1)
Closeable_MultipleCloseMonitor @ PlyReader.java:48,1(7),1(4)
Closeable_MultipleCloseMonitor @ PlyWriter.java:241,1(1),1(1)
Collection_UnsafeIteratorMonitor @ BoundingBox.java:64,35(22),35(22)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:70,2(32),2(31)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:82,4(4),4(2)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:89,3(19),2(6)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:118,4(5),3(5)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:123,1(7),1(3)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:126,1(7),1(7)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:138,3(22),2(12)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:144,3(22),2(7)
Collection_UnsafeIteratorMonitor @ CardinalInterpolator.java:165,3(7),3(7)
Collection_UnsafeIteratorMonitor @ CardinalInterpolatorTest.java:88,1(0),1(0)
Collection_UnsafeIteratorMonitor @ DataUtil.java:45,3(2),3(2)
Collection_UnsafeIteratorMonitor @ DataUtil.java:46,9(14),9(14)
Collection_UnsafeIteratorMonitor @ DirectedGraph.java:64,4(5),4(3)
Collection_UnsafeIteratorMonitor @ EntityGraph.java:76,2(3),2(3)
Collection_UnsafeIteratorMonitor @ Graphs.java:30,36(11),35(11)
Collection_UnsafeIteratorMonitor @ Graphs.java:41,57(11287),5(588)
Collection_UnsafeIteratorMonitor @ Graphs.java:66,3(1),3(1)
Collection_UnsafeIteratorMonitor @ Graphs.java:74,4(15),2(4)
Collection_UnsafeIteratorMonitor @ Graphs.java:85,4(0),4(0)
Collection_UnsafeIteratorMonitor @ Graphs.java:88,2(2),2(2)
Collection_UnsafeIteratorMonitor @ Graphs.java:93,7(298),5(29)
Collection_UnsafeIteratorMonitor @ Graphs.java:136,36(266),36(266)
Collection_UnsafeIteratorMonitor @ Graphs.java:163,4(0),3(0)
Collection_UnsafeIteratorMonitor @ Graphs.java:166,3(14),3(14)
Collection_UnsafeIteratorMonitor @ Graphs.java:207,10(0),10(0)
Collection_UnsafeIteratorMonitor @ Graphs.java:313,2(0),2(0)
Collection_UnsafeIteratorMonitor @ GraphsTest.java:433,1(0),1(0)
Collection_UnsafeIteratorMonitor @ GraphsTest.java:434,2(1),2(1)
Collection_UnsafeIteratorMonitor @ HoppeEstimatorTest.java:27,1(0),1(0)
Collection_UnsafeIteratorMonitor @ HoppeEstimatorTest.java:36,1(0),1(0)
Collection_UnsafeIteratorMonitor @ LevelSetSkeleton.java:265,1(0),1(0)
Collection_UnsafeIteratorMonitor @ LevelSetSkeleton.java:307,24(5),24(5)
Collection_UnsafeIteratorMonitor @ LevelSetSkeleton.java:335,28(6),28(6)
Collection_UnsafeIteratorMonitor @ LocalOptimalProjectorTest.java:62,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Normalizer.java:25,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Normalizer.java:29,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ObjData.java:41,1(1),1(1)
Collection_UnsafeIteratorMonitor @ Octree.java:146,24(11501),8(584)
Collection_UnsafeIteratorMonitor @ Octree.java:149,88(58336),87(58336)
Collection_UnsafeIteratorMonitor @ Octree.java:213,181(348),181(348)
Collection_UnsafeIteratorMonitor @ Octree.java:256,40(3398),1(176)
Collection_UnsafeIteratorMonitor @ Octree.java:265,40(3398),2(173)
Collection_UnsafeIteratorMonitor @ OctreeTest.java:65,246(73),246(73)
Collection_UnsafeIteratorMonitor @ OctreeTest.java:214,489(2638),489(2638)
Collection_UnsafeIteratorMonitor @ OctreeVoxelizer.java:27,1(0),1(0)
Collection_UnsafeIteratorMonitor @ OctreeVoxelizerTest.java:21,1(0),1(0)
Collection_UnsafeIteratorMonitor @ OffReader.java:225,2(1),2(1)
Collection_UnsafeIteratorMonitor @ PcuCommonUtil.java:11,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PlyReader.java:243,3(5),3(5)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:36,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:38,1(1),1(1)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:76,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:84,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:150,2(2),2(2)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:158,1(3),1(3)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:166,2(6),2(6)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:183,1(1),1(1)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:190,2(2005),1(91)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:301,1(1),1(1)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:308,2(12),2(12)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:562,1(3),1(3)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:565,2(6),2(6)
Collection_UnsafeIteratorMonitor @ ShortestPath.java:23,6(1),6(1)
Collection_UnsafeIteratorMonitor @ ShortestPath.java:35,8522(1029),8522(1029)
Collection_UnsafeIteratorMonitor @ ShortestPath.java:49,8523(1026),8523(1026)
Collection_UnsafeIteratorMonitor @ ShortestPathTest.java:117,1(34),1(30)
Collection_UnsafeIteratorMonitor @ UndirectedGraph.java:64,3(1),2(1)
Collection_UnsafeIteratorMonitor @ WeightedLOProjectorTest.java:56,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WeightedLocallyOptimalProjector.java:95,1(149),1(149)
Collection_UnsafeIteratorMonitor @ WeightedLocallyOptimalProjector.java:126,1(149),1(40)
Collection_UnsafeIteratorMonitor @ WeightedLocallyOptimalProjector.java:157,2(153),2(44)
Collection_UnsynchronizedAddAllMonitor @ Graphs.java:79,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ LocallyOptimalProjector.java:152,1(19),1(6)
Collection_UnsynchronizedAddAllMonitor @ Octree.java:181,1(45),1(26)
Collection_UnsynchronizedAddAllMonitor @ Octree.java:266,1(64648),1(3271)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:246,1(2),1(1)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:252,1(1),1(1)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:258,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:264,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ PcuReflectUtil.java:29,1(26),1(26)
Collection_UnsynchronizedAddAllMonitor @ ShortestPath.java:46,1(9542),1(520)
Collections_SortBeforeBinarySearchMonitor @ CardinalInterpolator.java:111,2(21),2(21)
Collections_SortBeforeBinarySearchMonitor @ CardinalInterpolator.java:127,5(3),5(3)
Collections_SortBeforeBinarySearchMonitor @ DataUtil.java:15,4(2),2(1)
Collections_SortBeforeBinarySearchMonitor @ DataUtil.java:40,9(14),9(14)
Collections_SortBeforeBinarySearchMonitor @ DataUtil.java:43,3(2),3(2)
Collections_SortBeforeBinarySearchMonitor @ EVD.java:54,1(1149),1(68)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:35,58(17),58(17)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:40,41(34),41(34)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:44,6(39),1(3)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:70,4(0),4(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:88,4(0),4(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:168,4(13),1(1)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:215,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:254,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:294,6(5),6(5)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:302,4(9),4(9)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:303,6(17),4(7)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:315,2(4776),1(228)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:316,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ GraphsTest.java:88,1(0),1(0)
