Loc,Total,Default
Appendable_ThreadSafeMonitor @ ResourceLeakDetector.java:297,1(0),1(0)
Appendable_ThreadSafeMonitor @ ResourceLeakDetector.java:327,1(0),1(0)
Appendable_ThreadSafeMonitor @ SimpleLogger.java:231,1(3),1(3)
Appendable_ThreadSafeMonitor @ SimpleLogger.java:268,1(0),1(0)
Collection_UnsafeIteratorMonitor @ LoggerFactory.java:191,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ResourceLeakDetector.java:296,1(0),1(0)
Iterator_HasNextMonitor @ LoggerFactory.java:191,1(0),1(0)
Iterator_HasNextMonitor @ ResourceLeakDetector.java:286,2(3),2(3)
Iterator_HasNextMonitor @ ResourceLeakDetector.java:296,1(0),1(0)
Iterator_RemoveOnceMonitor @ ResourceLeakDetector.java:286,1(0),1(0)
Iterator_RemoveOnceMonitor @ ResourceLeakDetector.java:296,1(0),1(0)
Map_CollectionViewAddMonitor @ SubstituteLoggerFactory.java:65,1(0),1(0)
Map_UnsafeIteratorMonitor @ SubstituteLoggerFactory.java:65,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ResourceLeakDetector.java:297,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ResourceLeakDetector.java:327,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ SimpleLogger.java:231,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ SimpleLogger.java:268,1(0),1(0)
Thread_SetDaemonBeforeStartMonitor @ ResourceLeakDetectorTest.java:81,1(99),1(63)
Thread_StartOnceMonitor @ ResourceLeakDetectorTest.java:56,1(0),1(0)
Thread_StartOnceMonitor @ ResourceLeakDetectorTest.java:126,1(99),1(21)
Throwable_InitCauseOnceMonitor @ ResourceLeakDetectorTest.java:46,1(0),1(0)
Throwable_InitCauseOnceMonitor @ ResourceLeakDetectorTest.java:64,1(4999999),1(10000)
Throwable_InitCauseOnceMonitor @ ResourceReference.java:341,1(0),1(0)
__TOTAL__,24(5000206),24(10093)
