Loc,Total,Default
Appendable_ThreadSafeMonitor @ BPlusTree.java:669,1(19),1(19)
Appendable_ThreadSafeMonitor @ BPlusTree.java:681,1(19),1(5)
Appendable_ThreadSafeMonitor @ BPlusTree.java:693,3(47),1(5)
Appendable_ThreadSafeMonitor @ BPlusTreeFileTest.java:118,1(0),1(0)
Appendable_ThreadSafeMonitor @ BPlusTreeFileTest.java:126,1(0),1(0)
Appendable_ThreadSafeMonitor @ BPlusTreeFileTest.java:147,1(0),1(0)
Appendable_ThreadSafeMonitor @ BPlusTreeTest.java:85,1(6992999),1(9999)
Appendable_ThreadSafeMonitor @ BPlusTreeTest.java:88,1(6992999),1(9999)
Appendable_ThreadSafeMonitor @ BPlusTreeTest.java:103,1(7006999),1(9999)
Appendable_ThreadSafeMonitor @ BPlusTreeTest.java:106,1(7006999),1(10000)
Appendable_ThreadSafeMonitor @ LargeMappedByteBuffer.java:73,1(26856),1(1386)
Appendable_ThreadSafeMonitor @ LargeMappedByteBuffer.java:103,1(0),1(0)
Appendable_ThreadSafeMonitor @ LeafFile.java:84,1(0),1(0)
Appendable_ThreadSafeMonitor @ LeafFile.java:96,1(0),1(0)
Appendable_ThreadSafeMonitor @ LeafMemory.java:91,1(0),1(0)
Appendable_ThreadSafeMonitor @ NonLeafFile.java:82,1(0),1(0)
Appendable_ThreadSafeMonitor @ NonLeafFile.java:94,1(0),1(0)
Appendable_ThreadSafeMonitor @ NonLeafMemory.java:87,1(0),1(0)
Appendable_ThreadSafeMonitor @ NonLeafMemory.java:88,1(0),1(0)
Appendable_ThreadSafeMonitor @ Testing.java:9,1(604),1(26)
Arrays_SortBeforeBinarySearchMonitor @ LeafMemory.java:21,1(3133085),1(9999)
Arrays_SortBeforeBinarySearchMonitor @ LeafMemory.java:22,1(3133085),1(9999)
Arrays_SortBeforeBinarySearchMonitor @ NonLeafMemory.java:23,1(1105306),1(9999)
Arrays_SortBeforeBinarySearchMonitor @ Permutations.java:38,1(7),1(7)
Closeable_MultipleCloseMonitor @ LargeMappedByteBuffer.java:84,1(26856),1(1391)
Closeable_MultipleCloseMonitor @ LargeMappedByteBuffer.java:331,1(26402),1(1292)
Collection_UnsafeIteratorMonitor @ BPlusTreeTest.java:450,1(959),1(97)
Collection_UnsafeIteratorMonitor @ LargeMappedByteBuffer.java:304,1(1418),1(146)
Collection_UnsafeIteratorMonitor @ LargeMappedByteBuffer.java:311,12(1100),12(1100)
Collections_SortBeforeBinarySearchMonitor @ BPlusTree.java:582,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ BPlusTreeFileTest.java:274,4(2),4(2)
Collections_SortBeforeBinarySearchMonitor @ BPlusTreeTest.java:446,1(7),1(7)
Collections_SortBeforeBinarySearchMonitor @ LargeMappedByteBuffer.java:69,15(1495),5(61)
Collections_SortBeforeBinarySearchMonitor @ LargeMappedByteBuffer.java:314,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Node.java:22,2(68),2(7)
Collections_SortBeforeBinarySearchMonitor @ NodeWrapper.java:30,2(13),2(13)
Collections_SortBeforeBinarySearchMonitor @ Stream.java:624,3(965),2(49)
Collections_SortBeforeBinarySearchMonitor @ Stream.java:1089,1(7),1(3)
Collections_SortBeforeBinarySearchMonitor @ Stream.java:1094,1(951),1(80)
Iterator_HasNextMonitor @ BPlusTreeFileTest.java:196,1(0),1(0)
Iterator_HasNextMonitor @ BPlusTreeFileTest.java:273,4(2),3(2)
Iterator_HasNextMonitor @ BPlusTreeTest.java:241,1(1),1(1)
Iterator_HasNextMonitor @ BPlusTreeTest.java:254,1(1),1(1)
Iterator_HasNextMonitor @ BPlusTreeTest.java:269,1(1),1(1)
Iterator_HasNextMonitor @ BPlusTreeTest.java:284,1(1),1(1)
Iterator_HasNextMonitor @ BPlusTreeTest.java:450,1(959),1(82)
Iterator_HasNextMonitor @ BPlusTreeTest.java:485,1(1),1(1)
Iterator_HasNextMonitor @ BPlusTreeTest.java:496,1(1),1(1)
Iterator_HasNextMonitor @ BPlusTreeTest.java:506,1(1),1(1)
Iterator_HasNextMonitor @ BPlusTreeTest.java:522,1(1),1(1)
Iterator_HasNextMonitor @ Collect.java:29,3(965),2(47)
Iterator_HasNextMonitor @ Count.java:20,1(7),1(7)
Iterator_HasNextMonitor @ DoOnNext.java:26,1(7),1(6)
Iterator_HasNextMonitor @ LargeMappedByteBuffer.java:304,1(1418),1(89)
Iterator_HasNextMonitor @ LargeMappedByteBuffer.java:311,12(1100),12(1100)
Iterator_HasNextMonitor @ Map.java:27,1(7),1(7)
Iterator_HasNextMonitor @ PrependOne.java:28,1(7),1(4)
Iterator_HasNextMonitor @ StreamImpl.java:24,4(972),3(68)
Iterator_RemoveOnceMonitor @ BPlusTreeFileTest.java:198,1(0),1(0)
Iterator_RemoveOnceMonitor @ BPlusTreeFileTest.java:274,4(2),4(2)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:242,1(1),1(1)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:255,1(1),1(1)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:270,1(1),1(1)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:285,1(1),1(1)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:450,1(959),1(55)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:485,1(1),1(1)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:506,1(1),1(1)
Iterator_RemoveOnceMonitor @ BPlusTreeTest.java:522,1(1),1(1)
Iterator_RemoveOnceMonitor @ LargeMappedByteBuffer.java:311,11(1100),11(1100)
Iterator_RemoveOnceMonitor @ StreamImpl.java:29,4(972),3(100)
Iterator_RemoveOnceMonitor @ StreamIterator.java:15,5(995),1(51)
Map_CollectionViewAddMonitor @ LargeMappedByteBuffer.java:304,4(1142),2(76)
Map_UnsafeIteratorMonitor @ LargeMappedByteBuffer.java:304,14(2551),5(151)
RandomAccessFile_ManipulateAfterCloseMonitor @ LargeMappedByteBuffer.java:84,1(26856),1(1370)
StringBuilder_ThreadSafeMonitor @ BPlusTree.java:669,1(19),1(11)
StringBuilder_ThreadSafeMonitor @ BPlusTree.java:681,1(19),1(19)
StringBuilder_ThreadSafeMonitor @ BPlusTree.java:693,3(47),3(14)
StringBuilder_ThreadSafeMonitor @ BPlusTree.java:695,1(9),1(9)
StringBuilder_ThreadSafeMonitor @ BPlusTreeFileTest.java:118,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ BPlusTreeFileTest.java:126,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ BPlusTreeFileTest.java:147,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ BPlusTreeTest.java:85,1(6992999),1(9999)
StringBuilder_ThreadSafeMonitor @ BPlusTreeTest.java:88,1(6992999),1(10000)
StringBuilder_ThreadSafeMonitor @ BPlusTreeTest.java:103,1(7006999),1(9999)
StringBuilder_ThreadSafeMonitor @ BPlusTreeTest.java:106,1(7006999),1(9999)
StringBuilder_ThreadSafeMonitor @ LargeMappedByteBuffer.java:73,1(26856),1(1364)
StringBuilder_ThreadSafeMonitor @ LargeMappedByteBuffer.java:103,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ LeafFile.java:84,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ LeafFile.java:93,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ LeafMemory.java:91,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NonLeafFile.java:82,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NonLeafFile.java:91,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NonLeafMemory.java:87,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ NonLeafMemory.java:88,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Testing.java:9,1(604),1(47)
Throwable_InitCauseOnceMonitor @ BPlusTree.java:620,1(0),1(0)
Throwable_InitCauseOnceMonitor @ LargeByteBuffer.java:157,1(0),1(0)
Throwable_InitCauseOnceMonitor @ LargeMappedByteBuffer.java:104,1(0),1(0)
__TOTAL__,189(63526854),157(121484)
