Loc,Total,Default
Appendable_ThreadSafeMonitor @ AbstractSingleSwapRateProduct.java:128,8(53310),8(2812)
Appendable_ThreadSafeMonitor @ BasicPiterbargAnnuityMapping.java:100,8(26651),8(1454)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:146,1(0),1(0)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:147,1(0),1(0)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:286,2(2),2(2)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:287,1(0),1(0)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:289,2(398),2(39)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:298,2(2),2(2)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:299,1(0),1(0)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:312,2(398),2(24)
Appendable_ThreadSafeMonitor @ CashSettledSwaptionTest.java:349,2(203),2(23)
Appendable_ThreadSafeMonitor @ ForwardCurveFromDiscountCurve.java:153,17(26745),17(1500)
Appendable_ThreadSafeMonitor @ MultiPiterbargAnnuityMapping.java:75,8(26498),8(1470)
Appendable_ThreadSafeMonitor @ SABRShiftedSmileCalibration.java:435,5(39),5(39)
Appendable_ThreadSafeMonitor @ SABRShiftedSmileCalibration.java:437,5(39),5(31)
Appendable_ThreadSafeMonitor @ SABRShiftedSmileCalibration.java:477,5(50),5(46)
Appendable_ThreadSafeMonitor @ SABRShiftedSmileCalibration.java:514,5(50),5(32)
CharSequence_NotInMapMonitor @ AnalyticModelFromCurvesAndVols.java:125,12(27988),12(1567)
CharSequence_NotInMapMonitor @ AnalyticModelFromCurvesAndVols.java:126,12(27988),12(1541)
CharSequence_NotInMapMonitor @ AnalyticModelWithVolatilityCubes.java:57,11(27987),11(1576)
Closeable_MultipleCloseMonitor @ CashSettledSwaptionTest.java:143,1(1),1(1)
Closeable_MultipleCloseMonitor @ CashSettledSwaptionTest.java:167,1(2),1(2)
Collection_UnsafeIteratorMonitor @ DataTableLight.java:142,6(884),6(155)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:210,5(6),5(6)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:214,5(6),5(6)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:226,5(270),5(89)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:236,5(270),5(81)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:319,5(270),5(78)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:324,5(270),5(84)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:364,5(6),5(6)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:365,5(50),5(41)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:398,5(6),5(5)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:409,5(39),5(31)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:410,5(215),5(129)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:453,5(6),5(6)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:459,5(50),5(46)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:460,5(270),5(67)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:490,5(6),5(6)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:496,5(50),5(50)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:497,5(270),5(137)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:529,5(6),5(5)
Collection_UnsafeIteratorMonitor @ SABRShiftedSmileCalibration.java:530,5(50),5(36)
Collection_UnsafeIteratorMonitor @ SwaptionDataLattice.java:337,29(14),27(7)
Collection_UnsafeIteratorMonitor @ SwaptionDataLattice.java:348,20(23),19(21)
Collection_UnsafeIteratorMonitor @ SwaptionDataLattice.java:445,7(9),6(9)
Collection_UnsynchronizedAddAllMonitor @ SABRShiftedSmileCalibration.java:395,5(6),5(6)
Collection_UnsynchronizedAddAllMonitor @ SwaptionDataLattice.java:446,6(46),6(14)
Collections_SortBeforeBinarySearchMonitor @ ExceptionContext.java:86,10(1294),10(141)
