Loc,Total,Default
Appendable_ThreadSafeMonitor @ AntPathFilterTest.java:21,1(18),1(14)
Appendable_ThreadSafeMonitor @ AntPathFilterTest.java:25,1(8),1(8)
Appendable_ThreadSafeMonitor @ AntPathMatcher.java:617,1(0),1(0)
Appendable_ThreadSafeMonitor @ AntPathMatcher.java:639,1(1),1(1)
Appendable_ThreadSafeMonitor @ AntPathMatcher.java:859,1(0),1(0)
Appendable_ThreadSafeMonitor @ AntPathMatcher.java:860,1(0),1(0)
Appendable_ThreadSafeMonitor @ AntPathPropertyFilter.java:82,1(610467),1(9999)
Appendable_ThreadSafeMonitor @ BeanUtil.java:248,1(440161),1(10000)
Appendable_ThreadSafeMonitor @ DefaultPrettyPrinter.java:243,1(0),1(0)
Appendable_ThreadSafeMonitor @ User.java:26,1(89),1(11)
Appendable_ThreadSafeMonitor @ User.java:27,1(89),1(8)
Appendable_ThreadSafeMonitor @ User.java:28,1(89),1(11)
Arrays_SortBeforeBinarySearchMonitor @ ArrayIterator.java:17,3(0),3(0)
Arrays_SortBeforeBinarySearchMonitor @ TokenBuffer.java:2051,1(1),1(1)
Arrays_SortBeforeBinarySearchMonitor @ UntypedObjectDeserializer.java:34,1(0),1(0)
CharSequence_NotInMapMonitor @ POJOPropertiesCollector.java:1084,1(30009),1(1489)
CharSequence_NotInMapMonitor @ POJOPropertiesCollector.java:1086,1(30009),1(1479)
Closeable_MultipleCloseMonitor @ ObjectMapper.java:4231,1(0),1(0)
Closeable_MultipleCloseMonitor @ ObjectMapper.java:4412,1(30009),1(1556)
Closeable_MultipleCloseMonitor @ WriterBasedJsonGenerator.java:997,1(30009),1(1512)
Collection_UnsafeIteratorMonitor @ AnnotatedClassResolver.java:174,4(15031),3(784)
Collection_UnsafeIteratorMonitor @ AnnotatedClassResolver.java:197,1(125048),1(6330)
Collection_UnsafeIteratorMonitor @ AnnotatedClassResolver.java:251,6(300108),2(14703)
Collection_UnsafeIteratorMonitor @ AnnotatedClassResolver.java:288,1(300113),1(9999)
Collection_UnsafeIteratorMonitor @ AnnotatedFieldCollector.java:53,3(50015),3(2617)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:52,2(50016),2(2623)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:74,4(50014),2(2457)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:97,4(50014),4(2561)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:158,1(50017),1(2494)
Collection_UnsafeIteratorMonitor @ AnnotatedMethodMap.java:57,8(100028),4(5020)
Collection_UnsafeIteratorMonitor @ AnnotationMap.java:99,1(5),1(5)
Collection_UnsafeIteratorMonitor @ AnnotationMap.java:103,1(5),1(2)
Collection_UnsafeIteratorMonitor @ AntPathPropertyFilter.java:154,10(340116),4(17227)
Collection_UnsafeIteratorMonitor @ AntPathPropertyFilter.java:163,4(180046),1(9083)
Collection_UnsafeIteratorMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
Collection_UnsafeIteratorMonitor @ BeanSerializerFactory.java:589,3(50014),2(2510)
Collection_UnsafeIteratorMonitor @ BeanSerializerFactory.java:695,3(50014),3(2541)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:346,4(50014),2(2516)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:358,4(50014),4(2546)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:393,3(50015),2(2473)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:487,1(0),1(0)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:495,2(30008),2(1489)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:690,3(50015),3(2534)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:752,4(50014),1(2518)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:786,4(50014),3(2492)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:822,4(50014),4(2535)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:1012,2(30008),2(1505)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:1072,1(30009),1(1460)
Collection_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:1090,4(50014),2(2506)
Collection_UnsafeIteratorMonitor @ ReadOnlyClassToSerializerMap.java:32,2(30009),2(1572)
Collection_UnsafeIteratorMonitor @ SimpleFilterProvider.java:61,1(30009),1(1543)
Collections_SortBeforeBinarySearchMonitor @ AnnotatedClassResolver.java:191,5(65029),2(3316)
Collections_SortBeforeBinarySearchMonitor @ AnnotatedCreatorCollector.java:121,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ AnnotatedCreatorCollector.java:138,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ AnnotatedCreatorCollector.java:200,2(30008),2(1486)
Collections_SortBeforeBinarySearchMonitor @ AnnotatedCreatorCollector.java:209,2(30008),1(1481)
Collections_SortBeforeBinarySearchMonitor @ AnnotatedFieldCollector.java:54,3(50015),1(2560)
Collections_SortBeforeBinarySearchMonitor @ AntPathConvertTest.java:29,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BeanSerializerFactory.java:604,3(50014),3(2516)
Collections_SortBeforeBinarySearchMonitor @ ClassUtil.java:145,1(50017),1(2545)
Collections_SortBeforeBinarySearchMonitor @ CollectionDeserializer.java:295,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ StringUtils.java:50,2(340123),2(16849)
Collections_SortBeforeBinarySearchMonitor @ User.java:29,1(8),1(4)
Console_CloseWriterMonitor @ WriterBasedJsonGenerator.java:997,1(30009),1(1504)
Iterator_HasNextMonitor @ AnnotatedClassResolver.java:174,4(15031),4(764)
Iterator_HasNextMonitor @ AnnotatedClassResolver.java:197,1(125048),1(6160)
Iterator_HasNextMonitor @ AnnotatedClassResolver.java:251,6(300108),2(15206)
Iterator_HasNextMonitor @ AnnotatedClassResolver.java:288,1(300113),1(9999)
Iterator_HasNextMonitor @ AnnotatedFieldCollector.java:53,3(50015),3(2490)
Iterator_HasNextMonitor @ AnnotatedMethodCollector.java:52,2(50016),1(2588)
Iterator_HasNextMonitor @ AnnotatedMethodCollector.java:74,4(50014),4(2544)
Iterator_HasNextMonitor @ AnnotatedMethodCollector.java:97,4(50014),3(2559)
Iterator_HasNextMonitor @ AnnotatedMethodCollector.java:158,1(50017),1(2494)
Iterator_HasNextMonitor @ AnnotationMap.java:99,1(5),1(5)
Iterator_HasNextMonitor @ AnnotationMap.java:103,1(5),1(5)
Iterator_HasNextMonitor @ AntPathPropertyFilter.java:154,10(340116),4(17109)
Iterator_HasNextMonitor @ AntPathPropertyFilter.java:163,4(180046),2(9064)
Iterator_HasNextMonitor @ BasicDeserializerFactory.java:1978,1(2),1(2)
Iterator_HasNextMonitor @ BasicDeserializerFactory.java:2007,1(0),1(0)
Iterator_HasNextMonitor @ BasicDeserializerFactory.java:2051,1(0),1(0)
Iterator_HasNextMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
Iterator_HasNextMonitor @ BasicSerializerFactory.java:695,1(5006),1(331)
Iterator_HasNextMonitor @ BeanDeserializerFactory.java:184,1(0),1(0)
Iterator_HasNextMonitor @ BeanSerializerFactory.java:206,1(80028),1(4138)
Iterator_HasNextMonitor @ BeanSerializerFactory.java:589,3(50014),2(2531)
Iterator_HasNextMonitor @ BeanSerializerFactory.java:696,3(50014),3(2578)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:346,4(50014),2(2533)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:358,4(50014),2(2479)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:393,3(50015),2(2465)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:487,1(0),1(0)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:495,2(30008),1(1528)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:555,4(50014),1(2496)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:690,3(50015),2(2531)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:694,4(50014),2(2599)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:753,4(50014),4(2550)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:788,4(50014),3(2610)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:824,4(50014),2(2601)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:1012,2(30008),2(1577)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:1072,1(30009),1(1610)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:1090,4(50014),4(2524)
Iterator_HasNextMonitor @ ReadOnlyClassToSerializerMap.java:32,2(30009),2(1587)
Iterator_HasNextMonitor @ SimpleFilterProvider.java:61,1(30009),1(1598)
Iterator_RemoveOnceMonitor @ AnnotatedClassResolver.java:174,3(15031),2(758)
Iterator_RemoveOnceMonitor @ AnnotatedClassResolver.java:197,1(125048),1(6252)
Iterator_RemoveOnceMonitor @ AnnotatedClassResolver.java:251,5(65029),2(3247)
Iterator_RemoveOnceMonitor @ AnnotatedFieldCollector.java:53,3(50015),3(2431)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:52,1(0),1(0)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:74,4(50014),4(2573)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:97,4(50014),2(2509)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:158,1(50017),1(2564)
Iterator_RemoveOnceMonitor @ AnnotationMap.java:99,1(5),1(5)
Iterator_RemoveOnceMonitor @ AnnotationMap.java:103,1(5),1(5)
Iterator_RemoveOnceMonitor @ AntPathPropertyFilter.java:154,6(340120),3(17072)
Iterator_RemoveOnceMonitor @ AntPathPropertyFilter.java:163,2(180048),2(9015)
Iterator_RemoveOnceMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
