Loc,Total,Default
Appendable_ThreadSafeMonitor @ EgressInterfaceFinder.java:135,1(7),1(7)
Appendable_ThreadSafeMonitor @ EthernetAddress.java:108,1(3),1(3)
Appendable_ThreadSafeMonitor @ EthernetAddress.java:135,1(11),1(9)
Appendable_ThreadSafeMonitor @ EthernetAddress.java:436,1(3),1(3)
Appendable_ThreadSafeMonitor @ EthernetAddress.java:572,1(62),1(5)
Appendable_ThreadSafeMonitor @ EthernetAddressTest.java:1441,1(1),1(1)
Appendable_ThreadSafeMonitor @ EthernetAddressTest.java:1444,1(1),1(1)
Appendable_ThreadSafeMonitor @ EthernetAddressTest.java:1453,1(3),1(3)
Appendable_ThreadSafeMonitor @ EthernetAddressTest.java:1456,1(3),1(3)
Appendable_ThreadSafeMonitor @ EthernetAddressTest.java:1476,1(95),1(5)
Appendable_ThreadSafeMonitor @ SimpleLogger.java:240,1(3),1(3)
Appendable_ThreadSafeMonitor @ SimpleLogger.java:277,1(1),1(1)
Appendable_ThreadSafeMonitor @ UUIDComparatorTest.java:123,1(9999999),1(9999)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:350,1(8999),1(477)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:364,1(8999),1(457)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:383,1(8999),1(503)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:391,1(8999),1(502)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:434,1(8999),1(453)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:449,1(8999),1(468)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:467,1(8999),1(525)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:474,1(8999),1(530)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:631,1(44999),1(2201)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:642,1(44999),1(2197)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:657,1(125999),1(6185)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:704,1(1),1(1)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:733,1(17999),1(883)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:737,1(17999),1(935)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:759,1(1),1(1)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:787,1(17999),1(916)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:791,1(17999),1(932)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:802,1(1),1(1)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:811,1(9000),1(435)
Appendable_ThreadSafeMonitor @ UUIDGeneratorTest.java:813,1(9000),1(492)
Appendable_ThreadSafeMonitor @ UUIDTest.java:769,1(15),1(6)
Appendable_ThreadSafeMonitor @ UUIDTest.java:968,1(1),1(1)
Appendable_ThreadSafeMonitor @ UUIDTest.java:970,1(1),1(1)
Appendable_ThreadSafeMonitor @ UUIDTest.java:977,1(3),1(3)
Appendable_ThreadSafeMonitor @ UUIDTest.java:979,1(3),1(3)
Appendable_ThreadSafeMonitor @ UUIDTimerTest.java:272,1(9999),1(526)
Appendable_ThreadSafeMonitor @ UUIDTimerTest.java:287,1(9999),1(532)
Appendable_ThreadSafeMonitor @ UUIDTimerTest.java:343,1(9999),1(508)
Appendable_ThreadSafeMonitor @ UUIDTimerTest.java:347,1(9999),1(516)
Appendable_ThreadSafeMonitor @ UUIDUtil.java:122,1(5),1(5)
Appendable_ThreadSafeMonitor @ UUIDUtil.java:350,1(0),1(0)
Appendable_ThreadSafeMonitor @ UUIDUtil.java:353,1(4),1(4)
Arrays_SortBeforeBinarySearchMonitor @ EthernetAddressTest.java:560,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ UUIDGeneratorTest.java:626,1(4),1(4)
Arrays_SortBeforeBinarySearchMonitor @ UUIDTest.java:264,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ UUIDTest.java:312,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ UUIDTimerTest.java:266,1(0),1(0)
Closeable_MultipleCloseMonitor @ EgressInterfaceFinder.java:247,1(0),1(0)
Closeable_MultipleCloseMonitor @ EgressInterfaceFinder.java:294,1(5),1(5)
Collection_UnsafeIteratorMonitor @ LoggerFactory.java:191,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ EgressInterfaceFinder.java:366,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ EgressInterfaceFinder.java:96,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ EgressInterfaceFinder.java:353,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ EgressInterfaceFinder.java:358,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ EgressInterfaceFinder.java:365,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ UUIDComparatorTest.java:116,1(0),1(0)
Iterator_HasNextMonitor @ LoggerFactory.java:191,1(0),1(0)
Map_CollectionViewAddMonitor @ SubstituteLoggerFactory.java:65,1(0),1(0)
Map_UnsafeIteratorMonitor @ SubstituteLoggerFactory.java:65,1(0),1(0)
Socket_InputStreamUnavailableMonitor @ EgressInterfaceFinder.java:237,1(0),1(0)
Socket_LargeReceiveBufferMonitor @ EgressInterfaceFinder.java:237,1(0),1(0)
Socket_OutputStreamUnavailableMonitor @ EgressInterfaceFinder.java:237,1(0),1(0)
Socket_PerformancePreferencesMonitor @ EgressInterfaceFinder.java:237,1(0),1(0)
Socket_ReuseAddressMonitor @ EgressInterfaceFinder.java:237,1(0),1(0)
Socket_ReuseSocketMonitor @ EgressInterfaceFinder.java:247,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ EgressInterfaceFinder.java:135,1(7),1(7)
StringBuilder_ThreadSafeMonitor @ EthernetAddress.java:108,1(3),1(1)
StringBuilder_ThreadSafeMonitor @ EthernetAddress.java:135,1(11),1(4)
StringBuilder_ThreadSafeMonitor @ EthernetAddress.java:436,1(3),1(1)
StringBuilder_ThreadSafeMonitor @ EthernetAddress.java:572,1(62),1(11)
StringBuilder_ThreadSafeMonitor @ EthernetAddressTest.java:1441,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ EthernetAddressTest.java:1444,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ EthernetAddressTest.java:1453,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ EthernetAddressTest.java:1456,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ EthernetAddressTest.java:1476,1(95),1(12)
StringBuilder_ThreadSafeMonitor @ SimpleLogger.java:240,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ SimpleLogger.java:277,1(1),1(0)
StringBuilder_ThreadSafeMonitor @ UUIDComparatorTest.java:123,1(9999999),1(10000)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:350,1(8999),1(469)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:364,1(8999),1(468)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:383,1(8999),1(464)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:391,1(8999),1(459)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:434,1(8999),1(488)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:449,1(8999),1(468)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:467,1(8999),1(483)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:474,1(8999),1(496)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:631,1(44999),1(2165)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:642,1(44999),1(2335)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:657,1(125999),1(6382)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:704,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:733,1(17999),1(942)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:737,1(17999),1(900)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:759,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:787,1(17999),1(879)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:791,1(17999),1(903)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:802,1(1),1(0)
StringBuilder_ThreadSafeMonitor @ UUIDGeneratorTest.java:811,1(9000),1(483)
